| Word        | Definition              | Synonyms              | Origin         |
| ----------- | ------------------------- | ---------------------- | --------------- |
| Odin        | God of War and Wisdom     | Woden, Wotan           | Norse           |
| Thor        | God of Thunder            | Donar, Perun           | Norse           |
| Freya       | Goddess of Love and Beauty| Frigg, Freyja          | Norse           |
| Loki        | Trickster God             | Sly-One, Sky-Traveler  | Norse           |
| Heimdall    | Guardian of Bifrost      | Hallinskidi            | Norse           |
| Ymir        | Primordial Giant          | None                   | Norse           |
| Angrboda    | Giantess                  | Ironwood Witch         | Norse           |
| Forseti     | God of Law and Justice    | None                   | Norse           |
| Jormungandr | Giant Midgard Serpent     | World Coil             | Norse           |
| Fenrir      | Giant Wolf                | Fenris Wolf            | Norse           |
| Ratatoskr   | The Squirrel              | None                   | Norse           |
| Nott        | Goddess of Night          | Nacht                  | Norse           |
| Skoll       | Giant Wolf                | None                   | Norse           |
