Culture | Practice | Precedent | Origin | Dispersal | Language | Examples | Historical | Theology| 
Islam | Faith | Quran | Arabia | Global | Arabic | Hajj | Theologians | Five Pillars |
Christianity | Faith | Bible | Israel | Global | Hebrew | Crucifixion | Crusades | Trinity |
Judaism | Faith | Torah | Israel | Global | Hebrew | Bar Mitzvah | Exile | Halakah |
Taoism | Faith | Others | China | Asia | Chinese | Yin Yang | Philosophers | Yin Yang |
Hinduism | Faith | Others | India | Asia | Sanskrit | Diwali | Vedic Age | Karma |
Buddhism | Faith | Tripitaka | India | Asia | Pali | Nirvana | Schools | Four Noble |
Confucianism | Faith | Others | China | Asia | Chinese | Yin Yang | Philosophers | Li |
Animism | Faith | Animates | Africa | Global | African | Rituals | Tribal Times | Reduxism |
Shintoism | Faith | Others | Japan | Asia | Japanese | Kamidana | Kami Religion | Kami |
Paganism | Faith | Others | Europe | Global | Latin | Samhain | Classical Times | Polytheism |
Vodou | Faith | Others | Africa | Global | French | Vodou Flags | Haitians | Loa |
Wicca | Faith | Others | Britain | Global | English | Sabbats | Neo-Paganism | Wiccan Rede |
