Fossils | Stratigraphy | Geomorphology | Earthquakes 
-------------------- | ---------------- | ------------- | ------------ 
Crinoids | Lithostratigraphy | Volcanoes | Seismometer 
Trilobite | Biostratigraphy | Erosion | Seismograph 
Brachiopods | Chronostratigraphy | Weathering | Richter Magnitude Scale 
Ammonites | Magnetostratigraphy | Glaciers | Seismic Wave 
Coral | Cycadophytes | Wind | Epicenter 
Forams | Palynology | Valleys | Magnitude Scale 
Mosozoa | Sequence Stratigraphy | Hills | P-Wave 
Shells | Mapping | Rivers | S-Wave 
Bone | Sedimentary Facies | Lakes | Primary Wave 
Teeth | Petrography | Seas | Secondary Wave
