query_table,data_lake_table,unionable,num_union_cols
World-Geography_NO6B9M80.csv,World-Geography_O2RAK1VR.csv,1,2
World-Geography_NO6B9M80.csv,World-Geography_F9SXMECO.csv,0,0
World-Geography_NO6B9M80.csv,World-Geography_GYR3XKXW.csv,1,8
World-Geography_NO6B9M80.csv,World-Geography_K8PK3YR9.csv,0,0
World-Geography_NO6B9M80.csv,World-Geography_CUZRENUN.csv,1,3
World-Geography_NO6B9M80.csv,World-Geography_98Q1ZXOI.csv,0,0
World-Geography_NO6B9M80.csv,World-Geography_HJK1EYY3.csv,1,8
World-Geography_NO6B9M80.csv,World-Geography_VHS1K3AQ.csv,0,0
World-Geography_NO6B9M80.csv,World-Geography_T6MJXK87.csv,1,2
World-Geography_NO6B9M80.csv,World-Geography_FF5E8II4.csv,0,0
World-Geography_NO6B9M80.csv,World-Geography_MTZX272H.csv,1,6
World-Geography_NO6B9M80.csv,World-Geography_5N8I4P40.csv,0,0
World-Geography_NO6B9M80.csv,World-Geography_103DGDZV.csv,1,4
World-Geography_NO6B9M80.csv,World-Geography_KYAYQ3S1.csv,0,0
World-Geography_NO6B9M80.csv,World-Geography_5JMSND8D.csv,1,7
World-Geography_NO6B9M80.csv,World-Geography_467KD6FL.csv,0,0
World-Geography_NO6B9M80.csv,World-Geography_HPCF07UQ.csv,1,5
World-Geography_NO6B9M80.csv,World-Geography_NQ65QDF1.csv,0,0
World-Geography_NO6B9M80.csv,World-Geography_IQK2919A.csv,1,8
World-Geography_NO6B9M80.csv,World-Geography_8CX9J1IC.csv,0,0
World-History_GW90JPKL.csv,World-History_0BLV0PRK.csv,1,7
World-History_GW90JPKL.csv,World-History_4OM3WTOO.csv,0,0
World-History_GW90JPKL.csv,World-History_RERW6Z8V.csv,1,4
World-History_GW90JPKL.csv,World-History_LQCG1WU1.csv,0,0
World-History_GW90JPKL.csv,World-History_MQC1A78M.csv,1,5
World-History_GW90JPKL.csv,World-History_UHT6T0UZ.csv,0,0
World-History_GW90JPKL.csv,World-History_0YLTZ9AT.csv,1,3
World-History_GW90JPKL.csv,World-History_U322N64K.csv,0,0
World-History_GW90JPKL.csv,World-History_VFPTOMJB.csv,1,7
World-History_GW90JPKL.csv,World-History_E30MY5ZP.csv,0,0
World-History_GW90JPKL.csv,World-History_73D9PH3I.csv,1,3
World-History_GW90JPKL.csv,World-History_U26192K4.csv,0,0
World-History_GW90JPKL.csv,World-History_R75PR2ES.csv,1,8
World-History_GW90JPKL.csv,World-History_8FIJOYJN.csv,0,0
World-History_GW90JPKL.csv,World-History_30DN0YBY.csv,1,6
World-History_GW90JPKL.csv,World-History_TY088O5O.csv,0,0
World-History_GW90JPKL.csv,World-History_VZK3I8BZ.csv,1,5
World-History_GW90JPKL.csv,World-History_F1I3LDQY.csv,0,0
World-History_GW90JPKL.csv,World-History_YR0QF4B8.csv,1,4
World-History_GW90JPKL.csv,World-History_OECBPMBJ.csv,0,0
Art-History_YZMEPGTH.csv,Art-History_CW81XE6V.csv,1,6
Art-History_YZMEPGTH.csv,Art-History_G1X3J1L7.csv,0,0
Art-History_YZMEPGTH.csv,Art-History_UPFR2P3Y.csv,1,4
Art-History_YZMEPGTH.csv,Art-History_L5NWQVRR.csv,0,0
Art-History_YZMEPGTH.csv,Art-History_P059P452.csv,1,2
Art-History_YZMEPGTH.csv,Art-History_ZPTX497W.csv,0,0
Art-History_YZMEPGTH.csv,Art-History_W3RTQOHM.csv,1,4
Art-History_YZMEPGTH.csv,Art-History_LMN4R7SG.csv,0,0
Art-History_YZMEPGTH.csv,Art-History_TA8IRCD9.csv,1,3
Art-History_YZMEPGTH.csv,Art-History_5GAS442V.csv,0,0
Art-History_YZMEPGTH.csv,Art-History_4HEZ5EDJ.csv,1,8
Art-History_YZMEPGTH.csv,Art-History_FPH90O7Y.csv,0,0
Art-History_YZMEPGTH.csv,Art-History_1TDGNNQF.csv,1,8
Art-History_YZMEPGTH.csv,Art-History_EKA024SC.csv,0,0
Art-History_YZMEPGTH.csv,Art-History_M1H8OJRJ.csv,1,4
Art-History_YZMEPGTH.csv,Art-History_S2H3TZR6.csv,0,0
Art-History_YZMEPGTH.csv,Art-History_C1UQBFOB.csv,1,6
