;Island Nation; Island Size (km²); Coastline Length (km); Number Of Islands; Forest Area (%);" Capitals' Status (""de facto""/""joint""/""none"")"; Time Zone; Currency; Population Of Capital; GDP Per Capita; Major Cities Population
0;"  ""Bahamas"; 13,878; 3,542; 700; 49; joint; Eastern Standard Time; Bahamian Dollar; 274,400; 28,100;" Nassau(285,900)"""
1;" ""Iceland"; 103,000; 4,970; 1; 49; none; Greenwich Mean Time; Icelandic Krona; 130,167; 50,100;" Reykjavik(131,130)"""
2;" ""Singapore"; 719; 193; 1; 3; none; Singapore Time; Singapore Dollar; 6,623,000; 65,233;" Singapore(5,804,000)"""
3;" ""Ireland"; 84,421; 3,171; 1; 46; none; Irish Standard Time; Euro; 554,554; 81,570;" Dublin(1,273,062)"""
4;" ""Jamaica"; 10,991; 1,022; 1; 28; none; Eastern Standard Time; Jamaican Dollar; 675,400; 5,300;" Kingston(937,700)"""
5;" ""Cuba"; 110,860; 3,735; 1; 27; none; Cuba Standard Time; Cuban Peso; 2,117,000; 8,460;" Havana(2,117,000)"""
6;" ""Haiti"; 27,750; 2,732; 1; 29; none; Eastern Standard Time; Haitian Gourde; 1,139,000; 1,800;" Port-au-Prince(2,238,000)"""
7;" ""New Zealand"; 267,710; 15,134; 1; 67; none; New Zealand Standard Time; New Zealand Dollar; 472,700; 44,000;" Wellington(422,000)"""
8;" ""Japan"; 377,835; 29,751; 6,852; 68; none; Japan Standard Time; Japanese Yen; 9,106,000; 39,294;" Tokyo(9,616,000)"""
9;" ""United Kingdom"; 242,495; 12,429; 1; 13; none; Greenwich Mean Time; British Pound; 8,962,000; 46,144;" London(8,962,000)"" "
10;"  ""Madagascar"; 587,041; 4,828; 1; 61; none; Madagascar Standard Time; Malagasy Ariary; 1,621,000; 455;" Antananarivo(1,621,000)"""
11;" ""Sri Lanka"; 65,610; 1,340; 1; 35; none; Sri Lanka Standard Time; Sri Lankan Rupee; 648,000; 4,068;" Colombo(752,000)"""
12;" ""Philippines"; 300,000; 36,289; 7,107; 68; none; Philippine Standard Time; Philippine Peso; 1,660,000; 3,031;" Manila(1,660,000)"""
13;" ""Cuba"; 110,860; 3,735; 1; 27; none; Cuba Standard Time; Cuban Peso; 2,129,000; 8,284;" Havana(2,129,000)"""
14;" ""Hawaii (USA)"; 16,635; 1,228; 1; 31; none; Hawaii-Aleutian Standard Time; US Dollar; 347,000; 56,706;" Honolulu(347,000)"""
15;" ""Indonesia"; 1,910,931; 54,716; 17,508; 54; none; West Indonesia Time; Indonesian Rupiah; 10,380,000; 3,912;" Jakarta(10,380,000)"""
16;" ""Papua New Guinea"; 462,840; 5,152; 6,000; 71; none; Papua New Guinea Time; Papua New Guinean Kina; 361,000; 2,509;" Port Moresby(361,000)"""
17;" ""Ireland"; 70,273; 1,448; 1; 11; none; Irish Standard Time; Euro; 554,000; 80,073;" Dublin(554,000)"""
18;" ""South Korea"; 100,210; 2,413; 1; 64; none; Korea Standard Time; South Korean Won; 9,757,000; 32,041;" Seoul(9,757,000)"""
19;" ""Taiwan"; 35,961; 1,566; 1; 58; none; China Standard Time; New Taiwan Dollar; 2,670,000; 26,566;" Taipei(2,670,000)""</s>"
20;"  ""Sri Lanka"; 65,610; 1,340; 1; 29; none; Indian Standard Time; Sri Lankan Rupee; 670,200; 3,825;" Colombo(670,200)"""
21;"  ""Philippines"; 300,000; 36,289; 7,641; 31; none; Philippine Standard Time; Philippine Peso; 1,660,700; 2,884;" Manila(1,660,700)"""
22;" ""Cuba"; 110,860; 3,735; 1; 27; none; Cuba Standard Time; Cuban Convertible Peso; 2,129,00; 7,121;" Havana(2,129,000)"""
23;" ""Jamaica"; 10,991; 1,022; 1; 31; none; Eastern Standard Time; Jamaican Dollar; 584,600; 5,289;" Kingston(584,600)"""
24;" ""Madagascar"; 587,041; 4,828; 1; 22; none; Madagascar Time; Malagasy Ariary; 1,275,000; 409;" Antananarivo(1,275,000)"""
25;" ""Papua New Guinea"; 462,840; 5,152; 1; 63; none; Papua New Guinea Time; Papua New Guinean Kina; 339,100; 2,650;" Port Moresby(339,100)"""
26;" ""Iceland"; 103,000; 4,970; 1; 49; none; Greenwich Mean Time; Icelandic Króna; 123,200; 47,890;" Reykjavik(123,200)"""
27;" ""United Kingdom"; 242,495; 12,429; 1; 32; none; Greenwich Mean Time; British Pound; 8,962,000; 42,111;" London(8,962,000)"""
