;Chef Name;Estimated Cost per Serving;Meal Type;Dietary Restrictions;Seasonality;Number of Recipes Used;Taste Profile;Techniques Utilized;Caloric Content;Special Equipment Needed
0; Chef Jaime Adams;$12.50;Italian Entree;Dairy-free, Gluten-free;Fall;3;Savory, Hearty;Braising, Roasting;450 calories;Dutch oven
1;Chef Pedro Rodriguez;$18.75;Spanish Tapas;Vegan, Nut-free;Summer;2;Tangy, Fresh; Pickling, Marinating;200 calories;Mandoline slicer
2;Chef Claudette Shannon;$21.00;French Dessert;Vegetarian, Soy-free;Winter;4;Sweet, Rich;Caramelization, Poaching;650 calories;Crepe pan
3;Chef Timur Anand;$25.00;Indian Main Course;Spicy, Vegan;Spring;5;Spicy, Complex;Tempering, Blending;800 calories;Spice grinder
4;Chef Xiomara Castillo;$9.50;Mexican Side;Gluten-free, Soy-free;All year;2;Fresh, Crunchy;Frying, Charring;150 calories;Tortilla press
5;Chef Xavier Noel;$8.50;French Breakfast;Nut-free, Vegetarian;All year;1;Buttery, Flaky;Laminating, Poaching;350 calories;Croissant molds
6;Chef Fiona Yin;$16.00;Chinese Appetizer;Dairy-free, Vegan;Fall;2;Savory, Umami;Steaming, Stir-frying;400 calories;Wok
7;Chef Lila Nguyen;$14.50;Vietnamese Soup;Gluten-free, Low-carb;Spring;3;Light, Aromatic;Simmering, Slice thinly;250 calories;Long, thin slicing knife
8;Chef Eduardo Fernandez;$17.00;Cuban Main Course;Soy-free, Spicy;Summer;4;Smoky, Juicy;Grilling, Mojo marinade;550 calories;Churrasco grill
9;Chef Hanako Suzuki;$13.00;Japanese Dessert;Nut-free, Vegan;Winter;2;Delicate, Sweet;Steaming, Dusting;220 calories;Bamboo steamer</s>
