;Bond Types; Bond Maturity ; Youth Unemployment Rate%; Housing Price Index; Commodities Index (Gold); Commodities Index (Oil); CPI Forecast Next Year %; Corruption Perceptions Index; Technology IPO Activity;" Google Search Trend For ""Recession"""; Green Energy Investments
0;" ""Government Bond"; 5-year ; 12.3%; 200.5; 1500; 70; 2.5%; 60; 5; 10;" Increasing  21%"""
1;"""Corporate Bond"; 10-year; 8.9%; 225.6; 1450; 75; 2.2%; 65; 30; 8;" Steady  18%"""
2;"""Municipal Bond"; 20-year; 7.4%; 210.2; 1300; 68; 2.1%; 70; 15; 6;" Decreasing  19%"""
3;"""High-Yield Bond"; 7-year ; 14.6%; 180.9; 850; 54; 3.0%; 45; 70; 20;" Rising  30%"""
4;"""Convertible Bond"; 15-year; 9.2%; 250.1; 1600; 80; 2.3%; 55; 25; 12;" Fluctuating  23%"""
5;"""Zero-Coupon Bond"; 10-year; 6.8%; 230.0; 1480; 72; 2.0%; 75; 10; 4;" Steady  20%"""
6;"""Perpetual Bond"; No maturity; 11.1%; 195.3; 1200; 56; 2.7%; 48; 65; 15;" Increasing  25%"""
7;"""Pension Obligation Bond"; 30-year; 7.9%; 280.5; 1750; 85; 2.6%; 52; 12; 3;" Decreasing  15%"""
8;"""Structured Bond"; 8-year ; 13.4%; 175.7; 900; 62; 2.9%; 42; 80; 22;" Rising  28%"""
9;"""Asset-Backed Bond"; 12-year; 8.5%; 245.9; 1620; 78; 2.4%; 62; 20; 10;" Fluctuating  24%""</s>"
