;Major Conflicts; International Relationships; Globalization Effects; Demographic Shifts; Religious Developments; Intellectual Movements; Significant Legislation and Treaties; Environmental Changes; Influential Philosophers; Literature Works
0; Major Conflicts: World War I, 1914-1918; Russian Revolution, 1917; World War II, 1939-1945; Korean War, 1950-1953; Vietnam War, 1955-1975; Cold War, 1947-1991; Gulf War, 1990-1991; War in Afghanistan, 2001-2021; Iraq War, 2003-2011; Syrian Civil War, 2011-present
1;International Relationships: League of Nations established, 1920; United Nations founded, 1945; NATO formed, 1949; Warsaw Pact established, 1955; European Union created, 1993; China joins WTO, 2001;;;;
2;Globalization Effects: Industrial Revolution, 1760-1840; Steam engine and railways development, 1804; Telegraph invention, 1837; Telephone invention, 1876; Internet creation, 1960s-1980s; Smartphones and social media emergence, 2000s;;;;
3;Demographic Shifts: Population growth, 1800-present; Urbanization growth, 1800-present; Migration waves to the Americas, 1800-1930; Refugee crises, post-WWII and present; Baby Boomer generation, 1946-1964; Aging population, present;;;;
4;Religious Developments: First Great Awakening, 1730s-1740s; Second Great Awakening, 1790-1840; Hinduism reform movements, 19th century; Buddhism modernization, 19th century; Christian fundamentalism, late 19th-early 20th century; New Religious Movements, 1950s-present;;;;
5;Intellectual Movements: Enlightenment, 18th century; Romanticism, late 18th-early 19th century; Realism, mid-19th century; Existentialism, post-WWII; Postmodernism, late 20th century; Fourth Wave Feminism, present;;;;
6;Significant Legislation and Treaties: US Constitution adoption, 1787; French Declaration of the Rights of Man and Citizen, 1789; Abolition of slavery, mid-19th century; Civil Rights Act, 1964; Paris Agreement on Climate Change, 2015;;;;;
7;Environmental Changes: Industrial Revolution pollution, 18th-19th century; Dust Bowl, 1930s; Great Smog of London, 1952; Discovery of the ozone hole, 1985; Climate change, present;;;;;
8;Influential Philosophers: Immanuel Kant, 18th century; G.W.F. Hegel, 19th century; John Stuart Mill, 19th century; Friedrich Nietzsche, 19th century; Jean-Paul Sartre, 20th century; Michel Foucault, 20th century;;;;
9;"Literature Works: ""Pride and Prejudice"" by Jane Austen, 1813";" ""Les Misérables"" by Victor Hugo, 1862";" ""Thus Spoke Zarathustra"" by Friedrich Nietzsche, 1883-1885";" ""To Kill a Mockingbird"" by Harper Lee, 1960";" ""One Hundred Years of Solitude"" by Gabriel García Márquez, 1967</s>";;;;;
10; International Relationships: Congress of Vienna, 1815; Treaty of Tordesillas, 1494; Entente Cordiale, 1904; Treaty of Versailles, 1919; Formation of the United Nations, 1945;;;;;
