;Quantitative Financial Analysis; Company Name; Industry Category - expanded (e.g., NAICS); Market Capitalization; PPE Percentage To Total Assets; Employee Headcount; Debtor Days; Creditor Days; Operating Cash Flow %; Tax Payment Deferral Period %; Inventory Turnover ratio %; Revenue Growth Rate; Net Profit Margin %; Enterprise Value to EBITDA Ratio %; Price to Sales Ratio %
0;" ""100 Million Dollar Startup Inc"""; Technology; Computer Systems Design Services; $150 Million; 35%; 500; 45; 60; 20%; 15%; 6.2%; 25%; 30%; 12%; 10%  4.5%
1;"""Global Manufacturing Co"""; Manufacturing; Machinery Manufacturing; $2 Billion; 70%; 10000; 75; 90; 35%; 10%; 4.5%; 8%; 5%; 15%; 8%  8%  2.5%
2;"""Retail Giant Corp"""; Retail Trade; Clothing Stores; $5 Billion; 20%; 80000; 30; 45; 28%; 5%; 9%; 12%; 7%; 10%; 10%  1.5%
3;"""Green Energy Solutions"""; Energy; Electric Power Generation; $800 Million; 60%; 3000; 65; 75; 15%; 20%; 7%; 18%; 22%; 12%; 15%  9%  3%
4;"""Healthcare Innovations Inc"""; Health Care and Social Assistance; Offices of Physicians; $1.2 Billion; 15%; 7000; 40; 50; 12%; 12%; 5%; 10%; 15%; 9%; 12%  11%  2%
5;"""Finance Group Ltd"""; Finance and Insurance; Securities, Commodity Contracts, and Other Financial Investments and Related Activities; $3 Billion; 5%; 2500; 55; 60; 40%; 8%; 12%; 7%; 18%; 10%; 13%  14%  12%  2.5%
6;"""Transportation & Logistics Inc"""; Transportation and Warehousing; Truck Transportation; $600 Million; 45%; 6000; 35; 45; 32%; 15%; 6%; 11%; 7%; 5%; 10%  13%  7%  3%
7;"""Education Solutions Corp"""; Educational Services; Elementary and Secondary Schools; $750 Million; 5%; 30000; 60; 70; 10%; 5%; 12%; 8%; 8%; 6%; 11%  15%  12%  2%
8;"""Professional Services Limited"""; Professional, Scientific, and Technical Services; Accounting, Tax Preparation, Bookkeeping, and Payroll Services; $900 Million; 10%; 8000; 45; 55; 20%; 10%; 7%; 9%; 14%; 10%; 8%  13%  12%  9%  2%
9;"""Real Estate Enterprise"""; Real Estate and Rental and Leasing; Lessors of Real Estate; $1.5 Billion; 25%; 1000; 70; 80; 25%; 12%; 8%; 10%; 12%; 8%; 6%  14%  12%  4%  2%</s>
