;1. Artistic Group Name; 2. Extended Art Form; 3. Birth Year; 4. City or Country of Origin; 5. Main Contribution(s); 6. Career Start; 7. Popular Works; 8. Awards; 9. Total Awards; 10. Active; 11. Influenced By; 12. Influenced; 13. Awards Category; 14. Notable Performances; 15. Members
0;  Alvin Ailey American Dance Theater; Modern Dance; 1931; Texas, USA; Integrated contemporary social issues into dance; 1958; Revelations; Tony Award, Emmy Award; 7; Yes; Katherine Dunham, Lester Horton; Judith Jamison, Bill T. Jones; Dance; Lincoln Center, Paris Opera; Robert Battle, Renee Robinson, Vernard Gilmore
1; The Royal Shakespeare Company; Drama; 1883; Stratford-upon-Avon, UK; Revitalized Shakespearean productions; 1961; Hamlet, A Midsummer Night's Dream; BAFTA, Olivier Award; 18; Yes; Victorian theatre; Sam Mendes, Kenneth Branagh; Theatre, Film; Barbican, Broadhurst Theatre; Gregory Doran, Vanessa Redgrave, David Tennant
2; National Theatre of Spain (Teatro Nacional de España); Drama, Opera, Ballet; 1735; Madrid, Spain; Preserved and promoted Spanish classical theatre; 1819; Fuente Ovejuna, Don Juan; National Awards for Theatre, Music, Dance; 15; Yes; Golden Age literature; Lorca, Bunuel; Theatre, Opera, Ballet; Teatro Español, Teatro de la Zarzuela; Alfonso Sastre, Lola Herrera, José Carlos Plaza
3; Vienna Philharmonic Orchestra; Classical Music; 1842; Vienna, Austria; Premier European orchestra; 1842; Symphony No.5, Don Juan Overture; Gramophone, Grammy Awards; 8; Yes; Romantic-era orchestras; Mozart, Beethoven; Concerts, Opera; Musikverein, Carnegie Hall; Daniel Froschauer, Lorin Maazel, Zubin Mehta
4; Mariinsky Ballet; Ballet; 1740; St. Petersburg, Russia; Preserved classical ballet standards; 1740; Swan Lake, La Bayadère; Golden Mask, Benois de la Danse; 25; Yes; Italian and French ballet masters; Petipa, Tchaikovsky; Ballet, Opera; Mariinsky Theatre, Metropolitan Opera; Yuri Fateyev, Ulyana Lopatkina, Maria Khoreva
5; Cirque du Soleil; Contemporary Circus; 1984; Quebec, Canada; Reinvented the circus experience; 1984; Quidam, La Nouba; Drama Desk, Emmy Awards; 9; Yes; Traditional circus, street performance; Guy Laliberté, Daniel Gauthier; Theatre, Television; Royal Albert Hall, Dolby Theatre; Jean-François Bouchard, James Cameron, Jessica Chastain
6; The Globe Theatre; Drama; 1599; London, UK; Renaissance theatre; 1997; Henry V, Hamlet; Laurence Olivier, Tony Awards; 1; Yes; Medieval theatre; Shakespeare, Marlowe; Theatre; Globe Theatre, British Museum; Dominic Dromgoole, Mark Rylance, Roger Allam
7; Berliner Philharmoniker; Classical Music; 1882; Berlin, Germany; Representative of German classical music; 1882; Beethoven Symphonies, Brahms Symphonies; Grammy, Echo Awards; 15; Yes; Mahler, Bruckner; Concerts, Operas; Berlin Philharmonie, New York Carnegie Hall; Simon Rattle, Herbert von Karajan, Kirill Petrenko;
8; La Scala Opera; Opera; 1778; Milan, Italy; Prestigious opera house; 1778; Otello, La Bohème; International Opera Award, Abbiati Awards; 15; Yes; Italian operatic tradition; Verdi, Puccini; Opera, Ballet; La Scala Opera House, Metropolitan Opera; Alexander Pereira, Riccardo Chailly, Cecilia Bartoli
9; Royal Opera Ballet; Ballet; 1946; London, UK; Associated with Royal Ballet and Birmingham Royal Ballet; 1946; The Sleeping Beauty, The Nutcracker; Olivier, Benois de la Danse Awards; 5; Yes; British ballet education; Ninette de Valois, Frederick Ashton; Ballet; Royal Opera House, Birmingham Hippodrome; Kevin O'Hare, Alessandra Ferri, Edward Watson</s>
