;Mythical Being;Origination;Characteristics;Capabilities;Vulnerabilities;Representation;Role;Affiliation;Anatomical Characteristics;Lifespan;Habitat;Interactions;Mythological Significance;Pop Culture Appearances;Comparative Mythology
0;  Mythical Being: Phoenix; Origination: Ancient Greek and Egypt; Characteristics: Immortal bird that regenerates; Capabilities: Flight, regeneration; Vulnerabilities: None; Representation: Fire; Role: Symbol of rebirth; Affiliation: Neutral; Anatomical Characteristics: Red and gold feathers, fiery eyes; Lifespan: Immortal; Habitat: Deserts; Interactions: Solitary; Mythological Significance: Represents the cycle of life and death; Pop Culture Appearances: Harry Potter, Fantastic Beasts, Hercules; Comparative Mythology: Similar to the Egyptian Bennu bird.
1; Mythical Being: Kitsune; Origination: Japanese; Characteristics: Fox spirit, often female; Capabilities: Shapeshifting, illusion, control of elements; Vulnerabilities: Silver, foxfire; Representation: Fox; Role: Trickster; Affiliation: Can be benevolent or malevolent; Anatomical Characteristics: Nine tails; Lifespan: Thousands of years; Habitat: Forests, mountains; Interactions: Can mate with humans; Mythological Significance: Represents prosperity, longevity; Pop Culture Appearances: Pokemon, Naruto, Kitsune no Yomeiri; Comparative Mythology: Similar to European werefox legends.
2; Mythical Being: Leviathan; Origination: Hebrew Bible; Characteristics: Massive sea serpent; Capabilities: Tidal waves, destructive power; Vulnerabilities: Spear, sword; Representation: Chaos, destruction; Role: Enemy of God; Affiliation: Chaotic; Anatomical Characteristics: Gigantic size, serpentine body; Lifespan: Unknown; Habitat: Deep sea; Interactions: Conflicts with Yahweh; Mythological Significance: Represents primordial chaos; Pop Culture Appearances: Diablo, Final Fantasy, Hellboy, Bible mythology; Comparative Mythology: Similar to the Norse Jormungandr.
3; Mythical Being: Jormungandr; Origination: Norse; Characteristics: Giant serpent living in the ocean; Capabilities: Can create storms; Vulnersabilities: Unknown; Representation: Chaos, destruction; Role: Enemy of Thor; Affiliation: Chaotic; Anatomical Characteristics: Enormous size, serpentine body; Lifespan: Immortal; Habitat: Ocean; Interactions: Conflicts with Thor; Mythological Significance: Represents primordial chaos; Pop Culture Appearances: Marvel Comics, God of War, Skyrim, Norse mythology; Comparative Mythology: Similar to the Hebrew Leviathan.
4; Mythical Being: Kraken; Origination: Norse, later Scandinavian; Characteristics: Massive sea monster; Capabilities: Sinking ships, capturing sailors; Vulnerabilities: Weaknesses unknown; Representation: Sea monster, chaos; Role: Antagonist of seafarers; Affiliation: Chaotic; Anatomical Characteristics: Octopus-like, giant size, multiple tentacles; Lifespan: Unknown; Habitat: Oceans; Interactions: Conflicts with humans; Mythological Significance: Represents primordial chaos; Pop Culture Appearances: Clash of the Titans, Pirates of the Caribbean, Kraken: Tentacles of the Deep, Scandinavian mythology; Comparative Mythology: Similar to the Greek Scylla.
5; Mythical Being: Dragons; Origination: Ancient cultures (China, Europe, India, etc.); Characteristics: Fire-breathing serpent-like creature; Capabilities: Flight, control over nature, magic; Vulnerabilities: Varies (e.g. dragon slayers); Representation: Power, wisdom, evil, good; Role: Protector, tyrant, trickster; Affiliation: Varies; Anatomical Characteristics: Serpentine, reptilian, wings; Lifespan: Thousands of years; Habitat: Mountains, forests, caverns; Interactions: Conflicts with humans; Mythological Significance: Represents nature's raw power; Pop Culture Appearances: Game of Thrones, Eragon, The Hobbit, How to Train Your Dragon, European mythology; Comparative Mythology: Varies by culture.
6; Mythical Being: Unicorn; Origination: Ancient cultures (China, Middle East, Europe, etc.); Characteristics: Legendary horse-like creature with a single horn; Capabilities: Graceful, gentle, magic; Vulnerabilities: Virgins; Representation: Magic, purity, elegance; Role: Symbol of good, fortune; Affiliation: Benevolent; Anatomical Characteristics: Elegant, horse-like, single horn; Lifespan: Unknown; Habitat: Forests, meadows; Interactions: Approaches virgins; Mythological Significance: Represents grace, natural wonder; Pop Culture Appearances: Harry Potter, Narnia, My Little Pony, Legend of Zelda; Comparative Mythology: Similar to the Chinese Qilin.
7; Mythical Being: Mermaids; Origination: Greek, Persian, Egyptian cultures; Characteristics: Half-human, half-fish sea creatures; Capabilities: Singing, healing; Vulnerabilities: Drowning, human men; Representation: Fertility, sexuality; Role: Seductress; Affiliation: Ambiguous; Anatomical Characteristics: Fish tail, human torso; Lifespan: Unknown; Habitat: Ocean; Interactions: Seducing sailors; Mythological Significance: Represents mysterious beauty of the sea; Pop Culture Appearances: Pirates of the Caribbean, Hans Christian Andersen's The Little Mermaid, Siren; Comparative Mythology: Similar to the Persian Simorgh.
8; Mythical Being: Fenrir; Origination: Norse; Characteristics: Gigantic wolf; Capabilities: Destructive power; Vulnerabilities: Magic bond; Representation: Chaos, destruction; Role: Wolrd-Ender; Affiliation: Chaotic; Anatomical Characteristics: Gigantic size, wolf body; Lifespan: Immortal; Habitat: Norse realms; Interactions: Conflicts with gods; Mythological Significance: Represents primordial chaos; Pop Culture Appearances: Marvel Comics, Skyrim, Hellboy; Comparative Mythology: Similar to the Greek Cerberus.
9; Mythical Being: Cerberus; Origination: Greek; Characteristics: Three-headed dog; Capabilities: Imprisonment, guardianship; Vulnerabilities: Spells, food; Representation: Death, protection; Role: Guardian of underworld; Affiliation: Death; Anatomical Characteristics: Three heads, dog body; Lifespan: Immortal; Habitat: Underworld; Interactions: Conflicts with Greek heroes; Mythological Significance: Represents impenetrable guardianship; Pop Culture Appearances: Dante's Inferno, Disney's Hercules, Rick Riordan's Percy Jackson series; Comparative Mythology: Similar to the Norse Garmr.</s>
10;  Mythical Being: Dragon; Origination: Multiple cultures; Characteristics: Large, serpent-like creature; Capabilities: Fire breathing, shape shifting; Vulnerabilities: Vulnerable to its own kind, dragon-slaying heroes; Representation: Power, wisdom; Role: Protector or destroyer; Affiliation: Neutral or chaotic; Anatomical Characteristics: Reptilian scales, wings; Lifespan: Immortal; Habitat: Caves, mountains; Interactions: Conflicts with heroes; Mythological Significance: Symbolizes primal forces of nature; Pop Culture Appearances: Game of Thrones, Dungeons & Dragons, Harry Potter; Comparative Mythology: Similar to the Chinese Long.
11; Mythical Being: Phoenix; Origination: Egyptian, Greek, Roman cultures; Characteristics: Large bird with fiery plumage; Capabilities: Rebirth through self-immolation; Vulnerabilities: None; Representation: Rebirth, renewal; Role: Symbol of resurrection; Affiliation: Solar deities; Anatomical Characteristics: Red and gold feathers, sharp talons; Lifespan: Immortal; Habitat: Deserts; Interactions: Solitary; Mythological Significance: Represents cyclical nature of life and death; Pop Culture Appearances: Harry Potter, Fantasia, Grimm; Comparative Mythology: Similar to the Hindu Garuda.
12; Mythical Being: Unicorn; Origination: Multiple cultures; Characteristics: Horse-like creature with a single horn; Capabilities: Healing, purification; Vulnerabilities: Capture by virgin maidens; Representation: Purity, magic; Role: Symbol of miraculous beauty; Affiliation: Nature; Anatomical Characteristics: Single horn, cloven hooves; Lifespan: Unknown; Habitat: Forests, meadows; Interactions: Elusive; Mythological Significance: Represents elusive beauty and magic; Pop Culture Appearances: My Little Pony, Narnia, Legend of Zelda; Comparative Mythology: Similar to the Indian Kirtimukha.
13; Mythical Being: Kraken; Origination: Norse; Characteristics: Giant sea monster; Capabilities: Destructive power, creation of whirlpools; Vulnerabilities: Weakness to gods and heroes; Representation: Chaos, sea; Role: Monster of the deep; Affiliation: Chaotic; Anatomical Characteristics: Giant tentacles, crustacean-like body; Lifespan: Unknown; Habitat: Ocean; Interactions: Conflicts with sailors; Mythological Significance: Represents primordial chaos; Pop Culture Appearances: Clash of the Titans, Pirates of the Caribbean, Disney's Atlantis; Comparative Mythology: Similar to the Greek Scylla.
14; Mythical Being: Minotaur; Origination: Greek; Characteristics: Half-human, half-bull creature; Capabilities: Physical strength; Vulnerabilities: Cunning and trickery; Representation: Labyrinth, maze; Role: Guardian of the labyrinth; Affiliation: Cretan; Anatomical Characteristics: Bull head, human body; Lifespan: Short; Habitat: Labyrinth; Interactions: Conflicts with heroes; Mythological Significance: Represents primal bestiality; Pop Culture Appearances: Disney's Hercules, Rick Riordan's Percy Jackson series, Assassin's Creed; Comparative Mythology: Similar to the Sumerian Anzu.
15; Mythical Being: Griffin; Origination: Multiple cultures; Characteristics: Eagle-headed, lion-bodied creature; Capabilities: Flight, strength; Vulnerabilities: Vulnerable to hunters; Representation: Majesty, royalty; Role: Guardian of treasure; Affiliation: Powerful rulers; Anatomical Characteristics: Eagle head, lion body; Lifespan: Unknown; Habitat: Deserts, mountains; Interactions: Protects treasure; Mythological Significance: Represents majestic power; Pop Culture Appearances: Harry Potter, Dungeons & Dragons, Tomb Raider; Comparative Mythology: Similar to the Egyptian Sphinx.
16; Mythical Being: Harpy; Origination: Greek; Characteristics: Bird-women creatures; Capabilities: Flight, stealing; Vulnerabilities: Weak against heroes; Representation: Storms, winds; Role: Stealing food and souls; Affiliation: Underworld deities; Anatomical Characteristics: Bird bodies, women's faces; Lifespan: Unknown; Habitat: Sky, underworld; Interactions: Stealing food and souls; Mythological Significance: Represents chaotic wind; Pop Culture Appearances: Disney's Hercules, Rick Riordan's Percy Jackson series, God of War; Comparative Mythology: Similar to the Hindu Garuda.
17; Mythical Being: Kitsune; Origination: Japanese; Characteristics: Fox spirit; Capabilities: Shape shifting, illusion; Vulnerabilities: Sudden bright light; Representation: Wisdom, mischief; Role: Trickster; Affiliation: Shinto deities; Anatomical Characteristics: Nine tails, fox body; Lifespan: Immortal; Habitat: Forests, mountains; Interactions: Tricks humans; Mythological Significance: Represents supernatural cunning; Pop Culture Appearances: Naruto, Pokemon, Kitsune; Comparative Mythology: Similar to the Norse Ratatoskr.
18; Mythical Being: Jormungandr; Origination: Norse; Characteristics: Giant sea serpent; Capabilities: Constricting the world; Vulnerabilities: Vulnerable to Odin and Thor; Representation: Chaos, destruction; Role: World-ender; Affiliation: Chaotic; Anatomical Characteristics: Serpent body, gigantic size; Lifespan: Immortal; Habitat: Ocean; Interactions: Conflicts with gods; Mythological Significance: Represents primordial chaos; Pop Culture Appearances: Marvel Comics, Skyrim, God of War; Comparative Mythology: Similar to the Greek Typhon.
19; Mythical Being: Naga; Origination: Hindu, Buddhist, Jain cultures; Characteristics: Serpent-like creature; Capabilities: Magical powers; Vulnerabilities: Vulnerable to magic weapons; Representation: Knowledge, wisdom; Role: Protectors of treasures; Affiliation: Nature; Anatomical Characteristics: Serpent body, multiple heads; Lifespan: Immortal; Habitat: Forests, rivers; Interactions: Protects treasures; Mythological Significance: Represents supernatural power; Pop Culture Appearances: Mortal Kombat, Avatar: The Last Airbender, Final Fantasy; Comparative Mythology: Similar to the Greek Hydra.</s>
20;  Mythical Being: Lamassu; Origination: Mesopotamian; Characteristics: Winged bull deity; Capabilities: Protection, strength; Vulnerabilities: None specific; Representation: Guardianship, royalty; Role: Guardian; Affiliation: Assyrian and Babylonian gods; Anatomical Characteristics: Bull body, eagle wings, human head; Lifespan: Mythical; Habitat: Temples, palaces; Interactions: Protects buildings; Mythological Significance: Represents power and protection; Pop Culture Appearances: Assassin's Creed, American Gods, Smite; Comparative Mythology: Similar to the Egyptian Sphinx.
21; Mythical Being: Zmey Gorynych; Origination: Slavic; Characteristics: Three-headed dragon; Capabilities: Fire-breathing, invulnerability; Vulnerabilities: Defeated by Saint George; Representation: Chaos; Role: Enemy of good; Affiliation: Evil; Anatomical Characteristics: Three dragon heads, serpent body; Lifespan: Mythical; Habitat: Mountains; Interactions: Fights saints; Mythological Significance: Represents primordial chaos; Pop Culture Appearances: Sadko, The Witcher 3, World of Warcraft; Comparative Mythology: Similar to the Greek Hydra.
22; Mythical Being: Ammit; Origination: Egyptian; Characteristics: Devourer of souls; Capabilities: Eating souls; Vulnerabilities: None specific; Representation: Judgement; Role: Guardian of the afterlife; Affiliation: Goddess of judgment; Anatomical Characteristics: Half lion, half hippopotamus, crocodile head; Lifespan: Mythical; Habitat: Afterlife; Interactions: Eats souls of unjust; Mythological Significance: Represents divine retribution; Pop Culture Appearances: The Mummy, Assassin's Creed: Origins; Comparative Mythology: Similar to the Greek Cerberus.
