;`ARTID_;Title；Culture；DatCreated*;Location_Found;Original_Location;Medium;Current_Location;Department_in_Museum;Additional_Details;Period;School_of_Thought;Genre;Iconography_and_Symbolism;Movement_or_Style;Additional_Notes`,where asterisks indicate alignment with corresponding columns from **table 1**.
0;  ARTID_001;The Starry Night;Post-Impressionism;1889*;Mountainous landscape of Saint-Rémy, France;Yves Langlois Collection, New York;Oil on canvas;Museum of Modern Art, New York;Painting and Sculpture;Starry Night was painted by Vincent van Gogh during his stay at the Saint-Paul-de-Mausole asylum near Saint-Rémy-de-Provence;Post-Impressionist;Modern Art;Dreamlike swirls of stars and a glowing moon suggest van Gogh's search for hope and peace;Pointillism, Symbolism The painting reflects van Gogh's emotional and psychological state
1; ARTID_002;Mona Lisa;Renaissance;1503-1506*;Not definitively known, likely Italian countryside;Louvre Museum, Paris;Oil on poplar panel;Louvre Museum, Paris;Paintings;Leonardo da Vinci's most famous piece, featuring a woman with an enigmatic smile, whose gaze seems to follow the viewer;Renaissance;Italian Art;Portrait; sfumato technique Da Vinci's greatest achievement
2; ARTID_003;The Persistence of Memory;Surrealism;1931*;Based on Dali's memory of a landscape in Catalonia, Spain;Museum of Modern Art, New York;Oil on canvas;Museum of Modern Art, New York;Painting and Sculpture;Depicts melting clocks in a desolate landscape, reflecting the fluidity and insignificance of time;Surrealism;Modern Art;Metaphysical painting;Iconography related to the theory of relativity and the unconscious mind
3; ARTID_004;The Last Supper;Renaissance;1495-1498*;Convent of Santa Maria delle Grazie, Milan, Italy;Permanently displayed at the convent;Tempera on gesso, pitch, and silver foil;Convent of Santa Maria delle Grazie, Milan, Italy;Tempera paintings;Leonardo da Vinci's world-renowned mural depicts the Last Supper of Jesus in a figural composition that employs a subtle pyramidal form;Renaissance;Italian Art;Religious painting and iconography;
4; ARTID_005;The Scream;Expressionism;1893*;Based on the coastal landscape near Oslofjord, Norway;National Gallery, Oslo, Norway;Pastel and tempera on cardboard;National Gallery, Oslo, Norway;Paintings;Edvard Munch's iconic piece illustrating an agonized figure set against a tumultuous sunset and anguished expression, reflecting the emotional and psychological state of the individual;Expressionism;Modern Art;Symbolist and Synthetist art movements;Haunting visualization of emotional distress
5; ARTID_006;The Birth of Venus;Renaissance;1485*;Based on a classical mythological narrative;Uffizi Gallery, Florence, Italy;Tempera on canvas;Uffizi Gallery, Florence, Italy;Paintings;Botticelli's famous depiction of the goddess Venus emerging from the sea as a fully grown woman, symbolizing the origin of beauty and love;Renaissance;Italian Art;Mythological painting;Iconography of classical myths and allegorical figures
6; ARTID_007;Guernica;Cubism;1937*;Depicting the bombing of Guernica, Spain, during the Spanish Civil War;Reina Sofia Museum, Madrid, Spain;Oil on canvas;Reina Sofia Museum, Madrid, Spain;Paintings;Picasso's dramatic black-and-white painting that conveys the violence and suffering inflicted on innocent civilians, encapsulating the tragic consequences of war;Cubism;Modern Art;Political and social commentary;Depicts the despair of war in a fragmented landscape
7; ARTID_008;David;Renaissance;1501-1504*;Piazza della Signoria, Florence, Italy;Outdoor sculpture in Florence;Carrara marble;Galleria dell'Accademia, Florence, Italy;Sculptures;Michelangelo's masterpiece of the biblical hero David, exhibiting a perfect anatomical structure, naturalism, and idealized beauty, indicative of the Renaissance spirit;Renaissance;Italian Art;Sculpture;Representation of humanism and balance
8; ARTID_009;Girl with a Pearl Earring;Baroque;1665*;Delft, Netherlands;Mauritshuis, The Hague, Netherlands;Oil on canvas;Mauritshuis, The Hague, Netherlands;Paintings;Portrait of a young woman in traditional Dutch dress wearing a large pearl earring, painted by Vermeer in a style that reflects the Baroque interest in light and shadow;Baroque;Dutch Art;Portrait;Dutch Golden Age Realistic and evocative portrayal of the female subject
9; ARTID_010;The Thinker;Symbolism;1904*;Modeled between 1880 and 1881, various casts exist;Musée Rodin, Paris, France;Bronze;Musée Rodin, Paris, France;Sculptures;Iconic artwork depicting a nude, contemplative man leaning forward with his chin resting on one fist, symbolizing intellect, introspection, and human contemplation;Symbolism;Modern Art;Representing human intellect and thought;Integrated into Rodin's larger artwork, The Gates of Hell</s>
