;Religious Beliefs; Literature; Music; Art; Philosophy; Science; Technology; Politics; Economy; Geography
0;  Christianity; Bible; Gregorian Chants; Renaissance Art; Existentialism; Newtonian Physics; Printing Press; Monarchy; Feudalism; Europe
1; Buddhism; Pali Canon; Buddhist Chants; Thangka Paintings; Nirvana Theory; Mahayana Buddhism; Calligraphy; Imperial System; Trade Routes; Asia
2; Islam; Quran; Islamic Calls to Prayer; Arabesque Art; Sufism; Algebra; Papermaking; Caliphates; Trade Networks; Middle East
3; Hinduism; Vedas; Hindu Hymns; Hindu Temple Art; Karma Concept; Ayurveda Medicine; Sanskrit Language; Caste System; Spice Trade; Indian Subcontinent
4; Confucianism; Analects; Classical Chinese Music; Chinese Calligraphy; Confucian Ethics; Legalism; Great Wall of China; Mandate of Heaven; Silk Road Trade; China
5; Judaism; Torah; Synagogue Music; Hanukkah Menorah; Jewish Ethics; Kabbalah; Hebrew Bible; Theocracy; Diaspora Commerce; Middle East
6; Taoism; Tao Te Ching; Traditional Chinese Music; Taoist Landscape Painting; Taoist Philosophy; Chinese Alchemy; Gunpowder Invention; City-State Politics; Porcelain Production; China
7; Shintoism; Kojiki; Gagaku Music; Shinto Shrines; Shinto Beliefs; Onmyodo; Japanese Writing; Emperor Worship; Rice Farming; Japan
8; Zoroastrianism; Avesta; Persian Music; Persian Carpet Art; Zoroastrian Ethics; Magi Astronomy; Cuneiform; Persian Empire; Silk & Spice Trade; Persia
9; Animism; Oral Traditions; Tribal Music; Tribal Art; Ancestor Veneration; Herbal Medicine; Pictographs; Tribal Leadership; Hunter-Gatherer Economy; Various Geographies</s>
10;  Christianity; Bible; Gregorian Chant; Christian Art; Scholasticism; Natural Philosophy; Latin; Papal Supremacy; Feudal Economy; Europe
11; Buddhism; Tripitaka; Buddhist Chants; Buddhist Art; Buddhist Philosophy; Ayurveda; Pali; Spiritual Leaders; Monastic Economy; India, Nepal, China, Japan
12; Confucianism; Five Classics; Guqin Music; Chinese Calligraphy; Confucian Ethics; Traditional Chinese Medicine; Classical Chinese; Imperial Bureaucracy; Tributary System; China
13; Taoism; Tao Te Ching; Taoist Music; Daoist Internal Alchemy; Daoist Philosophy; Herbal Medicine; Chinese Characters; Anarchist Tendencies; Local Economy; China
14; Islam; Quran; Islamic Call to Prayer; Arabesque Art; Islamic Philosophy; Unani Medicine; Arabic; Caliphate Politics; Trade Economy; Middle East, North Africa
15; Hinduism; Vedas; Hindu Hymns; Hindu Temple Art; Hindu Philosophy; Ayurveda; Sanskrit; Caste System; Agricultural Economy; India
16; Judaism; Torah; Synagogue Chants; Jewish Art; Jewish Philosophy; Traditional Jewish Medicine; Hebrew; Theocratic Politics; Trade Economy; Middle East
17; Sikhism; Guru Granth Sahib; Shabad Kirtan; Sikh Art; Sikh Philosophy; Sikh Medicine; Punjabi; Communal Living; Agricultural Economy; India
18; African Traditional Religions; Oral Traditions; Tribal Music; Tribal Art; Ancestor Veneration; Herbal Medicine; African Symbols; Tribal Leadership; Subsistence Farming; Africa
19; Indigenous American Religions; Sacred Texts; Tribal Music; Tribal Art; Ancestor Veneration; Herbal Medicine; Native American Symbols; Tribal Leadership; Hunter-Gatherer and Agricultural Economies; Americas</s>
20;  Neo-Paganism; Book of Shadows; Neo-Pagan Music; Contemporary Pagan Art; Earth-based Philosophy; Holistic Medicine; Modern Symbols; Wiccan Leadership; Eclectic Economy; Global
21; Shinto; Kojiki and Nihongi; Gagaku; Traditional Japanese Art; Animism; Japanese Medicine; Shinto Symbols; Shogunal Politics; Agricultural and Service Economy; Japan
22; Cao Dai; Kinh Ky Nguyen; Cao Dai Music; Cao Dai Art; Compassion-based Philosophy; Vietnamese Medicine; Divine Eye Symbol; Hierarchical Politics; Mixed Economy; Vietnam
23; Zoroastrianism; Avesta; Zoroastrian Music; Persian Miniature Art; Good Thoughts, Good Words, Good Deeds; Zoroastrian Medicine; Faravahar Symbol; Theocratic Politics; Agricultural Economy; Iran
24; Jainism; Agamas; None; Indian Miniature Art; Syadvada and Anekantavada; Jain Medicine; Symbols of Ratnatrina; Communal Living; Trade and Business Economy; India
25; Unitarian Universalism; Various; New Age Music; Contemporary Art; Seven Principles; Modern Medicine; Chalice Symbol; Congregational Politics; Diverse Economy; North America
26; Rastafari; Kebra Nagast; Reggae Music; Ethiopian Art; Peace and Love; Italian Herbal Medicine; Lion of Judah Symbol; Monarchial Politics; Informal Economy; Jamaica
27; Santeria; Ocha Reiligion; Afro-Cuban Music; Abstract Art; African and Catholic Syncretism; Herbal Medicine; Orishas Symbols; Hierarchical Politics; Informal Economy; Cuba
