;economic\_policy; policy\_description; inflation\_rate\_CPI%; unemployment\_rate\_seasonally\_adjusted; interest\_rate\_central\_bank; fiscal\_year\_budget/$\_billions; trade\_balance\_$\_millions; poverty\_line\_income\_$;\*\* poverty\_gap\_index; corruption\_perceptions\_index\_score; human\_development\_index\_value; research\_and\_development\_expenditure$\_$$percentage; environmental\_protection\_expenditure$\_$$percentage
0; economic_policy; policy_description; inflation_rate_CPI%; unemployment_rate_seasonally_adjusted; interest_rate_central_bank; fiscal_year_budget/$\_billions; trade_balance_$\_millions; poverty_line_income_$;\*\* poverty_gap_index; corruption_perceptions_index_score; human_development_index_value; research_and_development_expenditure$\_$$percentage; environmental_protection_expenditure$\_$$percentage
1; Monetary Easing; A policy of flooding financial institutions with capital to lower interest rates and increase lending.; 2.5%; 4.2%; 1.5%; 3.8; -50; 15000; 0.23; 75; 0.91; 2.2; 0.6
2; Fiscal Austerity; Government measures to reduce spending and increase revenue in order to reduce budget deficits. ; 1.8%; 4.8%; 2%; 2.9; 20; 14000; 0.21; 68; 0.89; 2.8; 0.5
3; Infrastructure Investment; Policy aimed at improving long-term economic growth by investing in transportation, communication, and other key infrastructure. ; 3%; 5.3%; 1.8%; 4.1; -75; 16000; 0.19; 72; 0.9; 3; 2.5
4; Trade Liberalization; Removal or reduction of restrictions or barriers on the free exchange of goods and services. ; 1.2%; 4.6%; 1.2%; 3.5; 50; 13000; 0.18; 65; 0.85; 2.7; 0.4
5; Progressive Taxation; Policy that imposes a larger tax burden on those with higher incomes. ; 2%; 4.9%; 1.6%; 3.7; -100; 14500; 0.17; 70; 0.87; 2.9; 2.3
6; Social Safety Nets; Government programs designed to protect citizens from the financial hardships of poverty and unemployment. ; 1.9%; 4.7%; 1.7%; 3.6; -60; 14200; 0.16; 67; 0.86; 2.6; 0.7
7; Environmental Regulation; Policies aimed at protecting the environment through the regulation of business and industry. ; 2.1%; 4.5%; 1.8%; 3.9; -80; 14800; 0.15; 71; 0.9; 3.1; 1.8
8; Education Investment; Policy aimed at improving long-term economic growth by investing in education and human capital. ; 2.4%; 5%; 1.9%; 4%; -50; 15500; 0.14; 69; 0.88; 2.8; 2.2
9; Healthcare Reform; Policy aimed at improving the efficiency, equity, and/or accessibility of healthcare services. ; 1.7%; 4.4%; 1.4%; 3.4; -90; 13800; 0.13; 66; 0.84; 2.6; 1.9
