;Column1; Column2; Column3; Column4; Column5; Column6; Column7; Column8; Column9; Column10; Column11; Column12; Column13; Column14
0;" ""Social Stratification""";" ""Income Inequality""";" ""Wealth Gap""";" ""Education Levels""";" ""Occupation""";" ""Gender""";" ""Race""";" ""Age""";" ""Geographic Location""";" ""Health Disparities""";" ""Life Expectancy""";" ""Infant Mortality Rates""";" ""Access to Healthcare""";" ""Political Influence"""
1;"""Family Structure""";" ""Single Parent Households""";" ""Marriage Rates""";" ""Cohabitation""";" ""Divorce Rates""";" ""Same-sex Parenting""";" ""Intergenerational Living""";" ""Fertility Rates""";" ""Adoption""";" ""Childcare""";" ""Education of Parents""";" ""Economic Stability""";" ""Social Integration""";" ""Health and Well-being"""
2;"""Social Networks""";" ""Face-to-face Interaction""";" ""Online Communities""";" ""Social Support""";" ""Social Capital""";" ""Social Media""";" ""Mentoring""";" ""Volunteering""";" ""Civic Engagement""";" ""Neighborhood Relations""";" ""Workplace Relationships""";" ""Friendship""";" ""Extended Family""";" ""Professional Associations"""
3;"""Social Movements""";" ""Civil Rights""";" ""Women's Rights""";" ""LGBTQ+ Rights""";" ""Environmental Movement""";" ""Animal Rights""";" ""Political Activism""";" ""Labor Movement""";" ""Immigration""";" ""Decolonization""";" ""Human Rights""";" ""Indigenous Rights""";" ""Religious Movements""";" ""Anti-war Movements"""
4;"""Crime and Deviance""";" ""White Collar Crime""";" ""Street Crime""";" ""Organized Crime""";" ""Hate Crime""";" ""Police Brutality""";" ""Juvenile Delinquency""";" ""Rehabilitation""";" ""Recidivism""";" ""Prison Conditions""";" ""Drug Abuse""";" ""Gangs""";" ""Domestic Violence""";" ""Corporate Crime"""
5;"""Globalization""";" ""Economic Globalization""";" ""Cultural Globalization""";" ""Political Globalization""";" ""Migration""";" ""Diaspora""";" ""Transnationalism""";" ""Cultural Exchange""";" ""Trade Agreements""";" ""International Organizations""";" ""Global Governance""";" ""Global Inequality""";" ""Colonialism and Imperialism""";" ""Human Rights"""
6;"""Urbanization""";" ""Urban Growth""";" ""Urban Poverty""";" ""Gentrification""";" ""Urban Planning""";" ""Transportation""";" ""Housing""";" ""Education""";" ""Healthcare""";" ""Community Development""";" ""Crime""";" ""Environmental Issues""";" ""Urban Agriculture""";" ""Social Services"""
7;"""Social Change""";" ""Evolution of Society""";" ""Demographic Changes""";" ""Social Institutions""";" ""Political Systems""";" ""Economic Systems""";" ""Cultural Shifts""";" ""Gender Roles""";" ""Racial and Ethnic Relations""";" ""Social Attitudes""";" ""Values and Beliefs""";" ""Technology and Society""";" ""Education and Learning""";" ""Public Policy"""
8;"""Research Methods""";" ""Surveys""";" ""Interviews""";" ""Observational Studies""";" ""Content Analysis""";" ""Experimental Designs""";" ""Case Studies""";" ""Comparative Research""";" ""Longitudinal Studies""";" ""Mixed Methods""";" ""Sample Size""";" ""Measurement Errors""";" ""Data Analysis""";" ""Ethical Considerations"""
9;"""Contemporary Issues""";" ""Climate Change""";" ""Racial Reckoning""";" ""Police Reform""";" ""Income Inequality""";" ""Mental Health""";" ""LGBTQ+ Rights""";" ""Artificial Intelligence""";" ""Immigration""";" ""Education Policy""";" ""Public Health""";" ""Foreign Policy""";" ""Food Insecurity""";" ""Social Media and Politics"".</s>"
