;fiscal\_year; economic\_indicator; inflation\_rate; consumer\_price\_index; unemployment\_percentage; gini\_coefficient; poverty\_line\_income\_percentage; life\_expectancy\_at\_birth\_yr\_both\_sexes\_combined; human\_development\_index\_ranking; energy\_imports\_dependency\_percentage; exports\_to\_total\_trade\_value\_percentage; merchandise\_exports\_surplus\_or\_deficit\_percentage; services\_exports\_sub\_services\_imports\_percentage\_of\_trade\_value; high\_technology\_manufacturing\_exports\_percentage\_total\_manufacturing\_exports; research\_and\_development\_expenditure\_as\_a\_proportion\_of\_gross\_domestic\_product\_percentage; internet\_user\_penetrance\_rate\_percentage.
0; fiscal_year; economic_indicator; inflation_rate; consumer_price_index; unemployment_percentage; gini_coefficient; poverty_line_income_percentage; life_expectancy_at_birth_yr_both_sexes_combined; human_development_index_ranking; energy_imports_dependency_percentage; exports_to_total_trade_value_percentage; merchandise_exports_surplus_or_deficit_percentage; services_exports_sub_services_imports_percentage_of_trade_value; high_technology_manufacturing_exports_percentage_total_manufacturing_exports; research_and_development_expenditure_as_a_proportion_of_gross_domestic_product_percentage; internet_user_penetrance_rate_percentage.
1;2010; Gross Domestic Product; 1.6%; 215.3; 9.8%; 0.45; 14.3%; 79.3; 20; 28; 45; -1.2; 12.5; 25; 2.2; 72.
2;2011; Consumer Spending; 2.2%; 217.9; 9.1%; 0.46; 13.8%; 79.5; 21; 29; 47; 0.5; 13.2; 26; 2.3; 74.
3;2012; Government Spending; 1.8%; 220.2; 8.5%; 0.47; 13.3%; 79.8; 22; 23; 50; 2.1; 1.7; 14; 27; 2.5  77.
4;2013; Business Investment; 3.1%; 223.1; 7.9%; 0.44; 12.9%; 80.1; 24; 18; 52; 1.9; -2.3; 15.5; 28; 2.7  81.
5;2014; Net Exports; -0.4%; 225.8; 7.4%; 0.43; 12.5%; 80.5; 26; 14; 56; -3.1; -5.4; 17.1; 29; 2.9  85.
6;2015; Personal Income; 2.5%; 228.6; 6.8%; 0.42; 12%; 81; 28; 12; 58; 6.2; -1.9; 18.6; 30; 3  89.
7;2016; Wages and Salaries; 2.8%; 231.3; 6.6%; 0.41; 11.6%; 81.5; 30; 10; 61; 8.1; -0.8; 20.2; 32; 3.1  92.
8;2017; Proprietors' Income; 3.3%; 234.2; 6%; 0.4; 11.2%; 82; 32; 8; 64; 10.1; 0.7; 21.8; 33; 3.3  96.
9;2018; Rental Income; 2.9%; 237.7; 5.8%; 0.39; 10.9%; 82.5; 34; 6; 67; 12; 2.4; 23.5; 35; 3.6  99.
10;2019; Corporate Profits; 2.4%; 241.2; 5.4%; 0.38; 10.6%; 83; 36; 4; 69; 14.1; 5.3; 25.2; 36; 3.8  101.</s>
