;Soils Analysis Method;Borehole Logging Data Points;Seismicity Measurements;Tectonic Setting Characteristics;Geological Hazard Assessment Indices;Volcanologial Monitoring Parameters;Ground Water Chemistry Profile;Local Magnetic Field Variations;Spaceweathers Impact On The Region;Astronomical Satellite Imagery For Regional Surveys;Geological Time Scale
0;  Munsell Soil Color Chart; 50 data points; P, S, L waves; Oceanic-Continental boundary; InSAR, SAR; SO2, ground tilt; H2O, Na+, K+, Ca2+, Mg2+; Decreasing trend; Solar flares, geomagnetic storms; Landsat 8, Sentinel-2; Precambrian-Phanerozoic
1; Penetrometer Test; 75 data points; P, S, Love waves; Intraplate setting; Landslides, earthquakes; TOUGH, FLAME; Cl-, HCO3-, CO32-; Increasing trend; Cosmic rays, CMEs; ASTER, SPOT; Archean-Proterozoic
2; Laser Induced Breakdown Spectroscopy (LIBS); 100 data points; Surface waves; Convergent boundary; Volcanic explosivity index; Gas emissions, deformation; Si, Al, Fe; Steady trend; Gamma rays, auroras; IKONOS, QuickBird; Paleozoic-Mesozoic
3; X-ray Fluorescence (XRF); 125 data points; Rayleigh wave; Transform boundary; Seismic risk; Ground motion, strong ground motion; Ti, Mn, Zn; Decreasing-increasing trend; Solar energetic particles, ground conductivity; IRS, Pleiades; Cenozoic
4; Hydraulic Conductivity Test; 150 data points; Seismic refraction; Divergent boundary; Tsunami hazard; Water level, water pressure; SO42-, NO3-, PO43-; Increasing-decreasing trend; Protons, electrons; Radarsat, TerraSAR-X; Neogene-Quaternary
5; Electric Resistivity Tomography (ERT); 175 data points; Full waveform inversion; Subduction zone; Volcano hazard; Magma ascent, volcanic gas emissions; Rb, Sr, Y; Steady-decreasing trend; Neutrons, muons; Envisat, ALOS; Mesozoic-Cenozoic
6; Ground Penetrating Radar (GPR); 200 data points; Seismic interferometry; Rift setting; Slope stability; Soil moisture, shear strength; C, N, O; Increasing-steady trend; Galactic cosmic rays, geoelectric field; ERS, JERS; Paleozoic-Mesozoic
7; Spectrophotometry; 225 data points; Ambient noise; Hotspot setting; Fire hazard; Temperature, heat flow; S, Ba, Cr; Steady-increasing trend; Cosmic rays, solar wind; SPOT, Landsat 7; Archean-Proterozoic
8; Seismic Attenuation; 250 data points; Seismic tomography; Oceanic plateau; Earthquake hazard; Stress drop, radiated energy; Li, V, Cu; Decreasing-steady trend; Auroras, geomagnetic storms; Sentinel-1, RADARSAT-2; Mesozoic-Cenozoic
9; Induced Polarization (IP); 275 data points; Seismic array; Continental margin; Soil liquefaction; Resistivity, chargeability; SiO2-, K+, Mg2+; Steady-increasing trend; Solar flares, CMEs; ALOS-2, TerraSAR-X; Phanerozoic.</s>
