;Poet's Country of Origin; Publication Year; Initial Reception; Formal Elements Adapted; Influences on the Poet; Poetic Form; Emotional Intensity; Use of Sarcasm; Levels of Abstraction; Contextual Ambiguity; Parallelism and Repetition; Narrative Structure
0; United States; 1923; Mixed reviews, some critics praising its innovative style; Free verse, jazz rhythms; Modernist poets, African-American culture; Experimental poetry; High; Not present; Abstract; Present; Present; Heavy use, emphasizing recurring themes  Non-linear narrative.
1;United Kingdom; 1850; Generally well-received, with praise for its vivid imagery; Blank verse, traditional forms; Romantic poets, classical literature; Sonnets, odes; Moderate; Not present; Concrete; Not present; Absent; Present, using repetition to reinforce ideas  Linear narrative.
2;Ireland; 1903; Polarized reception, with some critics praising its lyrical qualities; Ballad meter, hymn forms; Folk poetry, Celtic mythology; Narrative poetry; High; Not present; Concrete; Not present; Concrete; Absent  Present, using repetition and parallelism  Linear narrative.
3;France; 1897; Initial confusion, but later recognized as a groundbreaking work; Prose poetry, alexandrines; Symbolist poets, Baudelaire; Symbolist poetry; Moderate; Present, subtle irony; Abstract; Present; Present; Present  Heavy use, emphasizing imagery  Non-linear narrative.
4;United States; 1957; Generally well-received, with praise for its experimentation; Open form, collage; Modernist poets, Eastern philosophies; Experimental poetry; High; Present, biting satire; Abstract; Present; Present; Present  Present, using repetition and juxtaposition  Non-linear narrative.
5;Germany; 1912; Polarized reception, with some critics praising its emotional depth; Expressionist poetry, lyrical form; Expressionist artists, German folklore; Lyric poetry; High; Not present; Concrete; Present, direct sarcasm; Concrete; Absent  Present, using repetition to heighten emotion  Linear narrative.
6;Spain; 1928; Generally well-received, with praise for its social commentary; Free verse, traditional forms; Social realism, political movements; Social realism poetry; Moderate; Present, sharp sarcasm; Concrete; Present; Concrete; Present  Present, using parallelism and repetition  Linear narrative.
7;Russia; 1915; Mixed reviews, with some critics praising its revolutionary style; Futurist poetry, Russian folklore; Futurist poets, political activism; Futurist poetry; High; Present, biting sarcasm; Abstract; Present; Present; Present  Present, using parallelism and repetition  Non-linear narrative.
8;Italy; 1861; Initial confusion and controversy, but later recognized as a masterpiece; Terza rima, sonnet form; Dante, Italian literature; Sonnets; Moderate; Present, subtle irony; Concrete; Not present; Absent; Present  Heavy use, emphasizing imagery  Linear narrative.
9;Japan; 1925; Generally well-received, with praise for its innovations in traditional forms; Tanka, haiku; Classical Japanese poetry, modern life; Tanka and haiku; High; Not present; Abstract; Not present; Abstract; Absent  Present, using repetition in haiku  Non-linear narrative.</s>
10; United States; 1948; Divisive, with some hailing it as a groundbreaking work and others criticizing its perceived nihilism; Free verse, blank verse; T.S. Eliot, World War II; Free verse; High; Not present; Concrete; Present; Absent; Not present  Present, using parallelism in stanzas  Non-linear narrative.
