;Ancient Civilizations; Medieval Life; Intellectual Gathering Methods; Religious Beliefs; Philosophical Ideas; Trade Routes; Royal Families; Nobility and Commoners; Law Enforcement Agencies and Judicial Systems; Agricultural Developments and Irrigation Techniques; Warfare Tactics and Weapons
0;  Ancient Egypt; Monastic lifestyles; Scholarly correspondence; Christian orthodoxy; Platonic realism; Silk Road; Ptolemaic dynasty; Serfs and lords; Feudal law enforcement; Development of plows and irrigation ditches; Phalanx formation with spears.
1; Indus Valley Civilization; Chivalry codes in tournaments; Philosophical debates in symposiums; Islamic faith expansion; Aristotelian ethics; Incense route; Zhou dynasty; Knighthood system; Manorial court system; Invention of seed-drill and Norias.;
2; Mesopotamia; Castle life during sieges; Knowledge acquisition at Lyceums; Animistic religions; Stoicism rising in Rome; Spice trade routes; Inca emperors; Medieval guilds and peasants; Trial by ordeal; Irrigation canals and dikes construction.;
3; Mayan Civilization; Knighthood culture in Crown rule; Enlightenment thinkers' influence; Buddhism rise in Asia; Epicureanism favoring peace; Amber Road; Tudor dynasty; Craftsmen and farmers; Courts using jury trials; Terracing and crop rotation techniques.;
4; Ancient Greece; Life in manor halls during peace time; Socratic questioning era; Hinduism dominates Indian subcontinent; Skepticism on absolute truth; Maritime trade routes; Han dynasty; Clergy and commoners; Legal system based on customary laws; Intensive agriculture and crop specialization.;
5; Roman Empire; Courtly love prevalent in literary circles; Scholasticism impact on philosophy; Widespread pagan beliefs; Cynicism philosophical movement; Frankincense and myrrh routes; Umayyad dynasty; Craftsmen, merchants, and serfs; Public trials and capital punishment; Three-field crop rotation method.;
6; Ancient China; Monastic orders' daily routine; Age of Reason affecting thought; Emergence of Shinto in Japan; Epicureanism's appeal; Royal roads of communication; Mughal Empire; Samurai culture; Sharia law implementation; Overhead irrigation system development.;
7; Aztec Civilization; Chivalric code influence on nobility; Enlightenment affecting intellectual circles; Christianity's spread across Americas; Confucianism ethical system; Salt trade route; Ottoman Empire; Knights, freemen, and slaves; Common law development; Chinampa agricultural method.;
8; Persian Empire; Life in castles during peacetime; Humanism taking European stage; Jainism emergence in India; Skepticism in philosophical thought; Royal postal relay system; Qing dynasty; Guilds, artisans, and tenants; Trial juries and written records; Qanat water supply system.;
9; African Kingdoms - Mali, Songhai, Ghana; Monastic seclusion and learning; Renaissance period influencing intellectuals; Zoroastrianism in Persia; Cynicism promoting self-sufficiency; Precious metals and slaves trading; Absolute monarchies; Serfdom, freemen, and slaves; Codified legal systems; Terraced farming and water storage techniques.</s>;
10;  Inca Civilization; Monastery system impact on society; Scientific Revolution affecting thinkers; Buddhism rise in India; Epicureanism advocating simple pleasures; Spice trade route; Mughal Empire; landowners and peasants; Court system and legal codes; Norias for water supply.;
11; Roman Empire; Life in feudal manors; Age of Enlightenment shaping intellects; Hinduism emergence in India; Stoicism on moral living; Grain trade routes; Tokugawa Shogunate; Samurais, farmers, and artisans; Shogunal courts and clan codes; Irrigation canals and reservoirs.;
12; Ancient Egypt; Existence in longhouses during peacetime; Reformation affecting religious beliefs; Taoism in China; Skepticism in philosophical thought; Silk Road trade; Russian Tsardom; Boyars, servitors, and peasants; Local courts and military justice; Flood-based agriculture.;
13; Mayan Civilization; Scholarly communities' influence; Industrial Revolution impacting intellectuals; Shintoism in Japan; Cynicism promoting self-sufficiency; Fur trade; Prussian Empire; Junkers, burgers, and peasants; Regional parliaments and royal decrees; Drained field agriculture.;
14; Chinese Empire; Castle living during peacetime; Romanticism influencing scholars; Jainism in India; Epicureanism advocating simple pleasures; Tea horse road trade; Ottoman Caliphate; Effendis, ahlaks, and rayahs; Qadi courts and local sharia; Paddy field agriculture.;
15; Mesopotamian Civilizations; Tribal organizations of commoners; Positivism impacting intellectuals; Zoroastrianism in Persia; Skepticism in philosophical thought; Incense and textiles trading; Habsburg Monarchy; Aristocrats, bourgeoisie, and serfs; Centralized courts and regional dietes; Irrigation systems development.;
16; Greek City-States; Farming communities' influence; Victorian era affecting intellectuals; Confucianism in China; Cynicism promoting self-sufficiency; Grain and wine trading; Ming Dynasty; Literati, artisans, and merchants; Local magistrates and central authority; Terraced farming and water channels.;
