;fiscalyear; economicindicator; inflationrate; unemploymentrate; exportvalue; importvalue; consumerpriceindex; balanceoftrade; governmentdebttoGDPratio; humandevelopmentindex; energyconsumptionpercapita; marketcompetitivenessranking; currentaccountbalance; taxrevenue
0;" ""fiscalyear""";"""economicindicator""";"""inflationrate""";"""unemploymentrate""";"""exportvalue""";"""importvalue""";"""consumerpriceindex""";"""balanceoftrade""";"""governmentdebttoGDPratio""";"""humandevelopmentindex""";"""energyconsumptionpercapita""";"""marketcompetitivenessranking""";"""currentaccountbalance""";"""taxrevenue"""
1;"""2020""";"""Gross Domestic Product (GDP)""";"""2.3%""";"""4.7%""";"""1874 billion USD""";"""1822 billion USD""";"""252.4""";"""52 billion USD""";"""155.6%""";"""0.922""";"""20465 kgoe""";"""37""";"""120 billion USD""";"""24%"""
2;"""2019""";"""Gross National Income (GNI)""";"""1.8%""";"""3.9%""";"""1957 billion USD""";"""1867 billion USD""";"""249.9""";"""109 billion USD""";"""152.5%""";"""0.921""";"""20405 kgoe""";"""39""";"""165 billion USD""";"""23.5%"""
3;"""2018""";"""Industrial Production""";"""2%""";"""4.2%""";"""2168 billion USD""";"""2043 billion USD""";"""247.6""";"""88 billion USD""";"""149.6%""";"""0.919""";"""20435 kgoe""";"""35""";"""221 billion USD""";"""23%"""
4;"""2017""";"""Consumer Spending""";"""1.9%""";"""4.6%""";"""2048 billion USD""";"""1926 billion USD""";"""245.6""";"""95 billion USD""";"""147.2%""";"""0.918""";"""20318 kgoe""";"""33""";"""247 billion USD""";"""22.5%"""
5;"""2016""";"""Capital Investment""";"""1.7%""";"""5.1%""";"""1854 billion USD""";"""1801 billion USD""";"""242.2""";"""53 billion USD""";"""144.6%""";"""0.917""";"""20187 kgoe""";"""31""";"""203 billion USD""";"""22%"""
6;"""2015""";"""Labor Productivity""";"""1.6%""";"""5.6%""";"""1693 billion USD""";"""1695 billion USD""";"""238.5""";"""-2 billion USD""";"""143.2%""";"""0.915""";"""20072 kgoe""";"""30""";"""207 billion USD""";"""21.5%"""
7;"""2014""";"""Market Size""";"""1.4%""";"""6.2%""";"""1595 billion USD""";"""1621 billion USD""";"""234.7""";"""-26 billion USD""";"""142.1%""";"""0.914""";"""19897 kgoe""";"""29""";"""216 billion USD""";"""21%"""
8;"""2013""";"""Internet & Telecom""";"""1.2%""";"""6.9%""";"""1496 billion USD""";"""1589 billion USD""";"""231""";"""-93 billion USD""";"""141.2%""";"""0.913""";"""19717 kgoe""";"""28""";"""223 billion USD""";"""20.5%"""
9;"""2012""";"""Business Cycle""";"""1%""";"""7.7%""";"""1379 billion USD""";"""1532 billion USD""";"""226.9""";"""-153 billion USD""";"""140.4%""";"""0.912""";"""19535 kgoe""";"""27""";"""232 billion USD""";"""20%"""
10;"""2011""";"""Fiscal Policy""";"""0.8%""";"""8.5%""";"""1264 billion USD""";"""1446 billion USD""";"""221.5""";"""-182 billion USD""";"""140.1%""";"""0.91""";"""19366 kgoe""";"""26""";"""239 billion USD""";"""19.5%""</s>"
