;"""City Name""";"""Country of Belonging""";"""City Area (km2)""";"""City Population""";"""City Population Density""";"""City Climate""";"""City Terrain""";"""City Highest Point""";"""City Major River""";"""City Major Lake"""
0;" ""Tokyo""";"""Japan""";"""2,188""";"""37,400,068""";"""17,082 persons/km2""";"""Humid Subtropical""";"""Flat to Gentle Rolls""";"""Mt. Fuji (3,776m)""";"""Tokyo River (Sumida River)""";"""Lake Kasumigaura"""
1;"""Delhi""";"""India""";"""1,484""";"""30,109,103""";"""20,270 persons/km2""";"""Semi-arid""";"""Plains""";"""None""";"""Yamuna River""";"""None"""
2;"""Shanghai""";"""China""";"""6,340.5""";"""27,058,480""";"""4,268 persons/km2""";"""Humid Subtropical""";"""Flat to Gentle Rolls""";"""Luojia Shan (403m)""";"""Huangpu River""";"""Lake Tai"""
3;"""São Paulo""";"""Brazil""";"""1,521.1""";"""22,043,028""";"""14,500 persons/km2""";"""Tropical""";"""Hills""";"""Pico do Jaú (3,445m)""";"""Tietê River""";"""Lake Guaíba"""
4;"""Mumbai""";"""India""";"""603.4""";"""20,712,970""";"""34,328 persons/km2""";"""Tropical""";"""Plains""";"""Matheran (803m)""";"""Ulhas River""";"""None"""
5;"""Beijing""";"""China""";"""16,410.5""";"""21,516,000""";"""1,311 persons/km2""";"""Humid Continental""";"""Plateau""";"""Mt. Xiangshan (2,017m)""";"""Yongding River""";"""None"""
6;"""Cairo""";"""Egypt""";"""453""";"""20,500,000""";"""45,254 persons/km2""";"""Hot Desert""";"""Flat""";"""Mokattam (248m)""";"""Nile River""";"""None"""
7;"""Dhaka""";"""Bangladesh""";"""306.4""";"""20,283,552""";"""66,147 persons/km2""";"""Tropical""";"""Flat""";"""None""";"""Buriganga River""";"""None"""
8;"""Mexico City""";"""Mexico""";"""1,485""";"""21,782,378""";"""14,686 persons/km2""";"""Subtropical""";"""Plateau""";"""Ajusco (3,930m)""";"""Río de los Remedios""";"""Lake Texcoco"""
9;"""Osaka""";"""Japan""";"""225.2""";"""19,281,000""";"""85,663 persons/km2""";"""Humid Subtropical""";"""Plains""";"""Mt. Ikoma (642m)""";"""Yodo River""";"""None""</s>"
10;" ""Seoul""";"""South Korea""";"""605.2""";"""9,776,290""";"""16,152 persons/km2""";"""Humid Continental""";"""Hills""";"""Mt. Bukhan (836.5m)""";"""Han River""";"""None"""
11;"""Shanghai""";"""China""";"""6,341""";"""24,153,900""";"""3,810 persons/km2""";"""Humid Subtropical""";"""Flat""";"""None""";"""Yangtze River""";"""None"""
