;Quantum Number (n, l, m, s); Atomic Orbitals; Uncertainty Principle; Quantum Superposition; Quantum Entanglement; Wave Function; Quantum Tunneling; Quantum Teleportation; Quantum Cryptography; Quantum Computing; Quantum Decoherence; Quantum Metrology; Quantum Information
0; (3, 1, 0, +1/2); 3s orbitals; n=1 has certain energy value; A cat can be both alive and dead; Spooky action at a distance; Probability distribution; Tunneling through energy barriers; Transferring quantum information; Secure communication system; Superfast calculation possibilities; Loss of quantum properties over time; Precise measurements with quantum systems; Storing and processing information.
1;(4, 0, 0, -1/2); 4p orbitals; n=2 has uncertain position and momentum; Schrödinger's cat paradox; Particles become interconnected; Function describing particle state; Passing through walls with quantum particles; Instantaneous transportation of information; Protecting against hacking attacks; Factoring large numbers quickly; Reducing coherence with environment; Higher sensitivity in measurements; Managing large amounts of data.
2;(5, 1, -1, +1/2); 5d orbitals; n=3 has limited knowledge of position; Electron cloud movement; Combining particles for unique states; Wave-like properties of particles; Quantum tunneling in chemical reactions; Disappearing and reappearing in different locations; Secure information sharing; Quantum money system; Speedy database searches; Decoherence reducing efficiency; Quantifying tiny changes  Error correction in quantum systems.
3;(6, 2, 0, -1/2); 6f orbitals; n=4 has position and momentum uncertainty; Orbital shapes and energies; Superposition of multiple states; Non-local correlations between entangled particles; Particle-wave duality; Bound states and decay; Quantum teleportation of macroscopic objects; Quantum secret sharing; Drug discovery and molecular modeling; Environment-induced decoherence; Interferometry with massive particles  Dense coding in quantum communication.
4;(7, 3, -2, +1/2); 7g orbitals; n=5 has limited information of electron position; Shapes of subshells; Wave function collapse; Quantum non-locality; Probability amplitudes; Barrier penetration in nuclear reactions; Quantum internet and networking; Machine learning algorithms; Simulating complex systems; Decay of quantum states; Quantum interferometry  Quantum error correction.
5;(8, 0, 0, +1/2); 8s orbitals; n=6 has uncertain position and momentum; Atomic structure; Quantum uncertainty principle; Pairs of entangled particles; State of a system; Tunneling in solids and nanotechnology; Quantum key distribution; Weather forecasting; Cryptanalysis and decryption; Energy levels of atoms; Measuring time precisely  Quantum databases.
6;(9, 1, 1, -1/2); 9p orbitals; n=7 has certain energy value; Orbitals around nucleus; Heisenberg's uncertainty principle; Entangled qubits; Representation of particles; Quantum cloning; Quantum games; Large-scale simulations; Quantum machine learning; Quantum superradiance; Environmental decoherence  Magnetic resonance imaging  Quantum sensing.
7;(10, 2, -1, +1/2); 10d orbitals; n=8 has position and momentum uncertainty; Electron orbital configurations; Quantum superposition; Quantum steering; Spin of particles; Quantum state tomography; Quantum repeaters; Quantum finance and economics; Protein folding predictions; Quantum decoherence in molecules; Optical lattice clocks  Quantum random number generation.
8;(11, 3, 0, -1/2); 11f orbitals; n=9 has limited knowledge of electron position; Atomic spectra; Quantum entanglement; Quantum contextuality; Angular momentum; Quantum annealing; Data compression; Many-body localization; Quantum gravity research; Decoherence and thermalization; Interferometry with ultra-cold atoms  Quantum fingerprinting.
9;(12, 0, 0, -1/2); 12s orbitals; n=10 has uncertain position and momentum; Quantum numbers and atomic structure; Wave-particle duality; Non-locality in quantum physics; Zero-point energy; Quantum evaporation; Quantum gas; Quantum imaging; High-precision measurements; Quantum chaos; Quantum phase transitions  Digital quantum simulation.</s>
10; (13, 1, -1, +1/2); 13p orbitals; n=11 has uncertainty in position and velocity; Quantum statistics; Heisenberg uncertainty principle; Schrödinger's cat thought experiment; Quantum interference; Quantum simulators; Quantum supremacy; Quantum error correction; Quantum machine learning; Quantum sensors; Quantum geometrical phases  Quantum many-body systems.
11;(14, 2, 0, -1/2); 14d orbitals; n=12 has limited position knowledge; Spin-orbit coupling; Quantum field theory; Quantum erasure; Quantum teleportation; Quantum key distribution; Quantum internet; Boson sampling; Quantum field theory; Quantum bioinformatics; Quantum gravity and cosmology  Entangled states of light.
12;(15, 3, 1, +1/2); 15f orbitals; n=13 has uncertain position and momentum; Quantum statistics in condensed matter; Quantum zeno effect; Quantum entanglement swapping; Quantum game theory; Quantum metrology in gravitational physics; Quantum chemistry simulations; Quantum gravity and string theory; Quantum imaging with undetected photons; Topological quantum computing; Quantum thermodynamics  Quantum field theory unification.
13;(16, 4, -2, -1/2); 16g orbitals; n=14 has uncertain position and momentum; Quantum chaos and complexity; Quantum walks; Quantum discord; Quantum metrology for optical frequency standards; Quantum computing algorithms; Quantum statistics in astrophysics; Quantum foundations research; Quantum annealing for optimization; Quantum-enhanced microscopy; Quantum process tomography.
14;(17, 5, 0, +1/2); 17h orbitals; n=15 has uncertainty in position and velocity; Quantum Monte Carlo methods; Quantum teleportation with continuous variables; Quantum repeaters for long-distance communications; Quantum algorithms for machine learning; Quantum gravity phenomenology; Quantum plasma physics; Quantum phase transitions in ultracold atoms; Quantum cryptography in satellite-based systems; Quantum-limited measurements.;
15;(18, 0, 0, +1/2); 18s orbitals; n=16 has uncertain position and momentum; Quantum information in chemical reactions; Quantum gravity and general relativity; Quantum parallelism and superposition; Quantum phase transitions in condensed matter; Quantum gravity wave detection; Quantum computing architectures; Quantum many-body localization; Quantum thermodynamics; Quantum walks with single photons.;
16;(19, 1, -1, -1/2); 19p orbitals; n=17 has uncertainty in position and velocity; Quantum key distribution with discrete modulation; Quantum communication complexity; Quantum gravity phenomenology; Quantum entanglement in many-body systems; Quantum sensing; Quantum simulation of open systems; Quantum gravity and black holes; Quantum many-body localization and topology.;;
