;ArticleSource; PublicationDate; ArticleSummaryCount; LargeArtifact4;\
0;" ""National Geographic""";" ""March 15, 2023""";" ""12 summaries""";" ""Inca stone carvings"" ";
1;"""Archeology Magazine""";" ""February 28, 2023""";" ""18 summaries""";" ""Egyptian funerary artifacts"" ";
2;"""Smithsonian Magazine""";" ""January 10, 2023""";" ""23 summaries""";" ""Ancient Roman pottery"" ";
3;"""Current Archaeology""";" ""December 15, 2022""";" ""15 summaries""";" ""Mayan hieroglyphic texts"" ";
4;"""British Archaeology""";" ""November 30, 2022""";" ""20 summaries""";" ""Saxon burial sites"" ";
5;"""Archaeology Scotland""";" ""October 15, 2022""";" ""17 summaries""";" ""Pictish symbol stones"" ";
6;"""Early Man""";" ""September 30, 2022""";" ""22 summaries""";" ""Neanderthal tools"" ";
7;"""The Archaeologist""";" ""August 15, 2022""";" ""16 summaries""";" ""Native American petroglyphs"" ";
8;"""American Archaeology""";" ""July 31, 2022""";" ""19 summaries""";" ""Anasazi cliff dwellings"" ";
9;"""Canadian Archaeology""";" ""June 15, 2022""";" ""18 summaries""";" ""Viking settlements""</s>";
