;God(dess);Spouse;Children;Roles;Domains;Ascension;Demise;Nephilim;Siblings;Offspring;Alliance;Enemies;Regalia;Festivals
0; Zeus;Hera;Athena, Apollo, Artemis, Hermes, Persephone, Dionysus, Ares, Aphrodite, Hephaestus, Helen of Troy;Hades, Poseidon;Thunderbolt;Olympian Games;Immortal;N/A;Brother of Hades and Poseidon;Gods and Goddesses of Mount Olympus;;;;
1;Hera;Zeus;Hebe, Eileithyia;Queen of the Gods;Marriage, Women, Childbirth;Theogamy;Immortal;N/A;Sister of Zeus;Goddesses of Mount Olympus;;;;
2;Poseidon;Amphitrite;Triton, Pontus;God of the Sea;Earthquakes, Horses;Birth;Immortal;N/A;Brother of Zeus;Deities of the Sea;;;;
3;Hades;Persephone;Melinoe, Zagreus, Macaria;God of the Dead;Riches from the Earth, Underworld;Birth;Immortal;Brother of Zeus;Deities of the Underworld;;;;;
4;Demeter;Iasios;Persephone, Despoina, Plutus, Philomela, Arion, Eubuleus;Goddess of Agriculture;Harvest, Sacred Law;Birth;Immortal;N/A;Alliance with Persephone and Hades;Agrarian Festivals;;;;
5;Athena;None;Ergone;Goddess of Wisdom;Crafts, Warfare;Birth;Immortal;N/A;Daughter of Zeus;Deities of Wisdom;;;;
6;Apollo;Leto;Artemis;God of Music, Poetry, Art, Oracles, Archery, Medicine, Sun;Prophecy, Music, Plague, Healing;Birth;Immortal;Twin of Artemis;Deities of Light;;;;;
7;Artemis;Zeus;Apollo;Goddess of Hunting, Wilderness, Wild Animals, the Moon;Chastity, Childbirth;Birth;Immortal;Twin of Apollo;Deities of the Hunt;;;;;
8;Ares;Hera;Phobos, Deimos, Harmonia, Eros, Anteros, Himeros;God of War;Courage, Violence;Birth;Immortal;Son of Zeus;Deities of War;;;;;
9;Aphrodite;Hephaestus/Ares;Eros, Phobos, Deimos, Harmonia, Priapus, Anteros, Hymenaios;Goddess of Love and Beauty;Love, Fertility;Birth;Immortal;Daughter of Zeus;Deities of Love</s>;;;;;
