;Software Architecture Patterns; Programming Languages Adoption; User Experience Design Guidelines; IT Project Management Methodologies; Cybersecurity Threat Analysis Tools; Datacenter Physical Layout Planning; Quantum Computing Research Developments; Virtual Reality / Augmented Reality Applications; Internet Of Things (IoT) Protocol Standards; Blockchain Transactions Speed Optimizations; Edge Computing Infrastructure Improvements; Cloud Services Pricing Models; Open Source Licensing Options; Legal Issues in Technology.
0;  Microservices; Python, Java, JavaScript; Apple's Human Interface Guidelines, Google's Material Design; Agile, Scrum, Waterfall; Cisco UCS, Dell EMC; Quantum supremacy, error correction; VR training simulations, AR navigation; MQTT, CoAP, LWM2M; Bitcoin Nano Transactions, Ethereum Sharding; Multi-cloud, Edge-as-a-service;  Reciprocal, Copyleft, Permissive; Data privacy concerns, AI ethics;;
1; Service-oriented architecture; C#, PHP; Microsoft's Fluent Design, IBM's Design Thinking; PRINCE2, PMI, Six Sigma; HPE, Lenovo; Quantum key distribution, topological qubits; VR game immersion, AR interior design; LoRaWAN, Zigbee, Z-Wave; Lightning Network, Raiden Network; Containers, Micro DC, Fog computing; Free, Open, Commercial; AI patent challenges, cyberstalking laws;;
2; Layered architecture; Ruby, Swift; Google's Material Design, Oracle's UX Guidelines; Lean, Crystal, PRINCE2; Schneider Electric, Caterpillar; Quantum annealing, fault tolerance; VR therapy, AR maintenance; HTTP, AMQP, XMPP; Off-chain transactions, State channels; Serverless, CDN, Hybrid; GPL, MIT, BSD; Digital divide, social media regulation;;
3; Event-driven architecture; Go, Rust; Facebook's Design Language, SAP's Fiori; Kanban, Scrumban, XP; Juniper Networks, Quanta; Quantum machine learning, error mitigation; VR filmmaking, AR architecture; MQTT-SN, Lora, SIGFOX; Plasma, Hashgraph, EOSIO; Kubernetes, SDN, SD-WAN; Apache, BSD, WTFPL; Algorithmic bias, net neutrality;;
4; Space-based architecture; TypeScript, Kotlin; Flutter's UI Toolkit, Amazon's Design Language; RUP, FDD, ASD; Supermicro, Inspur; Quantum teleportation, quantum entanglement; VR location-based entertainment, AR urban planning; LTE-M, NB-IoT, Wi-SUN; Chainlink, State Channels, TrueBit; High-performance computing, Grid computing, load balancing; Mozilla, MIT, Apache; AI accountability, data protection;;
5; Model-view-controller; C, Objective-C; Adobe's Experience Design, BlackBerry's UX Guidelines; PMBOK, Critical Path Method, Event Chain Methodology; Hitachi, IBM; Quantum algorithms, quantum error correction; VR social platforms, AR education; XMPP, AMQP, STOMP; Raiden, Lightning, Plasma; Content Delivery Network, Peer-to-Peer, Hyperconverged; Creative Commons, Eclipse, Artistic; Cyberterrorism, cyberwarfare;;
6; Microkernel architecture; Scala, Perl; Carbon Design System, BlackBerry's Playbook OS Design; JIRA, LeSS, XP; Huawei, Nokia; Quantum supremacy, quantum cryptography; VR e-commerce, AR art; LoRaWAN, Zigbee, Z-Wave; Sidechains, payment channels, off-chain transactions; Edge gateways, distributed cloud, network functions virtualization; LGPL, EPL, CDDL; Intellectual property theft, cyber piracy;;
7; Virtual machine architecture; Fortran, Lisp; Material-UI, BlackBerry's 10 Design; PRINCE2 Agile, Agile Unified Process, RUP; Dell, Fujitsu; Quantum supremacy, quantum key distribution; VR healthcare, AR remote assistance; HTTP, CoAP, XMPP; Payment channels, layer-2 scaling, side-chains; Network-attached storage, containerization, load balancers; GNU, Apache, Boost; Software patents, GDPR;;
8; Space-based middleware architecture; Prolog, Forth; Fluent Design, N/A; SAFe, Crystal, Lean Startup; Cisco, Ericsson; Quantum key distribution, topological quantum computing; VR museums, AR theme parks; DDS, OPC UA, AMQP; Payment channels, state channels, TrueBit; Multi-access edge computing, distributed data storage, cloudlets; PostgreSQL, MPL, EPL; Open data, digital divide, technology addiction;;
9; Service-oriented modeling architecture; Pascal, Haskell; IBM's Design Language, N/A; TOGAF, MoDAF, FEAF; NEC, Avaya; Quantum internet, quantum supremacy; VR accessibility, AR industrial automation; LWM2M, MQTT, CoAP; Trusted hardware, enclaves, secure elements; PaaS, SaaS, IaaS; OSI, GPL, RPL; Open architecture, vendor lock-in, cloud security.</s>;;
10;  Microkernel architecture; Rust, Kotlin; Google's Material Design, Apple's Human Interface Guidelines; PMI, Scrum; IBM, Lenovo; Quantum cryptography, post-quantum cryptography; VR education, AR architecture; AMQP, STOMP, REST; Lightning Network, schnorr signatures, segwit; Kubernetes, Docker, Mesos; Eclipse, BSD, MIT; Deep packet inspection, copyright infringement, net neutrality;;
11; Layered component architecture; MATLAB, R; Microsoft's Fluent Design, N/A; Zachman, MoP, Gartner; Hitachi, Cisco Meraki; Quantum simulation, quantum error correction; VR art, AR interior design; XMPP, SMTP, LDAP; Off-chain transactions, payment hubs, block confirmations; Hybrid cloud, multi-cloud, private cloud; BSD, AFL, WTFPL; Algorithmic bias, cyberstalking, AI ethics;;
12; Space-based architecture; COBOL, Lua; Oracle's UX Design Guidelines, N/A; ITIL, COBIT, FAIR; NetApp, Oracle; Quantum teleportation, quantum entanglement; VR fitness, AR sports; HTTP/3, WebSocket, gRPC; Sharding, fractional reserve, off-chain data; Serverless, FaaS, IaC; GPL, LGPL, Affero; Data privacy, surveillance capitalism, consumer protection;;
13; Event-driven architecture; Swift, Dart; Facebook's Figma Design System, N/A; SSADM, BPMN, SAFe; Supermicro, Huawei; Quantum networks, quantum internet; VR training, AR navigation; MQTT, CoAP, LWM2M; Payment protocols, block confirmations, HSM; Hybrid edge-cloud, distributed cloud, fog computing; Apache, EPL, MPL; Cyberthreat intelligence, data breaches, cybercrime;;
