;New Kingdom Personalities; Han Dynasty Arts; Mayan Writing System; Mughal Empire Trade Routes; Aztec Religion and Mythology; Classical Greek Philosophy; *Feudalism in Europe**; Feudalism in Japan***; Indigenous Australian Social Structures; Scientific Revolution Instruments
0;  New Kingdom Personalities: Hatshepsut; known as one of the most successful pharaohs, renowned for her trade expeditions to Punt; Amenhotep III; celebrated for architectural achievements including the Memorial Temple of Meritamon; Ramesses II; famous for military victories and negotiating peace treaties.;;;;
1; Han Dynasty Arts: Porcelain; intricate pottery designs characterized by their elegance and delicate nature; Jade Carving; highly valued art form showcasing mastery of detailed sculpting; Bronze Vessels; showcasing advanced casting techniques, often symbolizing wealth and power.;;;;
2; Mayan Writing System: Hieroglyphic script; combination of logograms and syllabograms, used on various media like stone, ceramic, and bark-paper; codices; books made from fig tree bark containing astronomical tables, calendars, and religious texts.;;;;;;
3; Mughal Empire Trade Routes: Spice Route; land-based trade route linking the East Indies to Europe, passing through Mughal territories; Silk Road; ancient network of trade routes connecting the East and West, playing a crucial role in economic development.;;;;;;
4; Aztec Religion and Mythology: Huitzilopochtli; god of the sun, war, and human sacrifice; Tlaloc; god of rain, thunder, and agriculture; Tonatiuh; the sun god central to Aztec creation mythology.;;;;
5; Classical Greek Philosophy: Socrates; influential philosopher who advocated for the Socratic method, focusing on questioning and debate; Plato; student of Socrates, established the Academy in Athens, wrote philosophical texts; Aristotle; tutored Alexander the Great, focused on empirical observation and logic.;;;;
6; Feudalism in Europe: Manorial System; economic system where peasants lived and worked on lands owned by nobles; Knights' Code; set of principles guiding the behavior of knights, emphasizing loyalty, honor, and courage.;;;;;;
7; Feudalism in Japan: Shogunate; military dictatorship where the shogun held supreme power, appointing daimyos to control regional territories; Samurai; elite warriors trained in martial arts, bound by strict codes of conduct.;;;;;;
8; Indigenous Australian Social Structures: Clans; groups of families sharing common ancestry, language, and cultural practices; Totems; symbols representing the ancestral spiritual beings providing guidance and identity to clans.;;;;;;
9; Scientific Revolution Instruments: Telescope; device used for observing distant objects, enabling Galileo's groundbreaking astronomical discoveries; Microscope; instrument enhancing vision to study small organisms and biological structures; Barometer; tool measuring atmospheric pressure, contributing to meteorology development.</s>;;;;
10;  New Kingdom Personalities: Ramses II; Pharaoh known for military might and extensive construction projects, including Abu Simbel temples; Hatshepsut; female pharaoh who reigned longer than any other woman, noted for prosperous reign and trading expeditions.;;;;;;
11; Han Dynasty Arts: Porcelain; high-quality ceramics, prized for their durability and beauty, first manufactured during this period; Jade Carvings; intricate artifacts made from jade, symbolizing wealth, status, and spirituality.;;;;;;
12; Mayan Writing System: Logograms; individual characters representing a word or phrase; Hieroglyphs; stylized representations of logograms or sounds; Phonetic complexes; combination of logograms and syllabic signs.;;;;  
13; Mughal Empire Trade Routes: Spice Trade; thriving exchange of spices, textiles, and ceramics between India, Southeast Asia, and Europe; Silk Road; significant trade route linking the East and West, facilitating exchange of goods, ideas, and culture.;;;;;;
14; Aztec Religion and Mythology: Huitzilopochtli; patron god of the Aztecs, associated with war, sun, and human sacrifices; Tonatiuh; sun god requiring human sacrifices to ensure the continuation of the world.;;;;;;
15; Classical Greek Philosophy: Socrates; developed the Socratic method of inquiry, focused on asking questions to stimulate critical thinking; Plato; student of Socrates, founded the Academy, one of the first institutions of higher learning; Aristotle; tutored Alexander the Great, emphasized empirical observation and logical reasoning.;;;;  
16; Feudalism in Europe: Manors; self-sufficient estates where lords resided and peasants worked; Vassals; lords who pledged allegiance to more powerful lords in exchange for protection and land; Fiefs; land grants given to vassals.;;;;  
17; Feudalism in Japan: Daimyos; regional lords controlling large territories, answering directly to the shogun; Jito; powerful female regent for her son, established administrative systems and land reforms; Bushido; warrior code governing the behavior and values of samurai.;;;;  
18; Indigenous Australian Social Structures: Initiation Rites; ceremonial rituals marking transition into adulthood, teaching cultural knowledge and values; Corroborees; communal gatherings involving song, dance, and storytelling; Dreamtime; ancient period when ancestral spirits created the world.;;;;  
19; Scientific Revolution Instruments: Thermometer; device measuring temperature, developed by Galileo and Santorio Santorio; Air Pump; machine for creating vacuums, used by Robert Boyle to study gas properties.;;;;;;</s>
20;  New Kingdom Personalities: Ramesses II; prominent pharaoh during the New Kingdom, known for military victories and monumental constructions; Nefertiti; queen of Egypt's Eighteenth Dynasty, renowned for her beauty and powerful influence.; Hatshepsut; female pharaoh who reigned longer than any other woman, expanding trade networks and building monuments.;; Han Dynasty Arts: Porcelain; high-quality ceramic developed during the Han Dynasty, prized for its durability and beauty; Jade Carvings  intricate sculptures made from jade symbolizing power and wealth.  
21; Mayan Writing System: Glyphs; logographic symbols representing phonetic sounds or specific ideas; Dresden Codex; pre-Columbian Mayan book containing astronomical tables and divinatory almanacs.;; Mughal Empire Trade Routes: Silk Road; ancient trade route connecting the East and West, facilitating exchange of goods and ideas; Indian Ocean Trade; maritime routes linking Africa, India, Southeast Asia, and the Middle East.; 
22; Aztec Religion and Mythology: Huitzilopochtli; principal deity of the Aztecs, god of sun and war; Polytheism; belief in multiple deities, each with distinct roles and attributes.;; Classical Greek Philosophy: Socrates; philosopher who taught through questioning and dialogues, famously recorded by Plato; Stoicism; philosophical school emphasizing self-control and fortitude.; 
