;Study Area ID; Date & Time Stamp; Additional Weather Data; Additional Sensor Data; Satellite Image Reference; Cloud Coverage (&#967;/km&#x00BFD;&sup2;); Geographical Location(&deg;\_N,& deg;&#x03B4;\_E); Average Temperature(ºC)\_, Max\_Temperature&apos;(/o)^\_; Min\_Temperature_(^∘C)/min\_Temp*; Additional Temperature Data; Relative Humidity (%); Atmospheric Pressure (hPa); Wind Speed (m/s); Precipitation (mm); Solar Radiation (W/m&#x00BFD;); Soil Moisture (%)
0; 101; 2022-03-14 10:30:00; Clear skies; Ground moisture sensors reading normal; Image101-220314-103000; 0.12; 40.7645&#xB0; N, 73.9843&#xB0; E; 15.5; 18.2/3.5&#x00B0;C; 12.3&#x00B0;C/-2&#x00B0;C; Partly cloudy at midday; 67; 1015.4; 3.6; 0; 562; 23%;;
1;102; 2022-03-14 12:00:00; Light drizzle; Soil moisture sensors registering increase; Image102-220314-120000; 0.35; 40.7645&#xB0; N, 73.9843&#xB0; E; 15.8; 18.5/3.6&#x00B0;C; 12.8&#x00B0;C/-1&#x00B0;C; Rain began at 11:00; 89; 1014.2; 2.9; 0.2; 483; 88%;;
2;103; 2022-03-14 16:30:00; Mostly cloudy; Ground temperature sensors reading warm; Image103-220314-163000; 0.68; 40.7645&#xB0; N, 73.9843&#xB0; E; 14.9; 17.1/4.1&#x00B0;C; 11.6&#x00B0;C/-1&#x00B0;C; Increase in temperature towards end of day; 71; 1012.9; 4.1; 0; 321; 51%;;
3;104; 2022-03-14 20:00:00; Clear skies; Sensors functioning properly; Image104-220314-200000; 0.05; 40.7645&#xB0; N, 73.9843&#xB0; E; 11.2; 14.6/-1.2&#x00B0;C; 8.5&#x00B0;C/-4&#x00B0;C; No precipitation; 62; 1013.8; 1.8; 0; 82; 22%;;
4;105; 2022-03-15 04:30:00; Light fog; Sensors recording low geothermal heat flux; Image105-220315-043000; 0.01; 40.7645&#xB0; N, 73.9843&#xB0; E; 8.6; 10.1/-0.6&#x00B0;C; 7.3&#x00B0;C/-1&#x00B0;C; Slight decrease in relative humidity; 55; 1014.6; 1.1; 0; 12; 90%;;
5;106; 2022-03-15 10:30:00; Partly cloudy; Sensors indicating high wind speeds; Image106-220315-103000; 0.14; 40.7645&#xB0; N, 73.9843&#xB0; E; 14.5; 16.7/3.3&#x00B0;C; 11.5&#x00B0;C/-0.6&#x00B0;C; Winds picked up at 09:00; 65; 1012.2; 5.4; 0; 489; 34%;;
6;107; 2022-03-15 16:30:00; Overcast; Dew point sensors indicate high moisture; Image107-220315-163000; 0.71; 40.7645&#xB0; N, 73.9843&#xB0; E; 12.3; 13.6/2.1&#x00B0;C; 9.9&#x00B0;C/-1&#x00B0;C; Showers forecasted; 93; 1011.5; 1.8; 1.5; 211; 98%;;
7;108; 2022-03-15 20:00:00; Clear skies; Geothermal heat sensors reading above average; Image108-220315-200000; 0.06; 40.7645&#xB0; N, 73.9843&#xB0; E; 10.8; 13.5/2.2&#x00B0;C; 8.7&#x00B0;C/-2&#x00B0;C; Clear night; 48; 1013.1; 1.1; 0; 9; 65%;;
8;109; 2022-03-16 04:30:00; Light fog; Sensors registering barometric pressure drop; Image109-220316-043000; 0.02; 40.7645&#xB0; N, 73.9843&#xB0; E; 7.2; 9.1/1.6&#x00B0;C; 6.4&#x00B0;C/-0.5&#x00B0;C; Low cloud cover; 42; 1010.9; 0.9; 0; 7; 85%;;
9;110; 2022-03-16 10:30:00; Sunny; Sensors reading high radiation levels; Image110-220316-103000; 0.08; 40.7645&#xB0; N, 73.9843&#xB0; E; 16.8; 20.1/4.4&#x00B0;C; 14.4&#x00B0;C/1.9&#x00B0;C; Increase in temperature throughout the morning; 28; 1012.8; 3.3; 0; 729; 12%</s>;;
