;Team Name;Team City;Average Age;Youngest Player Age;Oldest Player Age;Number of Coaches;Head Coach Name;Established Year;League;Total Championship Wins;Consecutive Championship Wins Record;Rival Teams;Most Memorable Moments in Team History
0; New England Patriots;Foxborough, MA;25.5;22;42;5;Bill Belichick;1960;NFL;6;4;New York Jets, Miami Dolphins;"""Super Bowl LI win  Super Bowl XLIX win  Perfect season in 2007"""
1;Los Angeles Lakers;Los Angeles, CA;26.8;19;39;9;Frank Vogel;1947;NBA;17;5;Boston Celtics;"""Kobe Bryant's 81-point game  Magic Johnson's 'Showtime' era  2020 NBA Championship"""
2;New York Yankees;New York, NY;29.2;21;45;11;Aaron Boone;1901;MLB;27;5;Boston Red Sox;"""Babe Ruth's called shot in the 1932 World Series  Joe DiMaggio's 56-game hitting streak in 1941  First-ever World Series win in 1923"""
3;Montreal Canadiens;Montreal, QC;28.4;20;41;7;Martin St. Louis;1909;NHL;24;11;Boston Bruins;"""First Stanley Cup win in 1916  24 Stanley Cups wins, the most in the NHL  The Richard Riot in 1955"""
4;Dallas Cowboys;Arlington, TX;26.2;21;38;8;Mike McCarthy;1960;NFL;5;2;Washington Football Team;"""Winning Super Bowl XII  8 consecutive winning seasons from 1975-1982  Becoming 'America's Team'"""
5;Chicago Bulls;Chicago, IL;26.5;19;33;6;Billy Donovan;1966;NBA;6;2;Detroit Pistons;"""Michael Jordan's 'The Shot' in 1989  6 NBA Championships in the 90s  1995-96 NBA season, breaking the record for most wins in an NBA season"""
6;Toronto Maple Leafs;Toronto, ON;28.3;20;41;5;Sheldon Keefe;1917;NHL;13;3;Montreal Canadiens;"""Winning the Stanley Cup four times in a row from 1947-1951  The 'Great Expansion' of 1967  Joe Carter's walk-off home run in Game 6 of the 1993 World Series"""
7;Real Madrid;Madrid, Spain;27.5;18;39;17;Carlo Ancelotti;1902;La Liga;34;8;Barcelona;"""First European Cup win in 1956  The Galáctico era with players like Zidane, Figo, and Ronaldo  13 Champions League titles"""
8;New Zealand All Blacks;Auckland, NZ;27.8;19;40;7;Ian Foster;1884;Rugby Union;11;5;Australia Wallabies;"""First Rugby World Cup wins in 1987 and 2011  'Haka' war dance  The 'Original All Blacks' 1905-1906 tour of the British Isles"""
9;Boston Celtics;Boston, MA;27.1;19;37;12;Ime Udoka;1946;NBA;17;8;Los Angeles Lakers;"""Dynasty of the 1960s winning 11 titles in 13 years  Larry Bird/Magic Johnson rivalry in the 1980s  Bill Russell's career records in both total rebounds and win shares""</s>"
