;Vaccination Date; Vaccine Type; Medication Name; Dosage; Prescription Date; Expiration Date; Allergen; Reaction; Surgery Type; Surgery Date
0;" ""Vaccination Date"; Vaccine Type; Medication Name; Dosage; Prescription Date; Expiration Date; Allergen; Reaction; Surgery Type; Surgery Date
1;01/01/2022; Rabies; None; N/A; N/A; 01/01/2025; N/A; N/A; Spay/Neuter; 01/15/2022
2;02/01/2022; Distemper; None; N/A; N/A; 02/01/2024; N/A; N/A; Dental Cleaning; 02/15/2022
3;03/01/2022; Parvovirus; None; N/A; N/A; 03/01/2024; N/A; N/A; ACL Repair; 03/15/2022
4;04/01/2022; Bordetella; None; N/A; N/A; 04/01/2023; None; Vomiting; Soft Tissue Surgery; 04/15/2022
5;05/01/2022; Influenza; None; N/A; N/A; 05/01/2023; None; Diarrhea; Mass Removal; 05/15/2022
6;06/01/2022; Leptospirosis; None; N/A; N/A; 06/01/2023; Eggs; Anaphylaxis; Fracture Repair; 06/15/2022
7;07/01/2022; Lyme Disease; None; N/A; N/A; 07/01/2023; None; Swelling; Foreign Body Removal; 07/15/2022
8;08/01/2022; Canine Cough; None; N/A; N/A; 08/01/2023; None; Itching; Laparoscopy; 08/15/2022
9;09/01/2022; Heartworm; Heartgard; 1 tablet/month; 09/01/2022; 09/01/2023; None; N/A; N/A; N/A
10;10/01/2022; Flea & Tick; Frontline; 1 pipette/month; 10/01/2022; 10/01/2023; None; N/A; N/A;" N/A""</s>"
