;"""City Names""";"""Countries containing the city""";"""Metropolitan Area (km²)""";"""World Cities Status""";"""Total Population""";"""Urban Population""";"""Greater Metro Density""";"""Language Spoken by Majority""";"""Average Salary""";"""Coordinates (Latitude, Longitude)""";"""Timezone Offset from UTC""";"""Underground System?""";"""Landmarks & Tourist Attractions""";"""Educational Institutions""";"""Political Structures""";"""Religious Buildings and Sites""";"""(Infamous or Notable Events)""";"""Current International Relations""";"""Transportation Hub?""";"""Airports near City""";"""Trains going to major cities outside country if applicable""";"""Buses serving nearby towns""";"""Shopping Centers and Markets""";"""$$$ Average Cost Of Living $$$"""
0;" ""Tokyo""";"""Japan""";"""8,547""";"""Alpha++""";"""37,400,068""";"""37,363,000""";"""4,373""";"""Japanese""";"""3,541,000""";"""35.6833, 139.6833""";"""+9""";"""Yes""";"""Mt. Fuji, Tokyo Disneyland, Tokyo Skytree""";"""University of Tokyo, Keio University""";"""Unitary parliamentary constitutional monarchy""";"""Meiji Shrine, Sensō-ji""";"""Olympics 1964, 2020";" Multiple fire incidents""";"""Close relations with US, China, South Korea""";"""Yes""";"""Haneda Airport, Narita International Airport""";"""Shinkansen to Osaka, Nagoya, Sapporo""";"""Regular buses to nearby prefectures""";"""Ginza district, Akihabara district"" ""$$ - $$$"""
1;"""New York""";"""United States""";"""1,214""";"""Alpha++""";"""18,804,475""";"""18,723,000""";"""15,434""";"""English""";"""67,525""";"""40.7128, -74.0060""";"""-5""";"""Yes""";"""Statue of Liberty, Central Park, Empire State Building""";"""Columbia University, New York University""";"""Federal presidential constitutional republic""";"""St. Patrick's Cathedral, Washington Square Park""";"""9/11 attacks""";"""Close relations with Canada, Mexico, Western Europe""";"""Yes""";"""John F. Kennedy International Airport, LaGuardia Airport, Newark Liberty International Airport""";"""Amtrak trains to Chicago, Washington, D.C.""";"""Regular buses to nearby states""";"""Times Square, SoHo district""";"""$$$"""
2;"""London""";"""United Kingdom""";"""1,572""";"""Alpha++""";"""8,961,989""";"""8,902,150""";"""5,693""";"""English""";"""38,320""";"""51.5074, -0.1278""";"""0""";"""Yes""";"""Tower of London, Buckingham Palace, London Eye""";"""University of Cambridge, University of Oxford""";"""Unitary parliamentary constitutional monarchy""";"""Westminster Abbey, St. Paul's Cathedral""";"""Multiple terrorist attacks, 2012 Summer Olympics""";"""Close relations with Ireland, France, Germany""";"""Yes""";"""Heathrow Airport, Gatwick Airport, Stansted Airport""";"""Eurostar trains to Paris, Brussels""";"""Regular buses to nearby towns""";"""Oxford Street, Covent Garden""";"""$$-$$$"""
3;"""Paris""";"""France""";"""105""";"""Alpha++""";"""12,181,373""";"""12,070,175""";"""115,541""";"""French""";"""38,040""";"""48.8566, 2.3522""";"""1""";"""Yes""";"""Eiffel Tower, Notre Dame, Montmartre""";"""Sorbonne University, École Polytechnique""";"""Unitary semi-presidential constitutional republic""";"""Sacré-Cœur, Notre Dame Cathedral""";"""Multiple terrorist attacks, 1968 Student Riots, 2015 Charlie Hebdo shooting""";"""Close relations with Germany, Italy, Spain, UK""";"""Yes""";"""Charles de Gaulle Airport, Orly Airport""";"""TGV trains to Lyon, Marseille, Nice""";"""Regular buses to nearby towns""";"""Champs-Élysées, Montmartre district""";"""$-$$"""
4;"""Beijing""";"""China""";"""16,808""";"""Alpha+""";"""21,516,000""";"""21,350,000""";"""1,276""";"""Mandarin""";"""14,037""";"""39.9042, 116.4074""";"""8""";"""Yes""";"""Forbidden City, Great Wall of China, Temple of Heaven""";"""Peking University, Tsinghua University""";"""Communist state""";"""Heaven Temple, Summer Palace""";"""2008 Summer Olympics";" 2003 SARS outbreak""";"""Close relations with South Korea, Japan, Russia""";"""Yes""";"""Beijing Capital International Airport""";"""Bullet trains to Shanghai, Guangzhou, Chengdu""";"""Regular buses to nearby provinces""";"""Wangfujing Street, Panjiayuan Market"" ""$$"""
5;"""Mumbai""";"""India""";"""603.4""";"""Beta+""";"""20,712,875""";"""20,660,000""";"""34,080""";"""Marathi, Hindi""";"""8,507""";"""19.0760, 72.8777""";"""5.5""";"""Yes""";"""Gateway of India, Taj Mahal Palace Hotel, Elephanta Caves""";"""University of Mumbai, Indian Institute of Technology""";"""Federal parliamentary democratic republic""";"""Haji Ali Dargah, Siddhivinayak Temple""";"""Multiple terrorist attacks";" 2008 Mumbai attacks, 1993 bombings""";"""Close relations with Pakistan, Bangladesh, Nepal, Sri Lanka""";"""Yes""";"""Chhatrapati Shivaji International Airport""";"""Trains to New Delhi, Kolkata, Chennai via Indian Railways""";"""Regular buses to nearby districts""";"""Colaba Causeway Market, Linking Road"" ""$$"""
6;"""São Paulo""";"""Brazil""";"""1,523""";"""Beta+""";"""21,846,507""";"""21,125,772""";"""2,647""";"""Portuguese""";"""16,509""";"""23.5505, -46.6333""";"""-3""";"""Yes""";"""Copan Building, Ibirapuera Park, Paulista Avenue""";"""University of São Paulo, Pontifical Catholic University of São Paulo""";"""Federal presidential representative democratic republic""";"""Catedral da Sé de São Paulo""";"""Candelária Church Massacre, World Cup 2014, 2016 Olympics""";"""Close relations with Argentina, Chile, Uruguay, Paraguay""";"""Yes""";"""São Paulo–Guarulhos International Airport""";"""Trains to Rio de Janeiro, Curitiba, Brasília""";"""Regular buses to nearby towns and states""";"""Rua 25 de Março shopping, Jardins district""";"""$$"""
7;"""Moscow""";"""Russia""";"""2,511""";"""Alpha-""";"""17,125,497""";"""15,767,893""";"""2,772""";"""Russian""";"""15,334""";"""55.7558, 37.6173""";"""3""";"""Yes""";"""Red Square, St. Basil's Cathedral, Bolshoi Theatre""";"""Lomonosov Moscow State University, Moscow State Institute of International Relations""";"""Federal semi-presidential semi-parliamentary constitutional republic""";"""Moscow Kremlin, Cathedral of Christ the Saviour""";"""1980 Summer Olympics";" Soviet Union collapse""";"""Close relations with China, India, Europe""";"""Yes""";"""Sheremetyevo International Airport, Vnukovo International Airport""";"""Trains to St. Petersburg, Kazan, Yekaterinburg""";"""Regular buses to nearby regions""";"""Tverskaya Street, GUM mall"" ""$$-$$$"""
8;"""Seoul""";"""South Korea""";"""605.2""";"""Alpha-""";"""9,794,304""";"""9,654,134""";"""16,858""";"""Korean""";"""32,620""";"""37.5665, 126.9778""";"""9""";"""Yes""";"""Gyeongbokgung Palace, Namsan Tower, Myeong-dong""";"""Seoul National University, Korea Advanced Institute of Science and Technology""";"""Federal presidential republic""";"""Jogyesa, Bongeunsa Temple""";"""Sewol Ferry sinking, 1980 Gwangju Uprising""";"""Close relations with United States, China, Japan""";"""Yes""";"""Incheon International Airport, Gimpo International Airport""";"""Trains to Busan, Daejeon, Daegu""";"""Regular buses to nearby districts""";"""Myeong-dong, Namdaemun Market""";"""$$-$$$"""
9;"""Istanbul""";"""Turkey""";"""5,343""";"""Alpha-""";"""15,519,227""";"""14,982,991""";"""2,945""";"""Turkish""";"""10,132""";"""41.0082, 28.9784""";"""3""";"""Yes""";"""Hagia Sophia, Blue Mosque, Topkapi Palace""";"""Boğaziçi University, Istanbul Technical University""";"""Federal presidential parliamentary republic""";"""Sultanahmet, Süleymaniye Mosque""";"""Coup d'état attempts, 1999 earthquake""";"""Close relations with Europe, Middle East, Central Asia""";"""Yes""";"""Istanbul Airport""";"""Trains to Ankara, Izmir, Bursa, Sofia, Bucharest, and others""";"""Regular buses to nearby towns""";"""Grand Bazaar, Istiklal Street""";"""$$-$$$""</s>"
