;time\_period;variable\_type;Gross Domestic Savings as %of GNI;$ billions;inflation rate (consumer prices);interest rates - short term;industry\_code\_alternative;unemployment Rate%;population\_below\_poverty\_line;country\_name;data\_source\_and\_methodology
0; 2000;Q1;21.6;1432;2.5%;5.25%;C;4.0%;12.3%;United States;Bureau of Economic Analysis, Savings Rate Survey
1; 2005;Q2;19.3;1645;3.1%;5.0%;D;4.6%;13.5%;Germany;Federal Statistical Office, National Accounts
2; 2010;Q3;23.1;1920;1.5%;0.25%;E;5.9%;11.1%;Japan;Cabinet Office, National Accounts
3; 2015;Q4;24.8;2150;0.7%;0.5%;A;4.9%;9.8%;United States;Bureau of Economic Analysis, Savings Rate Survey
4; 2002;Q1;20.4;1485;2.9%;5.5%;B;3.8%;12.9%;France;National Institute of Statistics and Economic Studies, National Accounts
5; 2007;Q2;18.2;1560;1.8%;4.75%;D;4.2%;14.1%;Germany;Federal Statistical Office, National Accounts
6; 2012;Q3;21.7;1820;1.2%;0.1%;E;5.7%;10.8%;Japan;Cabinet Office, National Accounts
7; 2017;Q4;25.6;2200;1.6%;0.75%;A;4.4%;8.7%;United States;Bureau of Economic Analysis, Savings Rate Survey
8; 2003;Q1;20.1;1510;2.2%;5.25%;B;3.5%;13.1%;France;National Institute of Statistics and Economic Studies, National Accounts
9; 2008;Q2;17.8;1530;2.1%;4.5%;D;4.5%;14.6%;Germany;Federal Statistical Office, National Accounts
