;`Nebula Name; Nebula Category; Gas Composition (%); Dust Presence; Distance from Sun (ly); Nebula Radius; Associated Stars/Constellations; Luminosity; Temperature Classification; Life Cycle Stage; Supernova Remnant; Number of Pulsars; Dark Matter Content; Galactic Coordinates`
0;" ""Orion Nebula"; Reflection/Emission Nebula; 70% Hydrogen, 28% Helium, 2% Other; Yes; 1344 ly; 24 ly; Orion constellation; 10^4 times solar luminosity; 10,000 K; Star Formation; No; 0; Unknown;" l=209.21°, b=-19.58°"""
1;"""Tarantula Nebula"; Emission Nebula; 70% Hydrogen, 28% Helium, 2% Other; Yes; 165,000 ly; 600 ly; Dorado constellation; 10^6 times solar luminosity; 40,000 K; Star Formation; No; 0; Unknown;" l=279.81°, b=-18.44°"""
2;"""Crab Nebula"; Supernova Remnant; 90% Hydrogen, 10% Other; No; 6527 ly; 6 ly; Taurus constellation; 10^5 times solar luminosity; 15,000 K; Remnant of Supernova 1054; Yes; 1; 25%;" l=184.55°, b=+02.18°"""
3;"""Pelican Nebula"; Emission/Dark Nebula; 70% Hydrogen, 28% Helium, 2% Other; Yes; 1800 ly; 10 ly; Cygnus constellation; 10^3 times solar luminosity; 8000 K; Star Formation; No; 0; Unknown;" l=79.00°, b=+08.00°"""
4;"""Eagle Nebula"; Emission/Dark Nebula; 70% Hydrogen, 28% Helium, 2% Other; Yes; 6500 ly; 20 ly; Serpens constellation; 10^4 times solar luminosity; 10,000 K; Star Formation; No; 0; Unknown;" l=26.47°, b=-0.04°"""
5;"""Cat's Eye Nebula"; Planetary Nebula; 95% Hydrogen and Helium, 5% Other; No; 3000 ly; 0.1 ly; Draco constellation; 10^3 times solar luminosity; 10,000 K; White Dwarf; No; 0; Unknown;" l=100.61°, b=+58.57°"""
6;"""Carina Nebula"; Emission Nebula; 70% Hydrogen, 28% Helium, 2% Other; Yes; 7500 ly; 100 ly; Carina constellation; 10^6 times solar luminosity; 10,000 K; Star Formation; No; 0; Unknown;" l=287.89°, b=-0.49°"""
7;"""Helix Nebula"; Planetary Nebula; 95% Hydrogen and Helium, 5% Other; No; 700 ly; 0.3 ly; Aquarius constellation; 10^2 times solar luminosity; 10,000 K; White Dwarf; No; 0; Unknown;" l=349.50°, b=-20.89°"""
8;"""Trifid Nebula"; Emission/Reflection Nebula; 70% Hydrogen, 28% Helium, 2% Other; Yes; 5200 ly; 26 ly; Sagittarius constellation; 10^4 times solar luminosity; 10,000 K; Star Formation; No; 0; Unknown;" l=06.07°, b=-24.03°"""
9;"""Bubble Nebula"; Emission Nebula; 70% Hydrogen, 28% Helium, 2% Other; Yes; 7500 ly; 10 ly; Cassiopeia constellation; 10^3 times solar luminosity; 10,000 K; Star Formation; No; 0; Unknown;" l=111.81°, b=57.99°""</s>"
