;Fashionability; Noise_Pollution_Level; Waste\_Management\_Index; Recycling\_Rate%; Natural\_Resource\_Depletion\_Score; Energy\_Efficiency\_Rating; Wetlands\_Conservation\_Area\_km2; Historical\_Site\_Protection\_Status; Endangered\_Species\_Education\_Program\_Fundings$
0;" ""High Fashionability""";" ""Moderate Noise Pollution (65db)""";" ""Waste Management Index 82%""";" ""Recycling Rate 55%""";" ""Natural Resource Depletion Score 6/10""";" ""Energy Efficiency Rating A""";" ""Wetlands Conservation Area 30 km2""";" ""Historical Site Protection Status Designated & Funded""";" ""Endangered Species Education Program Fundings $500,000"""
1;"""Medium Fashionability""";" ""Low Noise Pollution (45db)""";" ""Waste Management Index 90%""";" ""Recycling Rate 70%""";" ""Natural Resource Depletion Score 7/10""";" ""Energy Efficiency Rating A+""";" ""Wetlands Conservation Area 50 km2""";" ""Historical Site Protection Status Preserved & Protected""";" ""Endangered Species Education Program Fundings $1,000,000"""
2;"""Low Fashionability""";" ""High Noise Pollution (85db)""";" ""Waste Management Index 55%""";" ""Recycling Rate 30%""";" ""Natural Resource Depletion Score 8/10""";" ""Energy Efficiency Rating B""";" ""Wetlands Conservation Area 10 km2""";" ""Historical Site Protection Status Neglected""";" ""Endangered Species Education Program Fundings $0"""
3;"""Medium Fashionability""";" ""Moderate Noise Pollution (60db)""";" ""Waste Management Index 75%""";" ""Recycling Rate 45%""";" ""Natural Resource Depletion Score 5/10""";" ""Energy Efficiency Rating A-""";" ""Wetlands Conservation Area 20 km2""";" ""Historical Site Protection Status Protected""";" ""Endangered Species Education Program Fundings $50,000"""
4;"""High Fashionability""";" ""Low Noise Pollution (40db)""";" ""Waste Management Index 95%""";" ""Recycling Rate 80%""";" ""Natural Resource Depletion Score 4/10""";" ""Energy Efficiency Rating A+""";" ""Wetlands Conservation Area 100 km2""";" ""Historical Site Protection Status Restored & Maintained""";" ""Endangered Species Education Program Fundings $2,000,000"""
5;"""Medium Fashionability""";" ""High Noise Pollution (90db)""";" ""Waste Management Index 35%""";" ""Recycling Rate 15%""";" ""Natural Resource Depletion Score 9/10""";" ""Energy Efficiency Rating D""";" ""Wetlands Conservation Area 0 km2""";" ""Historical Site Protection Status Demolished""";" ""Endangered Species Education Program Fundings $0"""
6;"""Low Fashionability""";" ""Moderate Noise Pollution (65db)""";" ""Waste Management Index 65%""";" ""Recycling Rate 35%""";" ""Natural Resource Depletion Score 6/10""";" ""Energy Efficiency Rating C""";" ""Wetlands Conservation Area 15 km2""";" ""Historical Site Protection Status Ignored""";" ""Endangered Species Education Program Fundings $10,000"""
7;"""High Fashionability""";" ""Low Noise Pollution (45db)""";" ""Waste Management Index 90%""";" ""Recycling Rate 60%""";" ""Natural Resource Depletion Score 5/10""";" ""Energy Efficiency Rating A""";" ""Wetlands Conservation Area 70 km2""";" ""Historical Site Protection Status Preserved""";" ""Endangered Species Education Program Fundings $1,500,000"""
8;"""Medium Fashionability""";" ""Moderate Noise Pollution (70db)""";" ""Waste Management Index 50%""";" ""Recycling Rate 25%""";" ""Natural Resource Depletion Score 7/10""";" ""Energy Efficiency Rating D""";" ""Wetlands Conservation Area 5 km2""";" ""Historical Site Protection Status Abandoned""";" ""Endangered Species Education Program Fundings $0"""
9;"""Low Fashionability""";" ""Low Noise Pollution (50db)""";" ""Waste Management Index 80%""";" ""Recycling Rate 50%""";" ""Natural Resource Depletion Score 6/10""";" ""Energy Efficiency Rating B""";" ""Wetlands Conservation Area 30 km2""";" ""Historical Site Protection Status Funded & Protected""";" ""Endangered Species Education Program Fundings $300,000""</s>"
