;"""**Next Topic**"; Continent; Area (km2); Population; Population Density; Capital; Latitude; Longitude; _Climate_; _Terrain_; Extras 1;" Extras 2"""
0;" ""Amazon Rainforest"; South America; 6720000; 33000000; 4.9/km2; Brazilia; 15.47; -47.55; Tropical; Rainforest; Home to diverse wildlife;" Indigenous tribes living in isolation"""
1;"""Antarctica"; Antarctica; 14000000; 1000; 0.07/km2; None; -74.65; -99.95; Polar; Ice Sheets & Mountains; Penguin colonies;" Scientific research stations"""
2;"""European Alps"; Europe; 180000; 13000000; 72/km2; Various; 47.25; 11.38; Alpine; Mountain Range; Skiing & mountaineering;" Known for picturesque villages"""
3;"""Ganges Delta"; Asia; 105000; 150000000; 1428/km2; Dhaka, Bangladesh; 23.68; 88.36; Humid Subtropical; River Delta; Largest Delta in the world;" Crowded urbanization"""
4;"""Great Barrier Reef"; Australia; 344400; -; -; Canberra, Australia; 23.55; 150.58; Tropical; Coral Reef; Largest coral reef system;" World Heritage Site"""
5;"""Nile River"; Africa; 6650; -; -; Cairo, Egypt; 30.06; 31.25; Desert; River; Longest river in the world;" Crucial for ancient civilizations"""
6;"""Sahara Desert"; Africa; 9000000; 2000000; 0.02/km2; Various; 25.0; -13.0; Desert; Sand dunes & rocky plateaus; Camel caravans;" Vast & arid, extreme conditions"""
7;"""Tibetan Plateau"; Asia; 2335000; 3000000; 1.3/km2; Lhasa, Tibet; 30.0; 81.0; Highland; Mountain Range; Roof of the world;" Contains unique species"""
8;"""Victoria Falls"; Africa; 6860; -; -; Livingstone, Zambia & Victoria Falls, Zimbabwe; 17.9; 25.8; Tropical Rainforest; Waterfall; Largest curtain of water;" Inscribed UNESCO World Heritage site"""
9;"""Yangtze River"; Asia; 6380; 400000000; 627/km2; Beijing, China; 30.4; 116.28; Humid Continental and Subtropical; River; Third longest river in the world;" Navigation, flood control, and hydroelectric power""</s>"
10; Amazon Rainforest; South America; 6720000; -; -; Brasilia, Brazil; 12.0; -55.0; Tropical Rainforest; Rainforest; Largest rainforest in the world; Rich biodiversity, inscribed UNESCO World Heritage site
11;Nile River; Africa; 6852; 160000000; 23/km2; Cairo, Egypt; 15.6; 32.5; Tropical Savanna and Desert; River; Longest river in the world; Historically important, irrigation
12;Sahara Desert; Africa; 9000000; -; -; -; 25.0; -13.0; Desert; Sand dunes and rocky plateaus; Largest hot desert in the world; Scarcity of vegetation, unique wildlife
13;Himalayas; Asia; 2323492; -; -; New Delhi, India; 35.0; 85.0; Alpine and Tundra; Mountain Range; Highest mountain range in the world; Unique species, mountaineering destination
14;Great Barrier Reef; Australia; 344400; -; -; Canberra, Australia; 15.0; 145.0; Tropical Marine; Coral Reef; Largest coral reef system in the world; Rich marine biodiversity, inscribed UNESCO World Heritage site
