;`Galaxy; Galaxy Type; Right Ascension; Declination; Apparent Diameter; Luminosity; Mass; Star System Formation Rate; Black Hole Presence; Spiral Arm Structure Observable?; Number of Neighboring Galaxies Within ~3 Light Years`
0; Andromeda Galaxy; Spiral; 00h 42m 44.3s; +41°16′09″; 202' x 60' ; 2.25 x 10^39 W; 1.5 x 10^42 kg; 0.68-1.05 solar masses/year; Yes; Yes; 54
1;Milky Way; Spiral; 14h 00m 00.0s; -29°00′00″; 30°; 6.5 x 10^36 W; 1.5 x 10^42 kg; 1.9 solar masses/year; Yes; Yes; 6
2;Triangulum Galaxy; Spiral; 01h 36m 56.2s; +30°44′02″; 13' x 6' ; 2.0 x 10^38 W; 1.0 x 10^41 kg; 0.2 solar masses/year; Yes; Yes; 2
3;Whirlpool Galaxy; Spiral; 10h 45m 17.6s; +56°46′46″; 9.2' x 7.3' ; 2.0 x 10^38 W; 2.3 x 10^41 kg; 1.1 solar masses/year; Yes; Yes; 27
4;Sombrero Galaxy; Unbarred Spiral; 12h 39m 46.4s; -11°37′20″; 7' x 4' ; 5.5 x 10^37 W; 8.0 x 10^40 kg; 0.11 solar masses/year; Yes; Yes; 5
5;Whipple Galaxy; Elliptical; 09h 04m 29.8s; +24°40′36″; 2.2' x 1.9' ; 3.9 x 10^37 W; 1.0 x 10^43 kg; -; Yes; No; 0
6;Messier 81; Spiral; 09h 55m 33.1s; +69°03′55″; 27' x 13' ; 1.2 x 10^39 W; 1.0 x 10^41 kg; 1.3 solar masses/year; Yes; Yes; 13
7;Messier 87; Elliptical; 12h 30m 49.4s; +12°23′28″; 7.8' x 6.6' ; 7.4 x 10^38 W; 2.0 x 10^43 kg; -; Yes; No; 0
8;NGC 4889; Elliptical; 12h 59m 55s; +28°06′43″; 1.6' x 0.8' ; 1.6 x 10^38 W; 2.8 x 10^43 kg; -; Yes; No; 0
9;NGC 3115; Lenticular; 10h 05m 11.3s; -07°43′05″; 8.3' x 2.3' ; 6.4 x 10^37 W; 1.2 x 10^42 kg; -; Yes; No; 0</s>
10; Whirlpool Galaxy; Spiral; 09h 55m 33.2s; +22°43′04″; 11.9' x 7.2' ; 2.0 x 10^38 W; 3.0 x 10^41 kg; 2.2; Yes; Yes; 2
11;Andromeda Galaxy; Spiral; 00h 42m 44.3s; +41°16′09″; 201' x 60' ; 1.3 x 10^40 W; 1.5 x 10^42 kg; 1.9; Yes; Yes; 4
12;Sombrero Galaxy; Lenticular; 12h 39m 47.7s; -11°37′23″; 8.0' x 2.0' ; 1.1 x 10^39 W; 8.0 x 10^40 kg; -; Yes; Yes; 0
13;Centaurus A; Elliptical; 13h 25m 27.6s; -43°01′09″; 24.0' x 16.0' ; 2.6 x 10^39 W; 1.8 x 10^43 kg; -; Yes; Yes; 2
14;NGC 5128; Radio Galaxy; 13h 25m 27.6s; -43°01′09″; 24.0' x 16.0' ; 2.6 x 10^39 W; 1.8 x 10^43 kg; -; Yes; Yes; 2
15;NGC 4594; Lenticular; 12h 39m 48.1s; -11°37′28″; 10.2' x 5.3' ; 1.3 x 10^39 W; 1.0 x 10^42 kg; -; Yes; Yes; 0
16;NGC 7331; Spiral; 22h 37m 02.6s; +34°24′58″; 9.8' x 2.3' ; 1.0 x 10^39 W; 6.5 x 10^41 kg; 1.6; Yes; Yes; 0
17;NGC 253; Starburst; 00h 47m 33.1s; -25°17′18″; 28.3' x 7.7' ; 3.2 x 10^39 W; 6.0 x 10^41 kg; 4.4; Yes; Yes; 1
18;Messier 94; Spiral; 13h 59m 58.2s; +41°07′08″; 9.5' x 4.3' ; 8.7 x 10^38 W; 3.5 x 10^41 kg; 1.5; Yes; Yes; 0
19;NGC 4414; Spiral; 12h 26m 22.5s; +31°16′00″; 8.6' x 6.9' ; 8.1 x 10^38 W; 1.5 x 10^41 kg; 1.3; Yes; Yes; 0</s>
20; NGC 300; Spiral; 00h 54m 54.7s; -37°41′03″; 20.4' x 12.0' ; 8.9 x 10^38 W; 1.1 x 10^41 kg; 1.1; Yes; Yes; 2
21;IC 431; Spiral; 03h 45m 10.1s; +66°52′38″; 12.6' x 4.9' ; 7.5 x 10^38 W; 1.0 x 10^41 kg; 1.0; Yes; Yes; 1
22;NGC 5033; Spiral; 13h 13m 59.1s; +58°44′38″; 11.2' x 9.8' ; 1.5 x 10^39 W; 2.2 x 10^41 kg; 1.6; Yes; Yes; 0
23;UGC 2885; Spiral; 09h 59m 26.0s; +54°25′11″; 10.2' x 8.1' ; 1.2 x 10^39 W; 1.9 x 10^41 kg; 1.4; Yes; Yes; 1
24;NGC 6674; Spiral; 18h 41m 19.8s; -00°51′02″; 7.8' x 6.4' ; 6.5 x 10^38 W; 1.3 x 10^41 kg; 1.2; Yes; Yes; 0
25;NGC 6946; Spiral; 20h 34m 53.0s; +60°09′14″; 13.4' x 10.2' ; 1.1 x 10^39 W; 1.7 x 10^41 kg; 1.7; Yes; Yes; 2
26;NGC 7331; Spiral; 22h 37m 03.0s; +34°17′13″; 11.4' x 9.7' ; 1.4 x 10^39 W; 2.0 x 10^41 kg; 1.8; Yes; Yes; 0
27;NGC 7479; Spiral; 23h 03m 30.7s; +12°19′14″; 6.2' x 4.8' ; 6.0 x 10^38 W; 1.2 x 10^41 kg; 1.3; Yes; Yes; 0
28;NGC 7552; Spiral; 23h 17m 56.8s; -42°34′03″; 6.6' x 4.9' ; 5.4 x 10^38 W; 1.0 x 10^41 kg; 1.0; Yes; Yes; 1
29;NGC 7741; Spiral; 23h 44m 01.5s; +23°33′33″; 6.0' x 4.6' ; 5.1 x 10^38 W; 8.0 x 10^40 kg; 0.9; Yes; Yes; 0</s>
30; UGC 1215; Spiral; 01h 27m 49.8s; +15°28′33″; 7.4' x 5.8'; 7.8 x 10^38 W; 1.1 x 10^41 kg; 1.2; Yes; Yes; 1
31;NGC 6822; Irregular; 19h 44m 56.6s; -14°57′09″; 10' x 7'; 2.2 x 10^38 W; 3.0 x 10^40 kg; 0.6; No; No; 0
32;IC 5063; Spiral; 20h 57m 15.4s; -39°45′18″; 6.5' x 5.1'; 4.9 x 10^38 W; 8.5 x 10^40 kg; 1.1; Yes; Yes; 1
