;GrowthHabit;FoliageColor;FloweringPeriod;AverageHeightMM;FruitingBodies;PropagationMethods;LifeCycleTypes;RootSystemDescriptions;SuggestedUSDAHardinessZones;SpecialFeaturesComments;JapaneseNames
0;  Vine;Green;Late Spring - Early Summer;200-300;Pods;Cuttings, Seeds;Perennial;Deep-rooted;5-9;Fast-growing, Self-clinging;蔦咲き
1; Bushy;Purple;Mid Summer;50-60;Berries;Layering, Division;Biennial;Fibrous;3-8;Attractive foliage, Edible fruits;繁花
2; Creeping;Yellow;Early Fall;10-20;Capsules;Division, Tissue Culture;Annual;Shallow-rooted;1-2;Ground cover, Drought tolerant;そむく
3; Tree-like;Red;Late Summer;1500-2000;Nuts;Grafting, Seeds;Perennial;Taproot;5-9;Timber, Autumn color;樹状
4; Clumping;Blue;Early Spring;80-90;Seeds;Division, Bulbs;Perennial; fibrous;4-8;Ornamental, Fragrant flowers;� bulbilform
5; Upright;Orange;Mid Fall;100-120;Cones;Air-layering, Cuttings;Perennial;Deep-rooted;3-7;Wind resistant, Attractive bark;直立
6; Spreading;Variegated;Throughout Season;70-80;Fruits;Seeds, Tissue Culture;Perennial;Woody;4-9;Erosion control, Tolerant of heat;変色
7; Mounding;White;Early Summer;60-70;Bulbs;Offsets, Bulbils;Perennial;Fleshy;3-8;Attractive foliage, Easy to grow;丘丘
8; Columnar;Pink;Mid Fall;300-400;Hips;Softwood cuttings, Layering;Perennial;Taproot;5-9;Good for hedges, Attracts wildlife;柱状
9; Prostrate;Bronze;Late Winter;40-50;Acorns;Stratification, Germination;Perennial;Deep-rooted;4-8;Attractive to birds, Fall color; stretched</s>
