;Religions; Religious Texts; Belief Systems; Literature Genres; Famous Works; Holidays; Music Styles; Famous Musicians; Spoken Languages; Writing Scripts; Currencies; Trade Routes; Military Tactics
0;  Islam; Quran; Monotheism, submission to Allah; Poetry, novels, scientific texts; One Thousand and One Nights; Eid al-Fitr, Eid al-Adha; Arabic music; Umm Kulthum; Arabic; Arabic script; Islamic Dinar; Silk Road, Spice Trade; Pincer Movement
1; Christianity; Bible; Theology, Trinity, salvation through Jesus; Drama, poetry, fiction; Paradise Lost; Christmas, Easter; Gregorian chant, Christian rock; George Frideric Handel; English, Spanish; Latin script; US Dollar, Euro; Mediterranean Trade, Transatlantic Slave Trade; Guerilla Warfare
2; Hinduism; Vedas; Polytheism, Dharma, karma, reincarnation; Epic poetry, mythology, philosophy; Mahabharata; Diwali, Holi; Hindustani classical music; Ravi Shankar; Sanskrit, Hindi, Tamil; Devanagari script; Indian Rupee; Incense Route, Maritime Silk Road; Elephant Formation
3; Buddhism; Tripitaka; Nirvana, Four Noble Truths, Eightfold Path; Travelogues, poetry, parables; Journey to the West; Uposatha; Tibetan Buddhist music; Dalai Lama; Pali, Tibetan; Tibetan script; Tibetan Yuan, Bhutanese Ngultrum; Tea Horse Road, Silk Road; Fabian Strategy
4; Judaism; Tanakh; Monotheism, Ethical monotheism; Fiction, poetry, law; The Jewish War; Hanukkah, Passover; Klezmer music; Billy Joel (raised Jewish); Hebrew; Hebrew script; Israeli New Sheqel; incense trade; Phalanx, Hammer and Anvil
5; Confucianism; Analects; Ethical philosophy, filial piety, loyalty; Anecdotes, classical prose, poetry; Dream of the Red Chamber; Chinese New Year, Qingming Festival; Classical Chinese music; Wu Wenguang; Classical Chinese; Chinese script; Chinese Yuan; Silk Road; Total Warfare
6; Taoism; Tao Te Ching; Naturalism, philosophical skepticism; Mythology, poetry, parables; Zhuangzi; Dragon Boat Festival, Mid-Autumn Festival; Taoist music; Yin Xu Tang; Classical Chinese; Chinese script; Chinese Yuan; Maritime Silk Road; Guerilla Warfare
7; Zoroastrianism; Avesta; Monotheism, Dualism, eschatology; Hymns, epic poetry, scripture; Shahnameh; Nowruz; Persian classical music; Mohammad Reza Shajarian; Persian (Farsi); Persian script; Iranian Rial; Silk Road; Scorched Earth Tactic
8; Sikhism; Guru Granth Sahib; Monotheism, Ishq (love), Naam (divine name), meditation; Sikh scripture, poetry, history; Heer; Vaisakhi; Indian classical music; Ravi Shankar; Punjabi; Gurmukhi script; Indian Rupee; Silk Road; Guerilla Warfare
9; Baha'i Faith; Kitáb-i-Aqdas; Unity, equality, global peace; Prayers, letters, memoirs; Dawn of the Light; Naw-Rúz; Western classical music; Robert Gass; Persian (Farsi); Persian script; US Dollar, Euro, Iranian Rial; Silk Road; Hammer and Anvil Tactic</s>
