;Linguistic Area; language\_iso639\_5 code; Language Complexity Score; Number Of Dialects; Typological Classification; Literacy Rate; Age Standard Deviation For Acquisition; Geographical Distribution Continent; Geographic Latitude Range; Word Count
0;  South Neogrammaran; deu; 78; 6; Germanic; 99; 4.5; Europe; 47.27-55.06; 81,234
1; Northwest Caucasian; kab; 64; 3; Northwest Caucasian; 14; 5.2; Asia; 43.05-43.79; 32,711
2; Japonic; jpn; 55; 4; Japonic; 99; 3.9; Asia; 30.59-46.10; 198,844
3; Trans-New Guinea; pap; 45; 27; Papuan; 15; 6.1; Oceania; -9.40-12.05; 141,206
4; Afro-Asiatic; ara; 82; 39; Afro-Asiatic; 90; 4.7; Africa; 14.62-33.89; 128,637
5; Austronesian; ind; 35; 721; Austronesian; 97; 5.3; Asia; -28.48-8.44; 125,931
6; Indo-European; eng; 72; 5; Germanic; 99; 4.3; Europe; 49.75-60.87; 171,476
7; Kartvelian;kat; 59; 14; Kartvelian; 95; 5.0; Asia; 41.31-43.09; 28,341
8; Niger-Congo; swa; 42; 9; Niger-Congo; 80; 5.6; Africa; -4.65-5.48; 49,300
9; Uralic; fin; 47; 19; Uralic; 99; 4.1; Europe; 60.14-70.09; 88,585</s>
