;Astronaut's Profession; Launch Site; Planned End Date; Extended?; Sponsoring Agency; Total Experiments; Non-spaceborne Payload Names; Secondary Purpose; Is Vehicle Solar Powered?; Average Altitude; Maximum Altitude; First Stage Reusability; Payloads Deployed Count; Crew Count.
0; Astronaut's Profession;Launch Site;Planned End Date;Extended?;Sponsoring Agency;Total Experiments;Non-spaceborne Payload Names;Secondary Purpose;Is Vehicle Solar Powered?;Average Altitude;Maximum Altitude;First Stage Reusability;Payloads Deployed Count;Crew Count.
1;Astronaut - Mission Specialist;Kennedy Space Center, FL, USA;08/18/2023;No;NASA;5;Crew Dragon Cargo Pod, ELaNa 36 Cubesats;Resupply ISS, Technology Demonstration;No;400 km;420 km;No;20;4.
2;Commander - Active Duty;Baikonur Cosmodrome, Kazakhstan;12/26/2024;Yes;Russian Space Agency (Roscosmos);3;Robotic Arm, Radiation Monitoring Equipment;Space Station Maintenance, Scientific Research;No;420 km;450 km;No;7;3.
3;Pilot - Test;Vandenberg Air Force Base, CA, USA;04/12/2025;No;SpaceX;6;Starlink Satellites, SkySats Imaging Satellites;Broadband Internet, Earth Observation;Partially;550 km;570 km;Yes;60;2.
4;Mission Specialist - Life Sciences;Guiana Space Centre, French Guiana;06/28/2025;Yes;European Space Agency (ESA);4;BioCell Habitat, Muscle Strength Monitoring Equipment;Long-term Space Habitation, Human Health Research;No;400 km;420 km;No;10;3.
5;Commander - Retired;Tanegashima Space Center, Japan;10/04/2025;No;Japan Aerospace Exploration Agency (JAXA);2;Int-Ball Free-Flying Robot, Small Optical Satellite;Robotic Technology, Earth Observation;No;600 km;620 km;No;6;2.
6;Astronaut - Educator;John F. Kennedy Space Center, FL, USA;01/17/2026;No;NASA;7;Human Exploration Research payload, Various Classroom Experiments;Microgravity Research, STEM Inspiration;No;400 km;420 km;No;25;2.
7;Flight Engineer - International;Baikonur Cosmodrome, Kazakhstan;05/02/2026;Yes;Russian Space Agency (Roscosmos);4;Departure Module, Universal Docking Module;Space Station Expansion, Inter-Agency Cooperation;No;420 km;450 km;Yes;7;3.
8;Pilot - Commercial;Cape Canaveral Space Force Station, FL, USA;08/16/2026;No;Blue Origin;8;Tourist Exploration Capsule, Science Experiments;Space Tourism, Microgravity Research;No;350 km;370 km; partially;0;1.
9;Mission Specialist - Military;Vandenberg Air Force Base, CA, USA;11/30/2026;Yes;US Space Force;1;Spy Satellite, Communications Relay;Intelligence Gathering, Secure Comms;No;600 km;630 km;No;2;1.
10;Payload Specialist - Researcher;Guiana Space Centre, French Guiana;03/14/2027;No;European Space Agency (ESA);12;ExoMars Rover, Laser Interferometer Space Antenna;Planetary Science, Gravitational Wave Detection;No;1350 km;1500 km;No;3;2.</s>
