;Linguistic Area; Dialect Count ; Genetic Relationship;\
0;  Austronesian; 1,200; Malayo-Polynesian;
1; Sino-Tibetan; 350; shared grammar and vocabulary;
2; Niger-Congo; 1,500+; Noun classes and verb agreement;
3; Afro-Asiatic; 375; Semitic, Berber, and Chadic languages;
4; Indo-European; 449; shared morphology and syntax;
5; Uralic; 38; Finno-Ugric and Samoyedic languages;
6; Altaic; 66; Turkic, Mongolic, and Tungusic languages;
7; Austroasiatic; 168; Mon-Khmer and Munda languages;
8; Dravidian; 73; shared agglutinative structure;
9; Kartvelian; 4; Georgian, Mingrelian, Laz, and Svan.</s>;
