;Additional Data SetID; Snow Depth(cm); Evapotranspiration Rate(-); Ground Temp.(ºC) Frozen State Indicator(-); Cloud Coverage(%); Visibility(km); Water Vapor Content(g/m3); Thunderstorm Probability(%) : Tornado Risk Index(%) : Tsunami Warning Signal(signal level) : Volcanicity Status(status level)
0; 234; 45.7; 0.25; -1.2; 1; 80; 10; 9  0  0  No Warning  Inactive
1;112; 23.5; 0.35; -0.5; 0; 95; 12; 15  5  0  Caution  Low Level
2;301; 76.2; 0.15; -3.8; 1; 10; 2; 3  0  0  Watch  High Level
3;445; 11.6; 0.28; -1.6; 1; 70; 8; 7  0  0  No Warning  Inactive
4;562; 34.8; 0.22; -0.9; 0; 65; 11; 12  10  1  Advisory  Increased Level
5;679; 51.3; 0.20; -2.1; 1; 20; 15; 18  0  0  No Warning  Inactive
6;711; 90.5; 0.10; -4.5; 1; 5; 3; 2  0  0  Watch  High Level
7;833; 15.9; 0.32; -1.1; 0; 85; 9; 6  5  0  Caution  Low Level
8;990; 62.4; 0.18; -2.7; 1; 30; 7; 4  0  0  No Warning  Inactive
9;215; 30.0; 0.24; -0.7; 0; 60; 10; 8  0  0  No Warning  Inactive</s>
