;Island Nation; Island Area (km2); Coastline Length (km); Number Of Islands; Underwater Volcanoes; Closest Continent; Average Temperature (°C); Precipitation (mm); Dominant Marine Life; Famous Coral Reef System; Highest Elevation (m); Population
0; Iceland; 103,000; 4,970; 1; 130; Europe; 4.4; 1,220; North Atlantic cod; None; 2,104 (Hvannadalshnúkur); 364,000
1;Japan; 377,975; 29,751; 6,852; 109; Asia; 12.6; 1,700; Sea bass; None; 3,776 (Fuji); 126,800,000
2;Indonesia; 1,919,440; 54,716; 17,508; 76; Asia; 26.1; 2,830; Clownfish; Raja Ampat; 5,030 (Puncak Jaya); 270,600,000
3;Philippines; 300,000; 36,289; 7,107; 53; Asia; 26.6; 2,565; Clownfish; Tubbataha; 2,954 (Mount Apo); 109,580,000
4;New Zealand; 268,800; 15,134; 778; 11; Australia; 10.7; 1,465; Blue maomao; Poor Knights Islands; 3,754 (Mount Cook); 4,882,000
5;United Kingdom; 242,495; 19,492; 1; 30; Europe; 8.9; 885; Atlantic cod; None; 1,345 (Ben Nevis); 67,886,000
6;Ireland; 84,421; 3,171; 1; 50; Europe; 9.6; 1,200; Atlantic salmon; None; 1,038 (Carrauntoohil); 4,937,000
7;Cuba; 110,860; 3,735; 1; 27; North America; 24.1; 1,300; Snapper; Gardens of the Queen; 2,005 (Pico Turquino); 11,423,000
8;Hawaii (USA); 16,633; 1,227; 137; 5; North America; 19.9; 1,597; Yellow tang; None; 4,205 (Mauna Kea); 1,455,000
9;Bahamas; 13,880; 3,542; 700; 4; North America; 24.8; 1,333; Nassau grouper; Andros; 63 (Mount Alvernia); 395,000</s>
10; Iceland; 103,000; 4,970; 1; 130; Europe; 6.1; 892; Atlantic cod; None; 2,100 (Hvannadalshnjúkur); 364,000
11;New Zealand; 268,021; 15,134; 2; 11; Australia; 11.3; 1,434; Blue marlin; Poor Knights Islands; 3,754 (Aoraki/Mount Cook); 4,900,000
12;Japan; 377,973; 29,751; 6,852; 110; Asia; 11.9; 1,746; Yellowfin tuna; Izu-Ogasawara; 3,776 (Fuji); 126,500,000
13;Philippines; 300,000; 36,289; 7,641; 22; Asia; 25.5; 2,360; Clownfish; Tubbataha Reefs; 2,954 (Mount Apo); 113,172,000
14;Madagascar; 587,041; 4,828; 1; 6; Africa; 23.1; 1,623; Green sea turtle; None; 2,876 (Maromokotro); 29,100,000
15;Papua New Guinea; 462,840; 5,152; 6; 16; Australia; 25.3; 3,183; Hammerhead shark; None; 4,509 (Mount Wilhelm); 9,073,000
16;UK (British Isles); 242,910; 19,492; 5; 30; Europe; 7.9; 1,168; European eel; None; 1,345 (Ben Nevis); 67,886,000
17;Greenland; 2,175,600; 44,087; 1; 176; North America; -3.8; 432; Polar bear; Northeast Greenland; 3,739 (Gunnbjørn Fjeld); 56,370
18;Indonesia; 1,910,931; 54,716; 18; 76; Asia; 25.3; 2,795; Manta ray; Raja Ampat; 5,030 (Puncak Jaya); 273,523,615
19;Ireland; 84,421; 1,448; 1; 6; Europe; 10.3; 1,192; Harbor seal; Skellig; 1,038 (Carrauntoohil); 5,015,000</s>
20; Iceland; 103,000; 4,970; 1; 130; Europe; 4.4; 1,198; Atlantic puffin; N/A; 2,110 (Hvannadalshnjúkur); 364,134
21;Philippines; 300,000; 36,289; 7,641; 53; Asia; 26.6; 2,360; Whale shark; Tubbataha; 2,954 (Mount Apo); 113,178,072
22;United Kingdom; 242,495; 12,429; 1; 27; Europe; 8.9; 885; Atlantic bottlenose dolphin; The Great Barrier Reef; 1,345 (Scafell Pike); 67,886,011
23;Japan; 377,975; 29,751; 6,852; 110; Asia; 13.1; 1,689; Clownfish; Ogasawara; 3,776 (Mount Fuji); 126,475,664
24;Papua New Guinea; 462,840; 5,152; 600; 11; Australia; 26.7; 3,083; Saltwater crocodile; The Coral Triangle; 4,509 (Mount Wilhelm); 9,020,100
25;New Zealand; 270,534; 15,134; 1; 14; Australia; 11.7; 1,142; Little blue penguin; Great Barrier Reef; 3,754 (Aoraki/Mount Cook); 4,994,324
26;Madagascar; 587,041; 4,828; 1; 0; Africa; 24.2; 1,621; Aye-aye; N/A; 2,876 (Maromokotra); 29,176,349
27;Canada; 9,984,670; 202,080; 2; 27; North America; -0.8; 1,160; Beluga whale; N/A; 5,959 (Mount Logan); 38,005,238
