;Religions and Philosophical Beliefs; Literature Masterpieces; Legal System Developments; Diplomacy Events; Trade Routes Established; Military Conflicts and Alliances; Exploration Voyages; Women Empowerment Documents; Minority Groups Statuses; Climate Changes Effects; Infrastructure Projects; Population Dynamics; Artistic Movements
0;  Buddhism founded in India;" ""The Ramayana"" written by Valmiki"; Athenian democracy legal system; Peloponnesian War diplomacy event; Silk Road trade route established; Persian Wars military conflict; Magellan's circumnavigation voyage; Seneca Falls Convention women empowerment; Roman Empire minority groups status; Little Ice Age climate change; Great Wall of China infrastructure project; Global population growth; Baroque artistic movement.
1; Christianity emerges in Roman Empire;" ""Divine Comedy"" by Dante Alighieri"; Roman Law legal system; Treaty of Tordesillas diplomacy; Spice Trade route established; Punic Wars military conflict; Columbus voyages to Americas; Women's suffrage movement; Jewish diaspora minority groups; Medieval Warm Period climate change; Grand Canal infrastructure project; Malthusian growth model; Renaissance artistic movement.
2; Islam originates in Arabia;" ""One Thousand and One Nights"" literature"; Canon law legal system; Treaty of Nerchinsk diplomacy; Amber Road trade route established; Crusades military conflict; Vasco da Gama discovers sea route to India; Married Women's Property Act; Byzantine Empire minority groups; Little Optimum climate change; Transcontinental railroad infrastructure project; Population shift towards cities; Romanticism artistic movement.
3; Confucianism in China;" ""Journey to the West"" written"; Chinese legalism legal system; Treaty of Kyakhta diplomacy; Incense Route trade route established; Warring States military conflict; Roanoke Colony exploration; Women's rights movement; Untouchability in India minority groups; Maunder Minimum climate change; Suez Canal infrastructure project; World population explosion; Impressionism artistic movement.
4; Hinduism in India;" ""Mahabharata"" written"; Dharma legal system; Congress of Vienna diplomacy; Tea Horse Road trade route established; Kalinga War military conflict; Viking exploration voyages; Women's education rights; African American slavery minority groups; Dalton Minimum climate change; Erie Canal infrastructure project; Global urbanization population dynamics; Post-Impressionism artistic movement.
5; Taoism in China;" ""Sun Tzu's Art of War"" written"; Hammurabi's Code legal system; Treaty of Versailles diplomacy; Amber Road trade route reopened; Three Kingdoms military conflict; Zheng He's voyages; Women's suffrage in the United States; Native American genocide minority groups; Holocene climatic optimum climate change; Panama Canal infrastructure project; Population growth during industrialization; Fauvism artistic movement.
6; Zoroastrianism in Persia;" ""Shahnameh"" written"; Babylonian law legal system; Treaty of Ghent diplomacy; Saffarid Empire silver trade route established; Greco-Persian Wars military conflict; Dutch East India Company exploration; Chinese Exclusion Act women empowerment; Native American rights minority groups; Wolf Solar Minimum climate change; Trans-Siberian Railway infrastructure project; Population doubling; Cubism artistic movement.
7; Shinto in Japan;" ""The Tale of Genji"" written"; Japanese feudal law legal system; Treaty of Portsmouth diplomacy; Silk Road trade route revived; Genpei War military conflict; James Cook exploration voyages; Women's suffrage in the UK; South African apartheid minority groups; Spörer Minimum climate change; Hoover Dam infrastructure project; World population distribution changes; Surrealism artistic movement.
8; Tenrikyo in Japan;" ""Genji Monogatari"" written"; Meiji Constitution legal system; Treaty of Shimonoseki diplomacy; Opium Trade Route established; Sino-Japanese War military conflict; Lewis and Clark Expedition; Women's suffrage in Switzerland; Racial inequality minority groups; Maunder Minimum climate change; Golden Gate Bridge infrastructure project; Population control policies; Abstract Expressionism artistic movement.
9; Cao Dai in Vietnam;" ""Tale of Kieu"" written"; Socialist Republic of Vietnam legal system; Geneva Accords diplomacy; Maritime Silk Road trade route established; Indochina Wars military conflicts; Ernest Shackleton exploration; Women's rights movement in Saudi Arabia; LGBTQ+ rights minority groups; Holocene climatic optimum climate change; Belt and Road Initiative infrastructure project; Global human migration population dynamics; Contemporary art artistic movement.</s>
