;"""Number Type""";"""Identities""";"""Fractions & Decimals""";"""Algebraic Expressions""";"""Geometry - Shapes""";"""Geometry - Measurements""";"""Measurement Tools""";"""Historical Context""";"""Key Figures""";"""Misconceptions"""
37;"38)""Set Theory""";"""Set theory is the study of sets, which are collections of objects""";"""Set - A collection of objects that can be described by a common property or relation""";"""Set operation - An operation that combines or manipulates sets""";"""Subset - A set that is contained within another set""";"""Union - The set of all elements that belong to either set""";"""Intersection - The set of all elements that belong to both sets""";"""Complement - The set of all elements that do not belong to a set""";"""Naive set theory - A naive and intuitive approach to set theory that assumes that all sets are well-defined and unproblematic""";"""Axiomatic set theory - A rigorous and formal approach to set theory that defines set concepts and operations based on a set of axioms"" "
38;"39)""Measure Theory""";"""Measure theory is the study of the properties of sets and functions with respect to a measure""";"""Measure - A function that assigns a non-negative real number to each measurable set""";"""Measurable function - A function that maps measurable sets to measurable sets""";"""Integral - The area under a curve or the sum of an infinite series of infinitesimal quantities""";"""Lebesgue integration - A method of integration that extends the Riemann integral and allows for the integration of more general functions""";"""Measure space - A set, a sigma-algebra of subsets, and a measure defined on the subsets""";"""Lebesgue measure - The standard measure on the real line that assigns the length of an interval as its measure""";"""Henri Lebesgue - French mathematician who developed Lebesgue integration and measure theory""";"""Measure theory has applications in probability, statistics, and functional analysis""  "
39;"40)""Functional Analysis""";"""Functional analysis is the study of the properties of functions and operators with respect to a norm or an inner product""";"""Norm - A function that assigns a non-negative real number to each vector in a vector space, representing its length or magnitude""";"""Inner product - A function that assigns a scalar value to each pair of vectors in a vector space, representing their similarity or orthogonality""";"""Banach space - A complete normed vector space""";"""Hilbert space - A complete inner product space""";"""Linear operator - A function that maps vectors to vectors in a vector space, preserving linear structure""";"""Fredholm alternative - A theorem that states that a linear operator has either a unique solution or an infinite number of solutions""";"""David Hilbert - German mathematician who made fundamental contributions to functional analysis and mathematical physics""";"""Functional analysis has applications in differential equations, optimization, and control theory"".</s>"
40;" 41)""Graph Theory""";"""Graph theory is the study of graphs, which are collections of vertices connected by edges""";"""Vertex - A point or node in a graph representing an object or concept""";"""Edge - A line or link in a graph connecting two vertices, representing a relationship or connection""";"""Directed graph - A graph where edges have a direction, from one vertex to another""";"""Undirected graph - A graph where edges do not have a direction""";"""Weighted graph - A graph where edges have a numerical value, representing a cost or weight""";"""Connected graph - A graph where there is a path between any two vertices""";"""Eulerian path - A path that visits every edge in a graph exactly once""";"""Leonhard Euler - Swiss mathematician who contributed to the development of graph theory"" "
41;"42)""Probability Theory""";"""Probability theory is the study of uncertain events and their likelihood""";"""Probability space - A set of possible outcomes, a sigma-algebra of subsets, and a probability measure defined on the subsets""";"""Random variable - A function that assigns a numerical value to each outcome in a probability space""";"""Event - A subset of outcomes in a probability space""";"""Expected value - The sum of the product of each outcome and its probability""";"""Variance - The average of the squared differences between each outcome and its expected value""";"""Standard deviation - The square root of the variance""";"""Andrey Kolmogorov - Russian mathematician who formalized probability theory as a branch of mathematics""";"""Probability theory has applications in finance, insurance, and machine learning"" "
42;"43)""Differential Equations""";"""Differential equations describe the relationships between functions and their derivatives""";"""Ordinary differential equation - An equation involving a function of one variable and its derivatives""";"""Partial differential equation - An equation involving a function of several variables and its partial derivatives""";"""Linear differential equation - An equation involving only linear combinations of the function and its derivatives""";"""Nonlinear differential equation - An equation involving nonlinear combinations of the function and its derivatives""";"""Existence and uniqueness theorems - Theorems that provide conditions for the existence and uniqueness of solutions to differential equations""";"""Stability analysis - The study of the behavior of solutions to differential equations over time""";"""Isaac Newton - English mathematician and physicist who developed the theory of differential equations""";"""Differential equations have applications in physics, engineering, and biology"" "
43;"44)""Number Theory""";"""Number theory is the study of the properties of integers and their relationships""";"""Prime number - A positive integer greater than 1 that cannot be written as a product of two smaller positive integers""";"""Composite number - A positive integer greater than 1 that can be written as a product of two smaller positive integers""";"""Divisibility - The property of one integer dividing another integer without a remainder""";"""Greatest common divisor - The largest positive integer that divides two integers without a remainder""";"""Least common multiple - The smallest positive integer that is a multiple of two integers""";"""Modular arithmetic - The study of integers under addition and multiplication modulo a fixed integer""";"""Carl Friedrich Gauss - German mathematician who made significant contributions to number theory""";"""Number theory has applications in cryptography, coding theory, and combinatorics"" "
44;"45)""Topology""";"""Topology is the study of the properties of spaces that are preserved under continuous transformation""";"""Topological space - A set of points with a collection of open subsets that satisfy certain axioms""";"""Continuous function - A function that maps one topological space to another in a way that preserves continuity""";"""Homotopy - A continuous deformation of one topological space into another""";"""Homeomorphism - A bijective function between two topological spaces that preserves continuity and openness""";"""Compact space - A space where every open cover has a finite subcover""";"""Connected space - A space that cannot be written as a union of two nonempty disjoint open subsets""";"""Leopold Vietoris - Austrian mathematician who made fundamental contributions to topology""";"""Topology has applications in data analysis, dynamical systems, and physics"" "
45;"46)""Combinatorics""";"""Combinatorics is the study of counting, arranging, and combination of objects""";"""Permutation - An arrangement of objects in a particular order""";"""Combination - A selection of objects without regard to their order""";"""Binomial coefficient - The number of ways to choose r objects from a set of n objects, denoted nCrr""";"""Pascal's triangle - A triangular array of binomial coefficients that satisfies certain recursive relations""";"""Generating function - A formal power series that encodes information about a sequence of numbers""";"""Recurrence relation - A relationship between a sequence of numbers that allows for the computation of its terms""";"""Leonhard Euler - Swiss mathematician who made significant contributions to combinatorics""";"""Combinatorics has applications in computer science, statistics, and discrete mathematics"" "
46;"47)""Logic""";"""Logic is the study of reasoning, argumentation, and inference""";"""Propositional logic - The study of logical statements and their relationships using logical connectives""";"""Predicate logic - The study of logical statements involving predicates and quantifiers""";"""Truth table - A table that displays the truth values of a propositional formula for all possible combinations of truth values of its variables""";"""Validity - The property of an argument where the conclusion follows logically from the premises""";"""Soundness - The property of an argument where the premises are true and the argument is valid""";"""Proof theory - The study of formal proof systems and their properties""";"""Bertrand Russell - British mathematician and philosopher who contributed to the development of modern logic""";"""Logic has applications in mathematics, computer science, and artificial intelligence"" "
47;"48)""Complex Analysis""";"""Complex analysis is the study of functions of complex variables and their properties""";"""Complex number - A number that can be represented in the form a+bi, where a and b are real numbers and i is the imaginary unit, defined as the square root of -1""";"""Analytic function - A function that is complex differentiable at every point in a domain""";"""Contour integration - The process of integrating a function along a path in the complex plane""";"""Residue theorem - A theorem that relates the integral of a function around a closed contour to the residues of the function inside the contour""";"""Cauchy's integral formula - A formula that expresses the value of an analytic function inside a closed contour in terms of its values on the boundary""";"""Conformal mapping - A transformation that preserves angles between curves in the complex plane""";"""Augustin-Louis Cauchy - French mathematician who made fundamental contributions to complex analysis""";"""Complex analysis has applications in physics, engineering, and probability theory"" "
