;`Artwork;Artist;Date Created;Medium;Width;Height;Depth;Additional Details;Provenance;Exhibition History;Literature;Conservation;Citations;Location;Image`
0;" ""The Starry Night""";Vincent van Gogh;1889;Oil on canvas;73.7 cm x 92.1 cm;None;None;"""Starry Night features a turbulent sky filled with stars, a crescent moon, and a village among rolling hills.""";\;;;;;;
1;"""Provenance: Yasuda Corporation, Tokyo, Japan";" Mr. and Mrs. John Whitney Payson, New York, New York""";\;;;;;;;;;;;;
2;"""Exhibited: Paris, France, 1941, Vincent van Gogh Memorial Exhibition, Musée de l'Orangerie";" New York, New York, 1990, Vincent van Gogh's The Starry Night, The Museum of Modern Art""";\;;;;;;;;;;;;
3;"""Literature: Hulsker, Jan. The Complete Van Gogh: Paintings, Drawings, Sketches. Amsterdam: National Gallery of Art, Washington";" London: Harry N. Abrams, 1980, pp. 314-315""";\;;;;;;;;;;;;
4;"""Conservation: Relined, 1941"; cleaned and revarnished, 1948;" flattened, 2005-2006.""";\;;;;;;;;;;;
5;"""Citations: van Gogh Museum, Amsterdam, inv. no. 529";" RKDimages, part of the RKD—Netherlands Institute for Art History, image no. NY529-61""";\;;;;;;;;;;;;
6;"""Location: The Museum of Modern Art, New York, NY, USA""";\;;;;;;;;;;;;;
7;"""The Persistence of Memory""";Salvador Dalí;1931;Oil on canvas;24.1 cm x 33 cm;None;"None:""Melted clocks are draped over various objects in a desolate, dreamlike landscape.""";\;;;;;;;
8;"""Provenance: Mrs. Simon Guggenheim, New York, New York";" Salvador Dalí Museum, St. Petersburg, Florida""";\;;;;;;;;;;;;
9;"""Exhibition History: New York, New York, 1934, Fantastic Art, Dada, Surrealism, The Museum of Modern Art";" Paris, France, 1951, Paintings of Salvador Dalí, Galerie Pierre Colle""";\;;;;;;;;;;;;
10;"""Literature: Robert Descharnes and Gilles Néret. Salvador Dalí, 1904- Köln: Taschen, 2005, pp. 126-127""";\;;;;;;;;;;;;;
11;"""Conservation: Relined with Japanese tissue in 1984 and """;\;;;;;;;;;;;;;
