;GrowthHabitat;TypicalFruitingSeason;CommonPests;TypicalPollinators;OptimalSoilPh;PreferredClimateZone;AveragePlantHeight;FloweringColorRange;FloweringDuration;PropagationMethods;ConservationStatus;MedicinalUses;NutritionalValues
0; Oak Tree;Fall;Borers, Scales;Bees, Butterflies;6.0-6.5;Temperate Deciduous Forests;40-100 feet;Red, Brown;Spring;Seeds, Suckers;Least Concern;None;Rich in Antioxidants
1;Rose Bush;Late Spring to Early Summer;Aphids, Spider Mites;Bees, Hummingbirds;6.0-6.5;Temperate to Subtropical;3-7 feet;Red, Pink, White, Yellow;Spring to Early Summer;Cuttings, Grafting;Least Concern;Skin Care, Pain Relief;Vitamin C, Antioxidants
2;Blueberry Bush;Late Spring to Early Summer;Scale Insects, Borers;Bees, Butterflies;4.0-5.5;Temperate to Boreal Forests;6-12 feet;Blue, Purple;Spring to Early Summer;Cuttings, Seeds;Least Concern;Antioxidant, UTI Treatment;Vitamin C, Fiber, Antioxidants
3;Dandelion;Spring to Autumn;Nematodes, Aphids;Bees, Flies;6.0-8.0;Temperate to Subtropical;1-2 feet;Yellow, White;Spring to Autumn;Seeds;Least Concern;Digestive Aid, Liver Tonic;Vitamin A, Vitamin K, Calcium
4;Cacti (various);Spring to Fall;Scales, Mealybugs;Bees, Birds;6.0-8.0;Desert to Semi-Arid;1 inch to 65 feet;Various;Spring to Fall;Cuttings, Seeds;Least Concern;Topical Treatments;Calcium, Vitamin C, Fiber
5;Apple Tree;Early to Late Summer;Codling Moth, Aphids;Bees, Butterflies;6.0-6.5;Temperate to Subarctic;15-30 feet;Red, Green, Yellow;Summer;Seeds, Grafting;Least Concern;Urinary Health, Digestion;Vitamin C, Fiber, Antioxidants
6;Corn;Summer to Early Fall;Corn Borers, Earworms;Bees;6.0-7.5;Temperate to Tropical;1-20 feet;Yellow, Multi-colored;Summer to Early Fall;Seeds;Least Concern;None;Rich in Carbohydrates, Fiber, Vitamin C
7;Sunflower;Summer to Fall;Sunflower Beetles, Aphids;Bees, Birds;6.0-7.5;Temperate to Tropical;5-16 feet;Yellow, Red;Summer to Fall;Seeds;Least Concern;Anti-inflammatory, Cardiovascular;Vitamin E, Fiber, Protein
8;Potato;Late Spring to Fall;Colorado Potato Beetles, Aphids;Bees;5.0-7.0;Temperate to Subtropical;1-5 feet;White, Purple, Red, Yellow;Spring to Fall;Seeds, Tubers;Least Concern;Antioxidant, Anti-cancer;Vitamin C, Fiber, Iron
9;Carrot;Summer to Fall;Carrot Rust Flies, Aphids;Bees, Flies;6.0-7.5;Temperate to Subtropical;1-3 feet;Orange;Summer to Fall;Seeds;Least Concern;Vision, Antioxidant;Vitamin A, Vitamin K, Potassium</s>
