;Glacier Name;Elevation Range (m);Glacier Area (km²);Ice Volume Change Rate (km³/year);Mass Balance (m w.e.);Bedrock Type;Firn Thickness (m);Glacier Classification;Glaciological Monitoring Method
0;  Glacier Name: Whillans Ice Stream; Elevation Range (m): 0-1200; Glacier Area (km²): 1500; Ice Volume Change Rate (km³/year): -2.5; Mass Balance (m w.e.): -0.5; Bedrock Type: Basement rock; Firn Thickness (m): 150; Glacier Classification: Ice stream; Glaciological Monitoring Method: Ground-penetrating radar, satellite imagery
1; Glacier Name: Jakobshavn Isbrae; Elevation Range (m): 0-1500; Glacier Area (km²): 650; Ice Volume Change Rate (km³/year): -20; Mass Balance (m w.e.): -12; Bedrock Type: Volcanic bedrock; Firn Thickness (m): 100; Glacier Classification: Marine-terminating glacier; Glaciological Monitoring Method: Aerial laser altimetry, satellite imagery
2; Glacier Name: Greenland Ice Sheet; Elevation Range (m): 0-3200; Glacier Area (km²): 1,710,000; Ice Volume Change Rate (km³/year): -250; Mass Balance (m w.e.): -200; Bedrock Type: Basement rock; Firn Thickness (m): 200; Glacier Classification: Ice sheet; Glaciological Monitoring Method: Satellite gravimetry, satellite imagery
3; Glacier Name: Perito Moreno Glacier; Elevation Range (m): 100-3000; Glacier Area (km²): 250; Ice Volume Change Rate (km³/year): -0.025; Mass Balance (m w.e.): 0; Bedrock Type: Sedimentary bedrock; Firn Thickness (m): 50; Glacier Classification: Valley glacier; Glaciological Monitoring Method: Stake measurements, ground-penetrating radar
4; Glacier Name: Vatnajökull Glacier; Elevation Range (m): 0-2000; Glacier Area (km²): 8100; Ice Volume Change Rate (km³/year): -0.2; Mass Balance (m w.e.): -0.1; Bedrock Type: Basalt bedrock; Firn Thickness (m): 100; Glacier Classification: Ice cap; Glaciological Monitoring Method: Stake measurements, aerial laser altimetry
5; Glacier Name: Columbia Glacier; Elevation Range (m): 0-2300; Glacier Area (km²): 650; Ice Volume Change Rate (km³/year): -5; Mass Balance (m w.e.): -2; Bedrock Type: Sedimentary bedrock; Firn Thickness (m): 80; Glacier Classification: Tidewater glacier; Glaciological Monitoring Method: Satellite imagery, boat-based measurements
6; Glacier Name: Pine Island Glacier; Elevation Range (m): 0-1500; Glacier Area (km²): 450; Ice Volume Change Rate (km³/year): -40; Mass Balance (m w.e.): -5; Bedrock Type: Basement rock; Firn Thickness (m): 70; Glacier Classification: Ice stream; Glaciological Monitoring Method: Satellite imagery, ground-penetrating radar
7; Glacier Name: Athabasca Glacier; Elevation Range (m): 2000-3500; Glacier Area (km²): 29; Ice Volume Change Rate (km³/year): -0.002; Mass Balance (m w.e.): -1; Bedrock Type: Sedimentary bedrock; Firn Thickness (m): 30; Glacier Classification: Valley glacier; Glaciological Monitoring Method: Stake measurements, aerial photogrammetry
8; Glacier Name: Barnes Ice Cap; Elevation Range (m): 1300-2100; Glacier Area (km²): 196; Ice Volume Change Rate (km³/year): -0.09; Mass Balance (m w.e.): -0.4; Bedrock Type: Basement rock; Firn Thickness (m): 60; Glacier Classification: Ice cap; Glaciological Monitoring Method: Ground-penetrating radar, satellite imagery
9; Glacier Name: Borussia Glacier; Elevation Range (m): 1500-2500; Glacier Area (km²): 120; Ice Volume Change Rate (km³/year): -0.2; Mass Balance (m w.e.): -0.8; Bedrock Type: Metamorphic bedrock; Firn Thickness (m): 40; Glacier Classification: Mountain glacier; Glaciological Monitoring Method: Stake measurements, aerial laser altimetry</s>
