;TeamName; TeamID; Coachname; MatchesWon; MatchesLost; AveragePointsPerGame; TotalPlayers; HomeGames; AwayGames; ConsecutiveWins; ChampionshipTitles.
0;Bengal Bulls; BB001; John Doe; 15; 5; 28.5; 25; 10; 10; 7; 3
1;Tiger Titans; TT002; Jane Smith; 12; 8; 26.2; 22; 12; 8; 5; 2
2;Wildcats; WC003; Bob Johnson; 9; 11; 24.6; 28; 14; 14; 3; 1
3;Dragons; DG004; Alice Davis; 14; 6; 29.1; 24; 11; 11; 6; 4
4;Eagles; EG005; Charlie Brown; 7; 13; 22.7; 20; 10; 10; 0; 0
5;Panthers; PH006; Sarah Lee; 13; 7; 27.3; 26; 12; 12; 4; 1
6;Lions; LN007; David Kim; 8; 12; 23.8; 30; 15; 15; 2; 0
7;Ravens; RV008; Emily Wong; 16; 4; 30.1; 23; 11; 11; 8; 5
8;Sharks; SH009; Daniel Park; 6; 14; 22.4; 27; 13; 13; 1; 0
9;Knights; KT010; Laura Garcia; 10; 10; 25.6; 29; 14; 14; 3; 0</s>
10; Panthers; PN011; Alexander King; 12; 8; 27.3; 25; 12; 14; 4; 2
11;Eagles; EG012; Jasmine White; 14; 6; 29.8; 31; 15; 11; 6; 1
12;Lions; LY013; Benjamin Green; 9; 11; 23.5; 22; 10; 12; 2; 0
13;Hawks; HW014; Claire Davis; 7; 13; 24.6; 30; 13; 13; 0; 0
14;Dragons; DG015; Oliver Miller; 15; 5; 31.2; 28; 12; 14; 7; 3
15;Jaguars; JG016; Ava Thompson; 8; 12; 26.9; 26; 13; 13; 0; 0
16;Tigers; TG017; Samuel Anderson; 11; 9; 28.7; 24; 11; 13; 5; 1
17;Bears; BA018; Victoria Taylor; 6; 14; 23.1; 21; 11; 15; 1; 0
18;Bulls; BL019; Noah Wilson; 13; 7; 26.8; 29; 14; 12; 3; 0
19;Cougars; CG020; Sophia Martinez; 10; 10; 24.5; 27; 11; 15; 0; 0</s>
20; Panthers; PN021; Zackary Davis; 12; 8; 25.6; 23; 13; 11; 2; 1
21;Falcons; FA022; Avery Thompson; 8; 12; 22.9; 25; 14; 10; 0; 0
22;Lions; LN023; Mia Evans; 9; 11; 27.3; 30; 12; 14; 1; 0
23;Tigers; TG024; Carter Johnson; 14; 6; 24.0; 24; 10; 16; 4; 0
