;Musical Key; Time Signature; Tempo (BPM); Main Instruments; Melodic Tone; Harmonic Progression; Lyrics Themes; Audience Age Group; Production Techniques; Digital Sales Platform
0; C Major; 4/4; 120; Piano, Drums; Bright, Uplifting; I-V-vi-IV; Love, Friendship; 18-35; Multi-track Recording, Auto-tune; iTunes
1;A Minor; 3/4; 90; Acoustic Guitar, Violin; Sorrowful, Reflective; vi-IV-I-V; Loss, Longing; 25-50; Stereo Recording, Reverb; Spotify
2;E Major; 6/8; 100; Electric Guitar, Bass; Energetic, Excited; I-IV-V; Adventure, Freedom; 15-30; Live Recording, Distortion; Google Play
3;F Major; 2/2; 70; Trumpet, Saxophone; Joyful, Celebratory; II-V-I; Celebration, Happiness; All Ages; Surround Sound, Equalization; Amazon Music
4;B Flat Major; 5/4; 80; Cello, Flute; Dreamy, Whimsical; IV-vi-I-V; Imagination, Wonder; 10-14; Binaural Recording, Chorus Effect; Pandora
5;D Major; 7/4; 110; Banjo, Mandolin; Playful, Lively; I-IV-V-vi; Fun, Games; 5-8; Field Recording, Compression; Deezer
6;G Major; 9/8; 130; Harmonica, Accordion; Nostalgic, Wistful; III-vi-II-V; Memories, Nostalgia; 30-50; Lo-fi Recording, Delay; Tidal
7;C Minor; 12/8; 60; Timpani, Choir; Epic, Dramatic; vi-IV-I-V; Heroism, Bravery; 13-18; Cinematic Recording, Echo; Napster
8;A Flat Major; 10/4; 95; Sitar, Tabla; Exotic, Mystical; I-V-vi-III; Exploration, Discovery; 19-25; World Music Recording, Phasing; SoundCloud
9;E Flat Major; 8/6; 105; Xylophone, Harp; Magical, Enchanting; II-V-vi-IV; Fairy Tales, Fantasy; 4-10; High-fidelity Recording, Flanger; Groove Music</s>
10; B Major; 4/4; 120; Electric Guitar, Drums; Energetic, Rock; I-IV-V-IV; Rebellion, Freedom; 15-18; Multi-track Recording, Overdrive; Spotify
11;E Minor; 3/4; 80; Violin, Piano; Sorrowful, Classical; i-iv-V-i; Loss, Love; 26-50; Surround Sound Recording, Reverb; Amazon Music
12;C Sharp Major; 7/8; 110; Saxophone, Double Bass; Jazzy, Sophisticated; II-V-I-vi; Urban Life, Relationships; 20-30; Stereo Recording, Compression; Pandora
13;A Minor; 9/8; 70; Pan Flute, Rain Stick; Peaceful, Ambient; vi-IV-I-V; Nature, Tranquility; Any Age; Binaural Recording, Delay; Apple Music
14;F Major; 11/8; 130; Turntables, Drum Machine; Lively, Hip Hop; I-IV-V-IV; City Life, Empowerment; 13-25; Lo-fi Recording, Distortion; Tidal
15;D Major; 5/4; 100; Trumpet, Trombone; Uplifting, Brass; III-vi-ii-V; Celebration, Success; 18-40; Live Recording, Equalization; Google Play Music
16;G Sharp Minor; 6/4; 85; Oboe, Cello; Thoughtful, Chamber; iv-I-V-vi; Introspection, Contemplation; 31-55; High-Resolution Recording, Stereo Enhancement; Deezer
17;B Flat Major; 13/16; 140; Djembe, Shaker; Exciting, World; I-V-vi-III; Community, Rhythm; 5-12; Field Recording, Reverse; YouTube Music
18;F Sharp Minor; 2/2; 90; Accordion, Clarinet; Nostalgic, Folk; ii-V-i-iv; Heritage, Narrative; 36-70; Digital Mastering, Chorus; Claro Music
19;C Major; 1/2; 200; Vocaloids, Synthesizer; Futuristic, Electronic; IV-V-vi-III; Technology, Innovation; 10-22; Synthetic Recording, Autotune; Bandcamp</s>
