;TeamName; TeamID; CoachName; TotalMatchesPlayed; Wins; Losses; GoalsScored; Assists; Rebounds; Steals; Turnovers; Fouls; AverageAge
0; Golden State Warriors; GSW-123; Steve Kerr; 72; 57; 15; 2256; 912; 897; 684; 956; 673; 28.1
1;Boston Celtics; BOS-456; Brad Stevens; 81; 51; 30; 2104; 831; 765; 589; 841; 702; 29.6
2;Toronto Raptors; TOR-789; Nick Nurse; 64; 46; 18; 1872; 721; 684; 556; 723; 601; 26.9
3;Los Angeles Lakers; LAL-012; Frank Vogel; 67; 43; 24; 2198; 871; 910; 645; 914; 762; 27.5
4;Philadelphia 76ers; PHI-345; Doc Rivers; 71; 48; 23; 2231; 910; 856; 702; 837; 745; 25.6
5;Brooklyn Nets; BKN-678; Steve Nash; 72; 45; 27; 2310; 895; 867; 698; 884; 716; 26.8
6;Milwaukee Bucks; MIL-901; Mike Budenholzer; 70; 53; 17; 2286; 915; 954; 712; 893; 756; 27.3
7;Denver Nuggets; DEN-234; Michael Malone; 69; 46; 23; 2098; 815; 746; 639; 804; 701; 25.8
8;Utah Jazz; UTA-567; Quin Snyder; 71; 49; 22; 2156; 912; 835; 768; 921; 774; 26.2
9;Dallas Mavericks; DAL-890; Rick Carlisle; 68; 44; 24; 2224; 876; 891; 745; 1012; 836; 28.5</s>
