;SociologicalTheory; ResearchDesign; DataCollectionMethod; SampleSize; Methodology; ParticipantObservations; DataAnalysis; Results; Conclusion; References
0;  SymbolicInteractionism; Survey Research; Online Polling; 1000 Participants; Quantitative; None; Statistical Analysis; 55% of participants identified as male; The majority of participants identified as male; Smith et al., 2020
1; Functionalism; Case Study; In-depth Interviews; 20 Participants; Qualitative; Yes; Thematic Analysis; Participants experienced a sense of community; The small sample reported a sense of community; Johnson, 2019
2; ConflictTheory; Experimental Research; Random Sampling; 500 Participants; Quantitative; None; Regression Analysis; Income inequality leads to social unrest; The data supports the theory that income inequality leads to social unrest; Lee & Li, 2021
3; FeministTheory; Longitudinal Study; Snowball Sampling; 50 Participants; Qualitative; Yes; Narrative Analysis; Participants reported feeling empowered; The small sample reported feeling empowered; Davis, 2018
4; SymbolicInteractionism; Cross-sectional Study; Convenience Sampling; 150 Participants; Quantitative; None; Descriptive Statistics; Participants interacted primarily online; The majority of interactions took place online; Taylor & Wang, 2020
5; Functionalism; Action Research; Purposive Sampling; 30 Participants; Qualitative; Yes; Content Analysis; Participants reported satisfaction with society; The small sample reported satisfaction with society; Moore, 2019
6; ConflictTheory; Longitudinal Study; Random Sampling; 1000 Participants; Quantitative; None; Regression Analysis; Inequality leads to conflict; The data supports the theory that inequality leads to conflict; Kim & Park, 2021
7; FeministTheory; Case Study; In-depth Interviews; 10 Participants; Qualitative; Yes; Thematic Analysis; Participants experienced discrimination; The small sample reported experiencing discrimination; Brown, 2018
8; SymbolicInteractionism; Experimental Research; Random Sampling; 200 Participants; Quantitative; None; Descriptive Statistics; Participants interacted primarily face-to-face; The majority of interactions took place face-to-face; Smith & Johnson, 2020
9; Functionalism; Cross-sectional Study; Convenience Sampling; 120 Participants; Qualitative; Yes; Content Analysis; Participants reported a sense of belonging; The majority of participants reported a sense of belonging; Davis & Moore, 2019.</s>
10;  ConflictTheory; Longitudinal Study; Snowball Sampling; 50 Participants; Quantitative; None; Regression Analysis; Participants experienced income inequality; There was a significant positive correlation between income and education; Marx, 2021
11; SymbolicInteractionism; Survey Research; Stratified Random Sampling; 500 Participants; Mixed Methods; Yes; Thematic Analysis & Descriptive Statistics; Participants interacted through technology and face-to-face; A majority of interactions occurred through technology; Smith & Jones, 2022
12; Functionalism; Experimental Research; Random Sampling; 150 Participants; Qualitative; Yes; Content Analysis; Participants reported social cohesion; The majority of participants reported a sense of societal stability; Durkheim & Weber, 2020
13; FeministTheory; Cross-sectional Study; Convenience Sampling; 80 Participants; Mixed Methods; Yes; Content Analysis & Thematic Analysis; Participants experienced gender discrimination; There was a significant difference in gender discrimination between men and women; Brown & Silva, 2021
14; ConflictTheory; Case Study; In-depth Interviews; 12 Participants; Qualitative; Yes; Thematic Analysis; Participants experienced class conflict; All participants reported feeling tension between classes; Marx & Engels, 2022
15; SymbolicInteractionism; Longitudinal Study; Snowball Sampling; 30 Participants; Quantitative; None; Regression Analysis; Participants interacted through social media over time; The number of interactions increased significantly over time; Smith & Zimmerman, 2023
16; Functionalism; Survey Research; Stratified Random Sampling; 600 Participants; Qualitative; Yes; Content Analysis; Participants reported on social institutions; The majority of participants reported satisfaction with their social institutions; Durkheim & Mauss, 2020
17; FeministTheory; Experimental Research; Random Sampling; 250 Participants; Mixed Methods; Yes; Thematic Analysis & Descriptive Statistics; Participants experienced gender stereotyping; The majority of participants reported experiencing gender stereotyping; Brown & Taylor, 2021
