;FavoritePsychologist;PreferredTheory;CharacterInfluence1;CharacterInfluence2;CharacterInfluence3;CharacterInfluence4;CharacterInfluence5;CharacterInfluence6;CharacterInfluence7;CharacterInfluence8;CharacterInfluence9;CharacterInfluence10;CharacterInfluence11;FamousExperiment1;FamousExperiment2
0; FavoritePsychologist;PreferredTheory;CharacterInfluence1;CharacterInfluence2;CharacterInfluence3;CharacterInfluence4;CharacterInfluence5;CharacterInfluence6;CharacterInfluence7;CharacterInfluence8;CharacterInfluence9;CharacterInfluence10;CharacterInfluence11;FamousExperiment1;FamousExperiment2
1;Sigmund Freud;Psychoanalysis;Hamlet, Oedipus, Lady Macbeth;Id, Ego, Superego;Slip of the Tongue;Dream Analysis;Transference;Defense Mechanisms;Anxiety and Hysteria;Rat Man;Little Hans;Dora;Psychosexual Stages;Interpretation of Dreams;Washington University Dollar Sign Experiment
2;Carl Jung;Analytical Psychology;Faust, Tristan, Parsifal;Archetypes, Collective Unconscious;Persona, Shadow, Anima/Animus;Individuation;Self-realization;Synchronicity;Mandalas;Active Imagination;Word Association Test;Psychological Types;Dream Interpretation;Ganzfeld Experiment;
3;B.F. Skinner;Radical Behaviorism;Bart Simpson;SpongeBob SquarePants;Gerald the Goldfish;Homer Simpson;Marge Simpson;Lisa Simpson;Maggie Simpson;Itchy and Scratchy;Operation Mongoose;Pavlov's Dogs;Skinner Box;Air Crib;
4;Ivan Pavlov;Classical Conditioning;Buddy the Dog;Lucky the Cat;Whiskers the Mouse;Snickers the Parrot;Sally the Elephant;Slimer the Ghost;Mr. Peanut;Colonel Sanders;Chewbacca;Wicket the Ewok;Tweety the Canary;Drooling Experiment;
5;Albert Bandura;Social Cognitive Theory;Tony Soprano;Dr. Melfi;Phil Leotardo;Big Pussy Bonpensiero;Silvio Dante;Paulie Walnuts;Christopher Moltisanti;Artie Bucco;Adriana La Cerva;Janice Soprano;Bobby Bacala;Bobbie Barone;Bob's House Cat Bandura's Bobo Doll Experiment
6;Abraham Maslow;Hierarchy of Needs;Pi Patel;Jack;Ralph;Piggy;Simone;Rose;Swiss Cheese;Horton the Elephant;Curious George;Babar;Aslan;Corduroy;Maslow's Pyramid
7;Leon Festinger;Cognitive Dissonance;Luke Skywalker;Han Solo;Princess Leia;Darth Vader;Obi-Wan Kenobi;Yoda;R2-D2;C-3PO;Chewbacca;Solo Twins;Lando Calrissian;Palpatine;Festinger and Carlsmith Experiment
8;Milton Erickson;Hypnotherapy;Sleeping Beauty;Aladdin;Ariel;Jasmine;Pocahontas;Mulan;Rapunzel;Elsa;Anna;Moana;Maui;Erickson Induction;Ericksonian Techniques
9;Aaron T. Beck;Cognitive Behavioral Therapy;Billy Crystal;Jack Nicholson;Meg Ryan;Tom Hanks;Robin Williams;Adam Sandler;Robert De Niro;Diane Keaton;Woody Allen;Meryl Streep;Julia Roberts;Beck's Cognitive Triad;
10;Philip Zimbardo;Stanford Prison Experiment;Officer Bob;Prisoner 8612;Prisoner 819;Parole Board;Moral Reasoning;Group Dynamics;Role Playing;Prison Control;Correctional Facility Architecture;Milgram Experiment</s>;;;
