;Study Area ID; Date & Time Stamp; Weather Condition; Cloud Cover (%); Visibility (km); Air Quality Index; Temperature (°C); Relative Humidity (%); Atmospheric Pressure (hPa); Wind Speed (m/s); Precipitation (mm); Solar Radiation (W/m²); Soil Moisture (%)
0; 101; 2022-03-01 12:00:00; Partly cloudy; 50; 10; 56; 15.5; 45; 1013; 2.3; 0; 550; 12
1;102; 2022-03-02 06:30:00; Clear skies; 10; 15; 38; -2.2; 70; 1012; 4.5; 0; 800; 25
2;103; 2022-03-03 16:45:00; Light rain; 90; 3; 60; 72; 9.3; 88; 1005; 8.2; 1.2; 150  5
3;104; 2022-03-04 09:00:00; Heavy fog; 100; 0.1; 88; 96; 7.8; 95; 1020; 1.1; 0; 25  1
4;105; 2022-03-05 18:15:00; Overcast; 100; 5; 52; 34; 12.1; 62; 998; 15.6; 0; 100  8
5;106; 2022-03-06 23:30:00; Snowfall; 80; 8; 56; 110; -3.5; 80; 1015; 6.8; 0.5; 0  1
6;107; 2022-03-07 13:00:00; Light drizzle; 70; 6; 65; 50; 10.2; 75; 1000; 3.4; 0.2; 200  4
7;108; 2022-03-08 21:45:00; Thunderstorm; 5; 7; 70; 63; 18.5; 50; 985; 20.7; 0; 300  7
8;109; 2022-03-09 04:15:00; Freezing fog; 100; 0.05; 85; 108; -5.1; 90; 1030; 0.9; 0; 10  0
9;110; 2022-03-10 15:00:00; Sunny; 0; 10; 32; 20; 21.6; 25; 977; 12.1; 0; 1000  12</s>
