;Musical Key; Time Signature; Tempo (BPM); Lyrics by; Origin; Subgenres; Professional reviews; Live performances; Audience size; Satisfaction score*
0; C Major; 4/4; 120; Taylor Swift; Nashville, TN; Country-Pop;" ""Effortless and infectious"""; Sold out stadiums; 50,000; 9/10*
1;A minor; 3/4; 60; Leonard Cohen; Montreal, QC; Folk;" ""Haunting and emotional"""; Intimate theater; 2,000; 8/10*
2;D flat major; 5/4; 160; Dave Brubeck; Concord, CA; Jazz;" ""Groundbreaking and complex"""; Festivals; 10,000; 7/10*
3;G sharp minor; 7/8; 220; Stravinsky; St. Petersburg, RU; Classical;" ""Revolutionary and dissonant"""; Concert halls; 5,000; 10/10*
4;E major; 6/8; 100; Mumford & Sons; London, UK; Folk-Rock;" ""Euphoric and harmonious"""; Amphitheaters; 15,000; 9/10*
5;B minor; 2/2; 110; Beethoven; Bonn, DE; Classical;" ""Majestic and powerful"""; Concert halls; 3,000; 8/10*
6;F sharp major; 9/4; 70; Radiohead; Oxford, UK; Art Rock;" ""Cerebral and atmospheric"""; Festivals; 80,000; 7/10*
7;C minor; 12/8; 90; Enya; Gweedore, IE; Celtic;" ""Serene and ethereal"""; Arena; 20,000; 8/10*
8;A flat major; 11/4; 130; Dream Theater; NYC, NY; Progressive Metal;" ""Intricate and dynamic"""; Theater; 5,000; 9/10*
9;E flat minor; 4/4; 140; Nirvana; Aberdeen, WA; Grunge;" ""Visceral and raw"""; Stadiums; 40,000; 10/10*
