;`Ar Workcode;Created Location;Preserved Museum;Restoration Details;Artist;Date Created;Medium;Width;Height;Depth;Period;Style;Subject Matter;Notes`
0;" ""001A12""";"""Paris, France""";"""Louvre Museum""";"""Minor cleaning and touch-ups in 2005.""";"""Leonardo da Vinci""";"""1503-16""";"""Oil on poplar""";"""77 cm""";"""53 cm""";"""""";"""Renaissance""";"""Religious (Last Supper)""";"""Commissioned by Ludovico Sforza for the Dominican monastery of Santa Maria delle Grazie in Milan.""";""""
1;"""002F30""";"""Florence, Italy""";"""Uffizi Gallery""";"""Full restoration in 1999 involving removal of overpaint.""";"""Botticelli""";"""1485-86""";"""Tempera on canvas""";"""170 cm""";"""278 cm""";"""""";"""Early Renaissance""";"""Mythological (Birth of Venus)""";"""One of Botticelli's most famous and recognizable works.""";""""
2;"""003H67""";"""Athens, Greece""";"""National Archaeological Museum""";"""Reconstructed from fragments in 1954.""";"""Unknown (Attributed to Praxiteles)""";"""340 BC""";"""Marble""";"""200 cm (including base)""";"""""";"""""";"""Classical Greek""";"""Mythological (Aphrodite)""";"""One of the few surviving ancient Greek sculptures of a goddess nude.""";""""
3;"""004E98""";"""Mexico City, Mexico""";"""National Museum of Anthropology""";"""Cleaned and stabilized in 1964.""";"""Unknown (Aztec)""";"""1500-1521""";"""Volcanic stone""";"""155 cm""";"""49 cm""";"""27 cm""";"""Postclassic""";"""Religious (Xipe Totec)""";"""Signifies the renewal of life through the god's self-sacrifice.""";""""
4;"""005C21""";"""New York, USA""";"""Metropolitan Museum of Art""";"""Cleaning and revarnishing in 1936.""";"""Emanuel Leutze""";"""1851""";"""Oil on canvas""";"""378 cm""";"""648 cm""";"""""";"""Romanticism""";"""Historical (Washington Crossing the Delaware)""";"""Commissioned by Ferdinand Kohn for his mansion's staircase.""";""""
5;"""006R03""";"""Amsterdam, Netherlands""";"""Rijksmuseum""";"""Restored in 1990, removing previous overpaint.""";"""Rembrandt""";"""1642""";"""Oil on canvas""";"""142 cm""";"""128 cm""";"""""";"""Baroque""";"""Domestic Scene (Night Watch)""";"""Depicts the company of Captain Frans Banning Cocq and Lieutenant Willem van Ruytenburch.""";""""
6;"""007Q90""";"""St. Petersburg, Russia""";"""Hermitage Museum""";"""Reconstructed from fragments in 1902.""";"""Unknown (Attributed to Apelles)""";"""325-300 BC""";"""Wall painting""";"""100 cm""";"""150 cm""";"""""";"""Hellenistic""";"""Mythological (Alexander the Great)""";"""Destroyed in ancient times and rediscovered in the 19th century.""";""""
7;"""008V65""";"""London, England""";"""British Museum""";"""Consolidated and reattached fragments in 1939.""";"""Unknown (Attributed to the Moche culture)""";"""400-700 AD""";"""Ceramic""";"""45 cm""";"""30 cm""";"""""";"""Pre-Columbian""";"""Ritual (Portrayal of a warrior)""";"""Portraying a warrior with distinctive ear ornaments and a feline headdress.""";""""
8;"""009J14""";"""Berlin, Germany""";"""Pergamon Museum""";"""Conservation efforts ongoing since the 1990s.""";"""Unknown (Attributed to the Ishtar Gate's creators)""";"""575 BC""";"""Glazed brick""";"""480 cm""";"""315 cm""";"""""";"""Ancient Mesopotamian""";"""Religious (Processional way)""";"""One of the most significant archaeological finds in history.""";""""
9;"""010K36""";"""Tokyo, Japan""";"""Tokyo National Museum""";"""Restored in 1972, removing inappropriate repairs.""";"""Hasegawa Tohaku""";"""1598-99""";"""Ink on paper""";"""338 cm""";"""1412 cm""";"""""";"""Momoyama period""";"""Nature (Pine Trees)""";"""Commissioned by Toyotomi Hideyoshi for his Osaka castle.""";"""</s>"
