;Drug Formula; Table 2 Chemical Name; Molecular Weight; Manufacturing Date; Expiry Date; Storage Conditions; Drug Classification\_{table\_2}; Pharmaceutical Company; Production Site; Approval Agency; Clinical Trials Information; Maximum Recommended Adult Daily Intake; Precautions for Handling; Contraindications; Side Effects; Interactions with Other Substances.
0; Drug Formula;Table 2 Chemical Name;Molecular Weight;Manufacturing Date;Expiry Date;Storage Conditions;Drug Classification\_table\_2;Pharmaceutical Company;Production Site;Approval Agency;Clinical Trials Information;Maximum Recommended Adult Daily Intake;Precautions for Handling;Contraindications;Side Effects;Interactions with Other Substances
1;Acetaminophen, Paracetamol;N-(4-hydroxyphenyl)acetamide;151.16 g/mol;2022-03-15;2025-03-15;Store in a cool, dry place, away from direct sunlight;Analgesic, Antipyretic;GlaxoSmithKline;United Kingdom;FDA;ClinicalTrials.gov Identifier: NCT00152636;4000 mg;Avoid contact with skin, eyes, and clothing;Hypersensitivity to drug;Nausea, vomiting, liver damage;Alcohol consumption
2;Ibuprofen;(RS)-2-(4-(2-methylpropyl)phenyl)propanoic acid;206.28 g/mol;2022-04-01;2024-04-01;Store in a tightly closed container at room temperature;Nonsteroidal anti-inflammatory drug (NSAID);Johnson & Johnson;United States;FDA;ClinicalTrials.gov Identifier: NCT00141582;1200 mg;Avoid inhalation;Allergic reactions, asthma;Stomach ulcers, headache, dizziness;Aspirin, other NSAIDs
3;Levothyroxine Sodium;L-3,3',5,5'-tetraiodothyronine sodium salt;798.84 g/mol;2022-02-10;2025-02-10;Refrigerate (2-8°C);Thyroid hormone;Mylan;France;EMA;ClinicalTrials.gov Identifier: NCT00117487;200 mcg;Avoid contact with skin;Cardiac disease, adrenal insufficiency;Tremors, anxiety, appetite changes;Calcium supplements, iron supplements
4;Amoxicillin;(2S,5R,6R)-6-[(R)-(-)-2-Amino-2-(hydroxymethyl)propanoic acid]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid;365.40 g/mol;2022-01-20;2023-01-20;Store in a dry place, below 25°C;Antibiotic;Pfizer;Germany;FDA;EU Clinical Trials Register ID: 2013-003495-27;1500 mg;Avoid direct contact with skin, eyes, and clothing;Allergic reactions;Diarrhea, nausea, vomiting;Probiotics
5;Sertraline;(1S,4S)-4-(3,4-dichlorophenyl)-1,2,3,4-tetrahydro-N-methyl-1-naphthalenamine;306.23 g/mol;2022-03-05;2024-03-05;Store in a cool, dry place, away from direct sunlight;Selective serotonin reuptake inhibitor (SSRI);Pfizer;United States;FDA;ClinicalTrials.gov Identifier: NCT00193807;200 mg;Avoid inhalation;Suicidal thoughts, pregnancy, liver disease;Insomnia, dizziness, headache;Alcohol
6;Metformin;N,N-dimethylimidodicarbonimidic diamide;165.63 g/mol;2022-02-25;2025-02-25;Store in a tightly closed container at room temperature;Antidiabetic;Merck;Italy;EMA;ClinicalTrials.gov Identifier: NCT00167847;2000 mg;Avoid contact with skin, eyes, and clothing;Renal impairment, heart failure;Diarrhea, nausea, vomiting;Alcohol
7;Atorvastatin;(3R,5R)-7-[2-(4-fluorphenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyhept-6-enoic acid, calcium salt (2:1) hydrate;1209.42 g/mol;2022-01-15;2025-01-15;Store in a cool, dry place, away from direct sunlight;Lipid-lowering;Pfizer;United States;FDA;ClinicalTrials.gov Identifier: NCT00021103;80 mg;Avoid inhalation;Liver or kidney disease;Headache, muscle pain, constipation;Niacin, fibrates
8;Losartan;2-butyl-4-chloro-1-[p-(o-1H-tetrazol-5-ylphenyl)benzyl]imidazole-5-methanol;422.98 g/mol;2022-04-10;2025-04-10;Store in a tightly closed container at room temperature;Angiotensin receptor blocker (ARB);Merck;Spain;EMA;ClinicalTrials.gov Identifier: NCT00144780;100 mg;Avoid contact with skin, eyes, and clothing;Renal impairment;Dizziness, headache, upper respiratory tract infection;Diuretics
9;Fluoxetine;(3S,4R)-N-methyl-3-phenyl-4-(4-trifluoromethylphenoxy)butan-1-amine;309.23 g/mol;2022-02-15;2024-02-15;Store in a tightly closed container at room temperature;Selective serotonin reuptake inhibitor (SSRI);Eli Lilly and Company;United States;FDA;ClinicalTrials.gov Identifier: NCT00001540;60 mg;Avoid inhalation;Suicidal thoughts, pregnancy;Anxiety, insomnia, nausea;Alcohol, other SSRIs</s>
