;Waste\_Management;Recycling\_Rate%;Noise\_Pollution\_Level;Natural\_Disaster\_Frequency;Freshwater\_Availability;Ecozone\_Integrity\_Index;Political\_Support\_Score;Industrial\_Emission\_Levels;International\_Conventions_Signed;Research\_Investment;Public\_Engagement\_Score
0;" ""Landfill Diversion Program"; 60%; Moderate; Once per year; High; 0.8; 75%; Compliant; Paris Agreement, Kyoto Protocol; $5 million;" 80%"""
1;"""Composting Initiative"; 45%; Low; Never; Medium; 0.7; 85%; Compliant; None; $3 million;" 70%"""
2;"""Recycling Education Campaign"; 70%; Low; Rare; High; 0.9; 90%; Compliant; Basel Convention; $6 million;" 85%"""
3;"""Hazardous Waste Management"; 55%; High; Twice per year; Low; 0.6; 60%; Compliant; None; $4 million;" 65%"""
4;"""Plastic Bag Ban"; 85%; Low; Never; Medium; 0.8; 95%; Compliant; Basel Convention; $2 million;" 90%"""
5;"""Green Spaces Expansion"; 10%; Low; Rare; High; 0.9; 85%; Compliant; Paris Agreement, Kyoto Protocol; $10 million;" 80%"""
6;"""Idle-Free Zones"; 5%; Very Low; Never; N/A; 1; 90%; Compliant; None; $0.5 million;" 75%"""
7;"""E-Waste Collection Program"; 50%; High; Once per year; Low; 0.7; 70%; Compliant; Basel Convention; $3 million;" 75%"""
8;"""Sustainable Building Design"; 20%; Low; Rare; Medium; 0.8; 85%; Compliant; None; $7 million;" 80%"""
9;"""Public Transportation Improvements"; 15%; Low; Rare; High; 0.9; 95%; Compliant; Paris Agreement; $15 million;" 90%""</s>"
