;Elections Held; Voter Turnout%; Winning Candidate; Number of Seats Won by Winning Candidate; Total Population in Constituency; Minimum Age Requirement for Voting; Political Ad Spending$; Campaign Issue Priorities; Date of the Next Election; Opposition Party Leader; Level Of Funding For Opposing Campaigns$
0;" ""Elections Held"; Voter Turnout%; Winning Candidate; Number of Seats Won by Winning Candidate; Total Population in Constituency; Minimum Age Requirement for Voting; Political Ad Spending$; Campaign Issue Priorities; Date of the Next Election; Opposition Party Leader;" Level Of Funding For Opposing Campaigns$"""
1;"""November 3, 2020"; 66.7%; Joseph R. Biden; 306/538; 331,002,651; 18; $14 billion; Economy, Healthcare, Racial Equality; November 5, 2024; Kevin McCarthy;" $7 billion"""
2;"""November 3, 2020"; 61.4%; Nancy Pelosi; 222/435; 331,002,651; 18; $6 billion; Economy, Healthcare, Climate Change; January 3, 2023; Mitch McConnell;" $3 billion"""
3;"""September 20, 2020"; 69.6%; Angela Merkel; 246/598; 83,019,226; 16; €1 billion; Climate Change, Economy, Refugees; September 26, 2025; Olaf Scholz;" €500 million"""
4;"""December 12, 2019"; 67.3%; Boris Johnson; 365/650; 66,650,000; 18; £1.2 billion; Brexit, NHS, Economy; December 2, 2024; Keir Starmer;" £600 million"""
5;"""May 26, 2019"; 43.1%; Emmanuel Macron; 348/577; 67,063,589; 18; €150 million; Climate Change, EU Reforms, Economy; May 23, 2024; Marine Le Pen;" €75 million"""
6;"""September 20, 2020"; 57.5%; Justin Trudeau; 157/338; 37,742,154; 18; $534 million; Climate Change, Economy, COVID-19 Response; October 16, 2023; Erin O'Toole;" $250 million"""
7;"""October 21, 2019"; 67.0%; Scott Morrison; 234/151; 25,499,884; 18; AUD $50 million; Economy, Climate Change, Integrity in Government; May 14, 2022; Anthony Albanese;" AUD $25 million"""
8;"""July 9, 2017"; 65.6%; Shinzo Abe; 284/465; 126,573,481; 18; ¥15 billion; Constitution Revision, Economy, North Korea; October 22, 2021; Yukio Edano;" ¥8 billion"""
9;"""October 20, 2019"; 44.7%; Giuseppe Conte; 228/630; 60,359,546; 18; €170 million; Migration, Economy, Justice Reforms; September 25, 2023; Giorgia Meloni;" €80 million"""
10;"""June 23, 2019"; 42.0%; Narendra Modi; 303/545; 1,380,004,385; 18; ₹20 billion; Economy, Defense, National Security; May 2024; Rahul Gandhi;" ₹12 billion""</s>"
11;" ""November 3, 2020"; 66.2%; Joe Biden; 232/435; 331,002,651; 18; $6 billion; Healthcare, Economy, Climate Change; November 5, 2024; Kevin McCarthy; $5 billion
12;March 7, 2022; 52.1%; Emmanuel Macron; 289/577; 67,063,519; 18; €130 million; Environment, Security, Economy; April 2027; Marine Le Pen; €100 million
13;September 20, 2022; 77.3%; Scott Morrison; 118/151; 25,422,788; 18; A$90 million; Economy, Climate Change, Integrity; September 2025; Anthony Albanese; A$75 million
14;October 4, 2023; 68.5%; Olaf Scholz; 215/709; 83,190,511; 18; €700 million; Climate, Social Justice, Digitalization; September 2027; Friedrich Merz; €550 million
