;Religions And Beliefs; Languages Spoken; Holidays and Celebrations; Daily Life - Food; Trade Routes; Communication Methods; Clothing Styles and Textiles; Major Organizations and Alliances; Demographic Changes; Law Systems; Diplomacy; Architectural Styles; Music and Dance
0; Religion: Animism; Language: Proto-African; Holidays: Seasonal celebrations; Food: Hunting-gathering; Trade Routes: Footpaths; Communication: Drum language; Clothing: Leather; Organizations: Tribal alliances; Demographics: Stable populations; Law Systems: Customary law; Diplomacy: Elder councils; Architecture: Mud huts; Music: Oral traditions.
1;Religion: Shinto; Language: Japanese; Holidays: New Year, Obon; Food: Rice, fish; Trade Routes: Silk Road; Communication: Calligraphy; Clothing: Kimono; Organizations: Imperial Court; Demographics: Island population; Law Systems: Civil code; Diplomacy: Tributary system; Architecture: Pagodas; Music: Gagaku.
2;Religion: Ancient Egyptian; Language: Egyptian; Holidays: Opet festival; Food: Bread, beer; Trade Routes: Nile River; Communication: Hieroglyphics; Clothing: Linen; Organizations: Pharaoh's court; Demographics: Nile valley; Law Systems: Royal decree; Diplomacy: Treaties; Architecture: Temples; Music: Harps.
3;Religion: Classical Greek; Language: Greek; Holidays: Olympic Games; Food: Olives, grapes; Trade Routes: Mediterranean; Communication: Alphabet; Clothing: Chiton; Organizations: City-states; Demographics: Mediterranean peoples; Law Systems: Draconian laws; Diplomacy: Alliances; Architecture: Parthenon; Music: Lyres.
4;Religion: Roman; Language: Latin; Holidays: Saturnalia; Food: Wheat, wine; Trade Routes: Roman roads; Communication: Codex; Clothing: Toga; Organizations: Senate, legions; Demographics: Empire; Law Systems: Ius Civile; Diplomacy: Pax Romana; Architecture: Colosseum; Music: Aulos.
5;Religion: Christianity; Language: Latin; Holidays: Christmas, Easter; Food: Bread, wine; Trade Routes: Silk Road; Communication: Monastic scriptoriums; Clothing: Habit; Organizations: Papal authority; Demographics: Europe; Law Systems: Canon law; Diplomacy: Concordats; Architecture: Gothic cathedrals; Music: Gregorian chants.
6;Religion: Islam; Language: Arabic; Holidays: Eid al-Fitr, Eid al-Adha; Food: Couscous, falafel; Trade Routes: Muslim trade networks; Communication: Manuscript culture; Clothing: Abaya; Organizations: Caliphates; Demographics: Arabian Peninsula; Law Systems: Sharia; Diplomacy: Ambassadors; Architecture: Mosques; Music: Maqam.
7;Religion: Hinduism; Language: Sanskrit; Holidays: Diwali; Food: Spices, rice; Trade Routes: Spice trade; Communication: Brahmi script; Clothing: Sari; Organizations: Varṇa system; Demographics: Indian subcontinent; Law Systems: Dharma; Diplomacy: Alliance marriages; Architecture: Temples; Music: Sitar.
8;Religion: Buddhism; Language: Pali, Sanskrit; Holidays: Vesak; Food: Vegetarian; Trade Routes: Silk Road; Communication: Stupas; Clothing: Robes; Organizations: Sangha; Demographics: India, China; Law Systems: Monastic codes; Diplomacy: Missions; Architecture: Temples; Music: Chant.
9;Religion: Confucianism; Language: Chinese; Holidays: Lunar New Year; Food: Dumplings; Trade Routes: Silk Road; Communication: Oracle bone script; Clothing: Hanfu; Organizations: Civil service exam; Demographics: China; Law Systems: Legalism; Diplomacy: Tributary system; Architecture: Imperial palaces; Music: Chinese orchestra.</s>
10; Religion: Christianity; Language: Latin, Greek, Aramaic; Holidays: Christmas, Easter; Food: Bread, wine; Trade Routes: Amber Road, Incense route; Communication: Codex; Clothing: Tunic, Chasuble; Organizations: Catholic Church, Orthodox Church; Demographics: Mediterranean, Europe; Law Systems: Canon law; Diplomacy: Papal bull; Architecture: Basilicas; Music: Hymns.
11;Religion: Islam; Language: Arabic; Holidays: Ramadan, Eid al-Fitr; Food: Halal, Couscous; Trade Routes: Muslim trade; Communication: Hijri calendar; Clothing: Jilbab, Thobe; Organizations: Ummah; Demographics: Middle East, North Africa; Law Systems: Sharia; Diplomacy: Dar al-Islam; Architecture: Mosques; Music: Muwashshah.
12;Religion: Judaism; Language: Hebrew; Holidays: Hanukkah, Passover; Food: Kosher, Challah; Trade Routes: Spice trade; Communication: Alphabet; Clothing: Tallit, Kippah; Organizations: Sanhedrin, Knesset; Demographics: Israel, Jewish diaspora; Law Systems: Halakha; Diplomacy: Hasmonean; Architecture: Synagogues; Music: Nigun.
13;Religion: Shinto; Language: Japanese; Holidays: New Year, Obon; Food: Rice, Seafood; Trade Routes: Silk Road; Communication: Kanji; Clothing: Kimono; Organizations: Kami; Demographics: Japan; Law Systems: Kumi; Diplomacy: Sadaijin; Architecture: Shrines; Music: Gagaku.
14;Religion: Taoism; Language: Chinese; Holidays: Lantern Festival; Food: Tofu, Bamboo; Trade Routes: Silk Road; Communication: Calligraphy; Clothing: Daopao; Organizations: Immortals; Demographics: China; Law Systems: Tao; Diplomacy: Embassies; Architecture: Palaces; Music: Guqin.
15;Religion: Zoroastrianism; Language: Old Persian, Avestan; Holidays: Nowruz; Food: Mutton, Rice; Trade Routes: Silk Road; Communication: Cuneiform; Clothing: Kaftan; Organizations: Magi; Demographics: Persia; Law Systems: Data; Diplomacy: Satrap; Architecture: Fire temples; Music: Instrumental.
16;Religion: Animism; Language: Various; Holidays: Solstices, Equinoxes; Food: Hunting, Gathering; Trade Routes: Amber Road; Communication: Oral tradition; Clothing: Hides, Feathers; Organizations: Tribes; Demographics: Worldwide; Law Systems: Custom; Diplomacy: Alliances; Architecture: Huts, Teepees; Music: Drums, Flutes.
17;Religion: Sikhism; Language: Punjabi, Gurmukhi; Holidays: Vaisakhi; Food: Langar, Roti; Trade Routes: Silk Road; Communication: Gurmukhi script; Clothing: Turban, Dastar; Organizations: Khalsa; Demographics: Punjab; Law Systems: Rehat Maryada; Diplomacy: Sarbat Khalsa; Architecture: Gurdwaras; Music: Kirtan.
18;Religion: Tenrikyo; Language: Japanese; Holidays: Tenri Festival; Food: Seafood, Soba; Trade Routes: Silk Road; Communication: Kanji; Clothing: Casual; Organizations: Oyasato Institute; Demographics: Japan; Law Systems: Ofudesaki; Diplomacy: International Tenrikyo; Architecture: Oyasato-yakata; Music: Service music.
19;Religion: Rastafari; Language: English; Holidays: Earthday; Food: Ital, Cannabis; Trade Routes: Atlantic slave trade; Communication: Reasoning; Clothing: Dreadlocks; Organizations: Nyahbinghi, Bobo Ashanti; Demographics: Jamaica; Law Systems: Ethiopian law; Diplomacy: Repatriation; Architecture: Mansions; Music: Reggae, Nyabinghi.</s>
20; Religion: Cao Dai; Language: Vietnamese; Holidays: Anniversary of the founding; Food: Com Hen, Banh Mi; Trade Routes: South China Sea; Communication: Vietnamese alphabet; Clothing: White tunics, Headdresses; Organizations: Holy See; Demographics: Vietnam; Law Systems: Cao Dai legal code; Diplomacy: Interfaith dialogues; Architectural Styles: Cao Dai Holy See; Music and Dance: Religious hymns and drumming.
21;Religion: Zoroastrianism; Language: Persian, Avestan; Holidays: Nowruz; Food: Celebratory meals with rice, fish; Trade Routes: Silk Road; Communication: Pahlavi script; Clothing: Kusti, Sudreh; Organizations: Zoroastrian Associations; Demographics: Iran, India; Law Systems: Zoroastrian laws; Diplomacy: Interfaith meetings; Architectural Styles: Fire temples; Music and Dance: Iranian music.
