;BrainStructure1Size; BrainStructure2Size; BrainStructure3Size; BrainStructure4Size; BrainStructure5Size; BrainStructure6Size; BrainStructure7Size; BrainStructure8Size; BrainStructure9Size; BrainStructure10Size; BrainStructure11Size; BrainStructure12Size; BrainStructure13Size; BrainStructure14Size; BrainStructure15Size
0;34 cm³; 2.89 cm³; 5.66 cm³; 12.78 cm³; 7.55 cm³; 10.96 cm³; 1.45 cm³; 8.67 cm³; 6.22 cm³; 3.98 cm³; 14.32 cm³; 11.11 cm³; 13.65 cm³; 4.29 cm³; 9.87 cm³ 
1;56 cm³; 7.22 cm³; 3.01 cm³; 10.15 cm³; 2.67 cm³; 15.02 cm³; 4.88 cm³; 1.99 cm³; 14.21 cm³; 12.89 cm³; 6.78 cm³; 8.34 cm³; 9.98 cm³; 5.67 cm³; 3.45 cm³ 
2;32 cm³; 14.56 cm³; 9.21 cm³; 2.01 cm³; 13.65 cm³; 8.76 cm³; 11.89 cm³; 5.78 cm³; 1.23 cm³; 12.56 cm³; 7.98 cm³; 3.01 cm³; 4.56 cm³; 10.98 cm³; 1.45 cm³ 
3;34 cm³; 11.56 cm³; 9.21 cm³; 7.45 cm³; 6.32 cm³; 4.01 cm³; 10.78 cm³; 13.23 cm³; 15.65 cm³; 8.98 cm³; 1.01 cm³; 5.99 cm³; 2.34 cm³; 3.45 cm³; 14.87 cm³ 
4;45 cm³; 11.56 cm³; 8.21 cm³; 13.01 cm³; 12.65 cm³; 2.78 cm³; 1.23 cm³; 14.78 cm³; 9.12 cm³; 6.56 cm³; 10.79 cm³; 4.34 cm³; 1.01 cm³; 15.67 cm³; 7.89 cm³ 
5;01 cm³; 4.32 cm³; 14.56 cm³; 6.21 cm³; 1.01 cm³; 13.78 cm³; 8.39 cm³; 9.98 cm³; 12.12 cm³; 3.45 cm³; 7.89 cm³; 5.01 cm³; 11.34 cm³; 2.98 cm³; 15.67 cm³ 
6;89 cm³; 12.01 cm³; 3.21 cm³; 11.01 cm³; 15.65 cm³; 6.39 cm³; 14.78 cm³; 9.12 cm³; 2.45 cm³; 13.56 cm³; 4.01 cm³; 10.99 cm³; 8.34 cm³; 1.56 cm³; 5.67 cm³ 
7;89 cm³; 7.45 cm³; 11.21 cm³; 3.01 cm³; 9.65 cm³; 8.01 cm³; 12.78 cm³; 5.23 cm³; 15.12 cm³; 1.98 cm³; 6.33 cm³; 13.55 cm³; 2.01 cm³; 11.45 cm³; 4.32 cm³ 
8;56 cm³; 10.01 cm³; 13.21 cm³; 12.39 cm³; 9.01 cm³; 7.78 cm³; 3.12 cm³; 8.34 cm³; 1.98 cm³; 14.55 cm³; 6.01 cm³; 5.67 cm³; 11.89 cm³; 15.32 cm³; 2.87 cm³ 
9;65 cm³; 5.21 cm³; 9.01 cm³; 13.78 cm³; 10.32 cm³; 11.56 cm³; 6.12 cm³; 12.89 cm³; 7.34 cm³; 2.98 cm³; 4.23 cm³; 8.45 cm³; 14.11 cm³; 3.01 cm³; 1.99 cm³ 
