;FavoritePsychologist;FavoriteBookOnPsychology;YearsOfPsychologyStudy;AdditionalTrainingCourses;MostInfluentialPsychologist;FamousQuoteByFavPsych;DisagreedWithPsychologicalConcept;FavoritePsychologicalConcept;PsychologicalQuestionStillUnanswered;FutureOfPsychologyInterest;PreferedPsychologyResearchMethod;RoleModelInPsychologyCareer;CurrentPsychologyCareerGoals;MembershipInPsychologicalAssociations
0;  Skinner, B.F.;"""Verbal Behavior""";10;Applied Behavior Analysis;Bandura;" ""Give me a dog, I will train it""";Radical Behaviorism;Operant Conditioning;Nature vs Nurture;Clinical Psychology;Single-case experimental design;Carl Rogers;Publishing research articles;American Psychological Association (APA) member
1; Freud, Sigmund;"""The Interpretation of Dreams""";15;Psychoanalysis;Erikson;" ""The ego is not master in its own house""";Id, Ego, Superego;Psychoanalytic Theory;Unconscious mind;Counseling Psychology;Case study;Alfred Adler;Developing therapy techniques;APA and International Association of Analytical Psychology (IAAP) member
2; Piaget, Jean;"""The Construction of Reality in the Child""";8;Developmental Psychology;Vygotsky;" ""Intelligence is what you use when you don't know what to do""";Cognitive Development;Genetic Epistemology;Stages of cognitive development;Educational Psychology;Longitudinal research;Lev Vygotsky;Improving learning outcomes;APA and American Educational Research Association (AERA) member
3; Pavlov, Ivan;"""Conditioned Reflexes""";7;Experimental Psychology;Watson;" ""Give me a dozen healthy infants, well-formed, and my own specified world to bring them up in and I'll guarantee to take any one at random and train him to become any type of specialist I might select--doctor, lawyer, artist, merchant-chief and, yes, even beggar-man and thief, regardless of his talents, penchants, tendencies, abilities, vocations, and race of his ancestors""";Classical Conditioning;Behaviorism;Conditioned response;Industrial-Organizational Psychology;Survey research;Hans Eysenck;Increasing workplace productivity;APA and Society for Industrial and Organizational Psychology (SIOP) member
4; Maslow, Abraham;"""Motivation and Personality""";6;Existential Psychology;Rogers;" ""If you plan on being anything less than you are capable of being, you will probably be unhappy all the days of your life""";Hierarchy of Needs;Self-actualization;Peak experiences;Health Psychology;Phenomenological research;Carl Rogers;Promoting mental health;APA and Association for Humanistic Psychology (AHP) member
5; Milgram, Stanley;"""Obedience to Authority""";4;Social Psychology;Asch;" ""The disappearance of a sense of responsibility is the most far-reaching consequence of submission to authority""";Obedience;Social influence;Conformity;Forensic Psychology;Correlational research;Philip Zimbardo;Understanding and preventing abusive behavior;APA and American Society of Criminology (ASC) member
6; Seligman, Martin;"""Learned Optimism""";3;Clinical Psychology;Frankl;" ""Happiness is not something ready-made. It comes from your own actions""";Learned Helplessness;Positive Psychology;Optimism;Sport Psychology;Experimental research;Mihaly Csikszentmihalyi;Promoting well-being;APA and Association for Applied Sport Psychology (AASP) member
7; Cattell, Raymond;"""The Scientific Analysis of Personality""";2;Personality Psychology;Eysenck;" ""The best way to find yourself is to lose yourself in the service of others""";16 Personality Factors;Trait Theory;Factor analysis;Engineering Psychology;Quasi-experimental research;Fredrick Hansener;Applying psychology to design;APA and Human Factors and Ergonomics Society (HFES) member
8; Bowlby, John;"""Attachment and Loss""";1;Developmental Psychology;Ainsworth;" ""What is needed of the mother is not a 24-hour-a-day, seven-day-a-week performance""";Attachment Theory;Child development;Maternal deprivation;Community Psychology;Action research;Urie Bronfenbrenner;Improving community mental health;APA, Society for Community Research and Action (SCRA), and International Society for the Prevention of Child Abuse and Neglect (ISPCAN) member
9; Skynner, Robin;"""Systemic Family Therapy""";0;Family Therapy;Minuchin;" ""The best thing we can do for our children is to teach them to cook and how to do their laundry""";Strategic family therapy;Systems theory;Family dynamics;School Psychology;Evaluative research;Nancy Boyd-Franklin;Promoting family wellness;APA and National Association of School Psychologists (NASP) member</s>
