;Theater Type;Genre;Debut Year;City, Country;Iconic Performance(es);Collaborators;Box Office Revenue (in USD);Critical Reception;Audience Engagement;Running Time (mins);Stage Director;Playwright
0;  Musical;Comedy;1981;New York, USA;"Cast of ""Cats""";Andrew Lloyd Webber;969,000,000;Positive;High;150;Trevor Nunn;T.S. Eliot
1; Play;Drama;2015;London, England;"""Harry Potter and the Cursed Child""";J.K. Rowling, Jack Thorne, John Tiffany;2,338,000,000;Mixed;High;320;John Tiffany;J.K. Rowling, Jack Thorne
2; Opera;Historical Drama;1826;Milan, Italy;"""Attila""";Giuseppe Verdi;Unaverified;Positive;High;155;Giuseppe Verdi;Temistocle Solera
3; Ballet;Romance;1877;St. Petersburg, Russia;"""Swan Lake""";Pyotr Ilyich Tchaikovsky;Unaverified;Positive;High;165;Julius Reisinger;Vasily Zhukovsky
4; Dance;Contemporary;1998;Los Angeles, USA;"""Titanic Dance""";Maurice Hunt;Unaverified;Positive;High;90;Maurice Hunt;N/A
5; Drama;Historical;1966;New York, USA;"""The Lion in Winter""";James Goldman;9,000,000;Positive;High;145;Noel Willman;James Goldman
6; Musical;Satire;1969;New York, USA;"""Hair""";Gerome Ragni, James Rado, Galt MacDermot;11,000,000;Positive;High;140;Tom O'Horgan;Gerome Ragni, James Rado
7; Comedy;Farce;1963;London, England;"Cast of ""Boeing Boeing""";Marc Camoletti;Unaverified;Positive;High;110;Marc Camoletti;Marc Camoletti
8; Tragedy;Historical;1606;London, England;"""Macbeth""";William Shakespeare;Unaverified;Positive;High;150;Simon Thorne;William Shakespeare
9; Play;Political Satire;2003;Chicago, USA;"""The Audience""";Peter Morgan;7,500,000;Positive;High;200;Stephen Daldry;Peter Morgan</s>
