;`Artwork Number; Alternate Artwork Titles; Artist Name; Date Created; Medium; Dimensions In CM; Period; Style; Subject Matter Details; Cultural Context; Additional Details`
0; 1;" ""The Starry Night"""; Vincent van Gogh; 1889; Oil on canvas; 73.7 x 92.1 cm; Post-Impressionism; Pointillism; Night sky, small town; Dutch; Van Gogh's state of mind at the time.
1;2;" ""Girl with a Pearl Earring"""; Johannes Vermeer; 1665; Oil on canvas; 44.5 x 39 cm; Baroque; Dutch Golden Age; Young woman, portrait; Dutch; Inspired a novel and film.
2;3;" ""The Persistence of Memory"""; Salvador Dalí; 1931; Oil on canvas; 24.1 x 33 cm; Surrealism; N/A; Melting clocks, dream state; Spanish; Influenced by Einstein's theory of relativity.
3;4;" ""The Last Supper"""; Leonardo da Vinci; 1498; Tempera on gesso, pitch, and mastic; 460 x 880 cm; Renaissance; Italian; Depiction of the Last Supper; Italian; Commissioned by Ludovico Sforza for the Dominican monastery of Santa Maria delle Grazie in Milan.
4;5;" ""The Scream"""; Edvard Munch; 1893; Pastel on cardboard; 91 x 73.5 cm; Expressionism; Norwegian; Anguished figure against a turbulent landscape; Norwegian; Four versions exist, one was stolen in 2004 and recovered in 2006.
5;6;" ""Guernica"""; Pablo Picasso; 1937; Oil on canvas; 349.3 x 776.6 cm; Cubism; Spanish; Scenes of violence and suffering during the Spanish Civil War; Spanish; Commissioned by the Spanish Republic for the Spanish Pavilion at the 1937 Paris International Exposition.
6;7;" ""Mona Lisa"""; Leonardo da Vinci; 1503-1506; Oil on poplar panel; 77 x 53 cm; Renaissance; Italian; Portrait of Lisa Gherardini, wife of Florentine merchant Francesco del Giocondo; Italian; One of the most famous and most visited artworks in the world.
7;8;" ""The Birth of Venus"""; Sandro Botticelli; 1486; Tempera on canvas; 172.5 x 278.9 cm; Early Renaissance; Italian; Mythological scene with Venus emerging from the sea; Italian; Commissioned by Lorenzo di Pierfrancesco de' Medici's cousin.
8;9;" ""The Night Watch"""; Rembrandt van Rijn; 1642; Oil on canvas; 379.5 x 453.5 cm; Baroque; Dutch; Group portrait of the civic guard called the Kloveniers; Dutch; The most famous painting in the Rijksmuseum in Amsterdam.
9;10;" ""The Arnolfini Portrait"""; Jan van Eyck; 1434; Oil on oak panel; 82.2 x 60 cm; Early Renaissance; Flemish; Double portrait of Italian merchant Giovanni di Nicolao Arnolfini and his wife; Flemish; Highly realistic style, innovation in oil painting.</s>
10; 11;" ""The School of Athens"""; Raphael; 1509-1511; Fresco; 500 x 770 cm; High Renaissance; Italian; Depiction of various philosophers from classical antiquity; Italian; Commissioned by Pope Julius II for the rooms now known as the Stanze di Raffaello.
11;12;" ""The Persistence of Memory"""; Salvador Dalí; 1931; Oil on canvas; 24.1 x 33 cm; Surrealism; Spanish; Melting clocks in a desert landscape; Spanish; Inspired by the dream state and the fluidity of time.
12;13;" ""Guernica"""; Pablo Picasso; 1937; Oil on canvas; 349.3 x 776.6 cm; Cubism; Spanish; Depiction of the bombing of Guernica during the Spanish Civil War; Spanish; One of the most moving and powerful anti-war paintings in history.
13;14;" ""The Last Supper"""; Leonardo da Vinci; 1495-1498; Tempera on gesso, pitch, and mastic; 460 x 880 cm; High Renaissance; Italian; Depiction of the Last Supper of Jesus and his disciples; Italian; Commissioned by Ludovico Sforza for the Dominican monastery of Santa Maria delle Grazie in Milan.
14;15;" ""The Starry Night"""; Vincent van Gogh; 1889; Oil on canvas; 73.7 x 92.1 cm; Post-Impressionism; Dutch; Landscape with swirling stars and a cypress tree; Dutch; Painted while van Gogh was in an asylum in Saint-Rémy-de-Provence.
15;16;" ""The Scream"""; Edvard Munch; 1893; Pastel on board; 91 x 73.5 cm; Expressionism; Norwegian; Figure with an agonized expression against a backdrop of a fjord; Norwegian; Part of a series of paintings and prints exploring themes of anxiety, fear, and death.
16;17;" ""The Raft of the Medusa"""; Théodore Géricault; 1819; Oil on canvas; 491 x 716 cm; Romanticism; French; Dramatic depiction of shipwreck survivors on a raft; French; Based on a true story of the French frigate Méduse, which ran aground off the coast of Mauritania in 1816.
17;18;" ""The Girl with a Pearl Earring"""; Johannes Vermeer; 1665; Oil on canvas; 44.5 x 39 cm; Baroque; Dutch; Portrait of a young woman with a pearl earring; Dutch;" Known as the ""Dutch Mona Lisa"" and a masterpiece of realism and mystery."
18;19;" ""The Third of May 1808"""; Francisco Goya; 1814; Oil on canvas; 268 x 347 cm; Romanticism; Spanish; Depiction of the execution of Spanish civilians by French soldiers; Spanish; A powerful condemnation of war and its impact on innocent people.
19;20;" ""The Tower of Babel"""; Pieter Bruegel the Elder; 1563; Oil on panel; 114 x 155 cm; Renaissance; Flemish; Large-scale depiction of the biblical story of the Tower of Babel; Flemish; Known for its intricate details and social commentary on the folly of human ambition.</s>
20; 21;" ""The Starry Night"""; Vincent van Gogh; 1889; Oil on canvas; 73.7 x 92.1 cm; Post-Impressionism; Dutch; Landscape painting of the view from van Gogh's asylum window; Dutch; A masterpiece of swirling blues and yellows, expressing the artist's emotional state during his stay in Saint-Rémy.
21;22;" ""The Persistence of Memory"""; Salvador Dalí; 1931; Oil on canvas; 24.1 x 33 cm; Surrealism; Spanish; Iconic melting clock painting, exploring the human condition and the fluidity of time; Spanish; Known for its dreamlike quality and Dalí's mastery of the subconscious mind.
22;23;" ""The Scream"""; Edvard Munch; 1893; Pastel on board; 91 x 73.5 cm; Expressionism; Norwegian; Emotional exploration of extreme anxiety and despair, inspiring fear in viewers; Norwegian; Combines vibrant colors and abstract forms to evoke a sense of inner turmoil and existential dread.
23;24;" ""The Nighthawks"""; Edward Hopper; 1942; Oil on canvas; 84.1 x 152.4 cm; American Realism; American; Iconic depiction of four patrons in a late-night diner, reflecting the isolation and solitude of modern urban life; American; Known for its dramatic use of light and shadow, and the sense of mystery enveloping the central scene.
24;25;" ""The Burghers of Calais"""; Auguste Rodin; 1884-1889; Bronze; Various heights up to 212 cm; Impressionist Sculpture; French; Dramatic sculpture of six citizens awaiting execution during the Hundred Years' War; French; Renowned for its evocative gestures and expressive depiction of the weight of emotional suffering.
