;GardenerReviews; BloomingSeason; NativeToRegion; InvasiveSpecies; RarityScale; SeedsBankAvailability; FlowerColor; FoliageAppearance; HeightRange; SpreadRange; CropRotationInterval; AverageMaturityDays; PropagationMethods; FamilyName;
0;" ""AvidGardener123""";" ""Spring & Fall""";" ""Native to Europe""";" ""No""";" ""Common""";" ""In Stock""";" ""Various Colors""";" ""Green, Lobed Leaves""";" ""2-5 feet""";" ""1-3 feet""";" ""Every 4 years""";" ""60-90 days""";" ""Cuttings, Seeds""";" ""Asteraceae""";
1;"""GreenThumbs456""";" ""Early Summer""";" ""Native to North America""";" ""No""";" ""Uncommon""";" ""Limited Stock""";" ""Blue, Violet""";" ""Silvery, Narrow Leaves""";" ""1-3 feet""";" ""6 inches""";" ""Every 3 years""";" ""75-100 days""";" ""Division, Layering""";" ""Liliaceae""";
2;"""EcoGardener789""";" ""Mid-Summer""";" ""Native to Asia""";" ""No""";" ""Rare""";" ""Out of Stock""";" ""Red, Orange""";" ""Glossy, Green Leaves""";" ""6 inches""";" ""1 foot""";" ""Every 2 years""";" ""80-110 days""";" ""Seeds, Division""";" ""Poaceae""";
3;"""FlowerPower101""";" ""Late Summer""";" ""Native to South America""";" ""Yes""";" ""Invasive""";" ""Not Recommended""";" ""Purple, White""";" ""Oval, Dark Green Leaves""";" ""3-6 feet""";" ""2-4 feet""";" ""No Rotation""";" ""90-120 days""";" ""Cuttings, Seeds""";" ""Solanaceae""";
4;"""NatureLover112""";" ""Early Fall""";" ""Native to Australia""";" ""No""";" ""Endangered""";" ""Please Propagate""";" ""Yellow, Orange""";" ""Smooth, Blue-Green Leaves""";" ""8 inches""";" ""18 inches""";" ""Every 5 years""";" ""120-150 days""";" ""Seeds, Layering""";" ""Proteaceae""";
5;"""PatioPlants123""";" ""Mid-Spring""";" ""Native to Africa""";" ""No""";" ""Common""";" ""In Stock""";" ""Pink, White""";" ""Round, Glossy Leaves""";" ""1-2 feet""";" ""1 foot""";" ""Every 3 years""";" ""45-75 days""";" ""Cuttings, Division""";" ""Fabaceae""";
6;"""BuddingEnthusiast345""";" ""Late Spring""";" ""Native to North America""";" ""No""";" ""Uncommon""";" ""Limited Stock""";" ""White, Green""";" ""Serrated, Light Green Leaves""";" ""4-7 feet""";" ""3-5 feet""";" ""Every 4 years""";" ""100-130 days""";" ""Seeds, Layering""";" ""Rosaceae""";
7;"""GardenMaestro567""";" ""Early Spring""";" ""Native to Europe""";" ""No""";" ""Common""";" ""In Stock""";" ""Blue, Purple""";" ""Oblong, Dark Green Leaves""";" ""1.5-4 feet""";" ""2 feet""";" ""Every 3 years""";" ""50-80 days""";" ""Cuttings, Seeds""";" ""Brassicaceae""";
8;"""BlossomLover678""";" ""Mid-Summer""";" ""Native to Asia""";" ""No""";" ""Rare""";" ""Out of Stock""";" ""Red, Yellow""";" ""Palmate, Bright Green Leaves""";" ""8 inches""";" ""16 inches""";" ""Every 5 years""";" ""130-160 days""";" ""Seeds, Division""";" ""Caryophyllaceae""";
9;"""TopiaryArtist789""";" ""Late Summer""";" ""Native to Mediterranean""";" ""No""";" ""Uncommon""";" ""Limited Stock""";" ""Variegated, Green & White""";" ""Narrow, Gray-Green Leaves""";" ""3-6 feet""";" ""3 feet""";" ""Every 4 years""";" ""75-105 days""";" ""Cuttings, Air Layering""";" ""Oleaceae""";</s>
